Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Michał Helik,pl POL,DF,27.0,41,40,3630.0,40.3,9.0,0.0,9.0,9.0,0.0,0.0,5.0,0.0,6.0,6.0,0.5,6.5,14.0,89.0,9.0,0.22,0.0,0.22,0.22,0.22,0.15,0.01,0.16,0.15,0.16,Matches,2023-2024,Brentford
Sorba Thomas,wls WAL,"FW,MF",23.0,41,39,3427.0,38.1,4.0,9.0,13.0,4.0,0.0,0.0,11.0,1.0,3.1,3.1,13.9,17.1,159.0,148.0,246.0,0.11,0.24,0.34,0.11,0.34,0.08,0.37,0.45,0.08,0.45,Matches,2023-2024,Brentford
Lee Nicholls,eng ENG,GK,30.0,37,37,3305.0,36.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Brentford
Matty Pearson,eng ENG,DF,29.0,39,37,3239.0,36.0,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,2.6,2.6,1.6,4.2,10.0,114.0,19.0,0.08,0.03,0.11,0.08,0.11,0.07,0.04,0.12,0.07,0.12,Matches,2023-2024,Brentford
Jack Rudoni,eng ENG,"MF,FW",23.0,35,35,3060.0,34.0,5.0,3.0,8.0,5.0,0.0,0.0,9.0,0.0,8.4,8.4,3.4,11.8,89.0,147.0,149.0,0.15,0.09,0.24,0.15,0.24,0.25,0.1,0.35,0.25,0.35,Matches,2023-2024,Brentford
Jonathan Hogg,eng ENG,MF,34.0,34,32,2687.0,29.9,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.5,0.5,1.0,1.5,7.0,127.0,20.0,0.0,0.03,0.03,0.0,0.03,0.02,0.03,0.05,0.02,0.05,Matches,2023-2024,Brentford
Josh Koroma,sl SLE,"FW,MF",24.0,39,29,2422.0,26.9,6.0,2.0,8.0,6.0,0.0,0.0,2.0,0.0,7.4,7.4,3.0,10.4,52.0,72.0,164.0,0.22,0.07,0.3,0.22,0.3,0.27,0.11,0.38,0.27,0.38,Matches,2023-2024,Brentford
Tom Lees,eng ENG,DF,32.0,31,28,2518.0,28.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.6,1.5,13.0,84.0,2.0,0.0,0.07,0.07,0.0,0.07,0.03,0.02,0.05,0.03,0.05,Matches,2023-2024,Brentford
David Kasumu,eng ENG,"MF,DF",23.0,31,28,2349.0,26.1,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.4,1.4,0.8,2.1,42.0,71.0,51.0,0.04,0.04,0.08,0.04,0.08,0.05,0.03,0.08,0.05,0.08,Matches,2023-2024,Brentford
Delano Burgzorg,sr SUR,FW,24.0,33,25,2206.0,24.5,7.0,2.0,9.0,6.0,1.0,1.0,4.0,0.0,4.2,3.4,2.2,5.5,41.0,32.0,137.0,0.29,0.08,0.37,0.24,0.33,0.17,0.09,0.26,0.14,0.23,Matches,2023-2024,Brentford
Ben Wiles,eng ENG,MF,24.0,30,20,1837.0,20.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,1.8,3.3,26.0,63.0,68.0,0.0,0.1,0.1,0.0,0.1,0.08,0.09,0.16,0.08,0.16,Matches,2023-2024,Brentford
Yuta Nakayama,jp JPN,DF,26.0,23,18,1695.0,18.8,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.6,0.7,19.0,64.0,26.0,0.0,0.11,0.11,0.0,0.11,0.01,0.03,0.04,0.01,0.04,Matches,2023-2024,Brentford
Brodie Gilmore,nir NIR,DF,19.0,20,18,1533.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.4,0.4,0.3,0.8,35.0,47.0,55.0,0.0,0.06,0.06,0.0,0.06,0.03,0.02,0.05,0.03,0.05,Matches,2023-2024,Brentford
