Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0,Season,Team
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,,
Michał Helik,pl POL,DF,27.0,40.3,5,0,0,35,26,3,6,75,32,0,0,0,160,160,67,70.5,Matches,2023-2024,Brentford
Sorba Thomas,wls WAL,"FW,MF",23.0,38.1,11,1,1,33,58,7,474,11,13,0,0,0,209,5,33,13.2,Matches,2023-2024,Brentford
Lee Nicholls,eng ENG,GK,30.0,36.7,4,0,0,0,5,0,0,0,0,0,0,0,22,5,1,83.3,Matches,2023-2024,Brentford
Matty Pearson,eng ENG,DF,29.0,36.0,5,0,0,40,31,5,19,39,28,0,1,1,152,101,81,55.5,Matches,2023-2024,Brentford
Jack Rudoni,eng ENG,"MF,FW",23.0,34.0,9,0,0,45,47,6,78,29,41,0,0,0,243,62,67,48.1,Matches,2023-2024,Brentford
Jonathan Hogg,eng ENG,MF,34.0,29.9,8,1,1,48,26,0,1,45,51,0,0,0,214,47,34,58.0,Matches,2023-2024,Brentford
Josh Koroma,sl SLE,"FW,MF",24.0,26.9,2,0,0,32,34,17,61,8,18,0,0,0,115,23,79,22.5,Matches,2023-2024,Brentford
Tom Lees,eng ENG,DF,32.0,28.0,4,0,0,13,15,2,0,29,20,0,0,1,132,95,50,65.5,Matches,2023-2024,Brentford
David Kasumu,eng ENG,"MF,DF",23.0,26.1,6,0,0,52,50,0,41,22,25,0,0,0,116,17,30,36.2,Matches,2023-2024,Brentford
Delano Burgzorg,sr SUR,FW,24.0,24.5,4,0,0,16,35,21,7,8,7,0,0,0,66,13,29,31.0,Matches,2023-2024,Brentford
Ben Wiles,eng ENG,MF,24.0,20.4,0,0,0,8,18,1,24,19,16,0,1,0,105,19,28,40.4,Matches,2023-2024,Brentford
Yuta Nakayama,jp JPN,DF,26.0,18.8,2,0,0,14,20,2,19,17,21,0,0,0,102,37,33,52.9,Matches,2023-2024,Brentford
Brodie Gilmore,nir NIR,DF,19.0,17.0,8,0,0,13,23,2,21,22,34,0,0,0,69,36,33,52.2,Matches,2023-2024,Brentford
Jaheim Headley,eng ENG,"DF,MF",21.0,18.3,2,0,0,24,27,3,16,15,31,0,0,0,108,17,22,43.6,Matches,2023-2024,Brentford
Alex Matos,eng ENG,MF,18.0,14.2,6,0,0,40,29,0,4,27,26,0,1,0,66,13,24,35.1,Matches,2023-2024,Brentford
Ben Jackson,eng ENG,"DF,MF",22.0,14.9,3,0,0,8,18,0,41,14,24,0,0,0,64,9,14,39.1,Matches,2023-2024,Brentford
Danny Ward,eng ENG,FW,31.0,12.7,0,0,0,11,9,9,3,0,3,0,0,0,20,31,52,37.3,Matches,2023-2024,Brentford
Josh Ruffels,eng ENG,DF,29.0,8.6,1,0,0,5,4,0,21,14,11,0,0,0,43,15,22,40.5,Matches,2023-2024,Brentford
Chris Maxwell,wls WAL,GK,33.0,7.7,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,,Matches,2023-2024,Brentford
Tom Edwards,eng ENG,DF,24.0,7.5,1,0,0,7,3,0,28,10,16,0,0,0,35,13,13,50.0,Matches,2023-2024,Brentford
Kian Harratt,eng ENG,FW,21.0,5.5,0,0,0,3,3,3,2,0,1,0,0,0,17,25,28,47.2,Matches,2023-2024,Brentford
Brahima Diarra,ml MLI,"MF,FW",20.0,7.3,2,0,0,10,13,3,8,4,11,0,0,0,33,7,28,20.0,Matches,2023-2024,Brentford
Rhys Healey,wls WAL,"FW,MF",28.0,5.6,0,0,0,9,10,7,9,1,3,0,0,0,15,20,19,51.3,Matches,2023-2024,Brentford
