Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0,Season,Team
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,
Michał Helik,pl POL,DF,27.0,40.3,9,26,16,61.5,0.64,0.4,0.35,0.56,9.1,0,0,0,6.0,6.0,0.23,3.0,3.0,Matches,2023-2024,Brentford
Sorba Thomas,wls WAL,"FW,MF",23.0,38.1,4,42,14,33.3,1.1,0.37,0.1,0.29,21.1,4,0,0,3.1,3.1,0.07,0.9,0.9,Matches,2023-2024,Brentford
Lee Nicholls,eng ENG,GK,30.0,36.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Brentford
Matty Pearson,eng ENG,DF,29.0,36.0,3,24,6,25.0,0.67,0.17,0.13,0.5,10.1,0,0,0,2.6,2.6,0.11,0.4,0.4,Matches,2023-2024,Brentford
Jack Rudoni,eng ENG,"MF,FW",23.0,34.0,5,75,24,32.0,2.21,0.71,0.07,0.21,17.7,7,0,0,8.4,8.4,0.11,-3.4,-3.4,Matches,2023-2024,Brentford
Jonathan Hogg,eng ENG,MF,34.0,29.9,0,12,2,16.7,0.4,0.07,0.0,0.0,22.5,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches,2023-2024,Brentford
Josh Koroma,sl SLE,"FW,MF",24.0,26.9,6,90,30,33.3,3.34,1.11,0.07,0.2,19.5,2,0,0,7.4,7.4,0.08,-1.4,-1.4,Matches,2023-2024,Brentford
Tom Lees,eng ENG,DF,32.0,28.0,0,15,2,13.3,0.54,0.07,0.0,0.0,11.2,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches,2023-2024,Brentford
David Kasumu,eng ENG,"MF,DF",23.0,26.1,1,27,3,11.1,1.03,0.11,0.04,0.33,21.2,0,0,0,1.4,1.4,0.05,-0.4,-0.4,Matches,2023-2024,Brentford
Delano Burgzorg,sr SUR,FW,24.0,24.5,7,53,23,43.4,2.16,0.94,0.11,0.26,17.0,0,1,1,4.2,3.4,0.06,2.8,2.6,Matches,2023-2024,Brentford
Ben Wiles,eng ENG,MF,24.0,20.4,0,23,4,17.4,1.13,0.2,0.0,0.0,20.2,0,0,0,1.6,1.6,0.07,-1.6,-1.6,Matches,2023-2024,Brentford
Yuta Nakayama,jp JPN,DF,26.0,18.8,0,4,1,25.0,0.21,0.05,0.0,0.0,30.5,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,2023-2024,Brentford
Brodie Gilmore,nir NIR,DF,19.0,17.0,0,5,1,20.0,0.29,0.06,0.0,0.0,15.1,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,2023-2024,Brentford
Jaheim Headley,eng ENG,"DF,MF",21.0,18.3,1,8,2,25.0,0.44,0.11,0.13,0.5,13.5,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches,2023-2024,Brentford
Alex Matos,eng ENG,MF,18.0,14.2,1,11,2,18.2,0.77,0.14,0.09,0.5,23.0,0,0,0,0.4,0.4,0.03,0.6,0.6,Matches,2023-2024,Brentford
Ben Jackson,eng ENG,"DF,MF",22.0,14.9,1,6,3,50.0,0.4,0.2,0.17,0.33,25.6,0,0,0,0.1,0.1,0.02,0.9,0.9,Matches,2023-2024,Brentford
Danny Ward,eng ENG,FW,31.0,12.7,3,29,11,37.9,2.29,0.87,0.1,0.27,11.7,1,0,0,4.1,4.1,0.14,-1.1,-1.1,Matches,2023-2024,Brentford
Josh Ruffels,eng ENG,DF,29.0,8.6,0,3,1,33.3,0.35,0.12,0.0,0.0,17.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,2023-2024,Brentford
Chris Maxwell,wls WAL,GK,33.0,7.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Brentford
Tom Edwards,eng ENG,DF,24.0,7.5,0,6,1,16.7,0.8,0.13,0.0,0.0,25.1,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,2023-2024,Brentford
Kian Harratt,eng ENG,FW,21.0,5.5,1,10,2,20.0,1.81,0.36,0.1,0.5,11.8,0,0,0,1.9,1.9,0.19,-0.9,-0.9,Matches,2023-2024,Brentford
Brahima Diarra,ml MLI,"MF,FW",20.0,7.3,0,9,1,11.1,1.23,0.14,0.0,0.0,19.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,2023-2024,Brentford
Rhys Healey,wls WAL,"FW,MF",28.0,5.6,3,20,6,30.0,3.55,1.07,0.15,0.5,11.9,0,0,0,2.3,2.3,0.11,0.7,0.7,Matches,2023-2024,Brentford
Radinio Balker,sr SUR,DF,24.0,4.5,0,4,0,0.0,0.88,0.0,0.0,,18.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,2023-2024,Brentford
Rarmani Edmonds-Green,eng ENG,"MF,DF",24.0,6.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Brentford
