Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Season,Team
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,
Michał Helik,pl POL,DF,27.0,40.3,1151,1577,73.0,23407,9817,316,391,80.8,690,821,84.0,134,319,42.0,0,0.5,0.8,-0.5,8,70,5,0,89,Matches,2023-2024,Brentford
Sorba Thomas,wls WAL,"FW,MF",23.0,38.1,866,1576,54.9,19383,9045,321,454,70.7,298,481,62.0,228,530,43.0,9,13.9,13.3,-4.9,123,104,71,44,148,Matches,2023-2024,Brentford
Lee Nicholls,eng ENG,GK,30.0,36.7,731,1234,59.2,23495,18432,110,110,100.0,302,309,97.7,319,806,39.6,0,0.0,0.1,0.0,0,28,0,0,0,Matches,2023-2024,Brentford
Matty Pearson,eng ENG,DF,29.0,36.0,868,1436,60.4,17404,7911,289,380,76.1,443,628,70.5,122,365,33.4,1,1.6,1.3,-0.6,10,98,9,5,114,Matches,2023-2024,Brentford
Jack Rudoni,eng ENG,"MF,FW",23.0,34.0,915,1262,72.5,14263,4068,472,570,82.8,348,438,79.5,56,131,42.7,3,3.4,3.0,-0.4,35,112,32,5,147,Matches,2023-2024,Brentford
Jonathan Hogg,eng ENG,MF,34.0,29.9,949,1192,79.6,17269,5086,387,461,83.9,439,512,85.7,102,156,65.4,1,1.0,1.2,0.0,25,107,9,1,127,Matches,2023-2024,Brentford
Josh Koroma,sl SLE,"FW,MF",24.0,26.9,436,643,67.8,7280,1926,214,266,80.5,165,239,69.0,41,82,50.0,2,3.0,2.4,-1.0,30,39,30,9,72,Matches,2023-2024,Brentford
Tom Lees,eng ENG,DF,32.0,28.0,866,1114,77.7,16916,6519,278,334,83.2,491,583,84.2,86,166,51.8,2,0.6,0.9,1.4,6,63,3,0,84,Matches,2023-2024,Brentford
David Kasumu,eng ENG,"MF,DF",23.0,26.1,434,618,70.2,7324,2650,207,256,80.9,174,215,80.9,37,81,45.7,1,0.8,1.3,0.2,6,53,15,3,71,Matches,2023-2024,Brentford
