Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0,Season,Team
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,,
Michał Helik,pl POL,DF,27.0,40.3,1577,1522,50,36,0,9,6,7,0,0,0,0,1151,5,9,Matches,2023-2024,Brentford
Sorba Thomas,wls WAL,"FW,MF",23.0,38.1,1576,1160,401,149,7,32,474,71,176,68,74,24,866,15,64,Matches,2023-2024,Brentford
Lee Nicholls,eng ENG,GK,30.0,36.7,1234,765,462,176,0,3,0,0,0,0,0,0,731,7,2,Matches,2023-2024,Brentford
Matty Pearson,eng ENG,DF,29.0,36.0,1436,1208,218,25,2,5,19,193,0,0,0,0,868,10,24,Matches,2023-2024,Brentford
Jack Rudoni,eng ENG,"MF,FW",23.0,34.0,1262,1142,111,37,6,7,78,8,26,10,6,1,915,9,45,Matches,2023-2024,Brentford
Jonathan Hogg,eng ENG,MF,34.0,29.9,1192,1152,35,35,3,15,1,0,0,0,0,0,949,5,18,Matches,2023-2024,Brentford
Josh Koroma,sl SLE,"FW,MF",24.0,26.9,643,595,42,5,4,4,61,12,4,2,1,1,436,6,26,Matches,2023-2024,Brentford
Tom Lees,eng ENG,DF,32.0,28.0,1114,1043,66,32,0,4,0,30,0,0,0,0,866,5,6,Matches,2023-2024,Brentford
David Kasumu,eng ENG,"MF,DF",23.0,26.1,618,585,32,5,2,5,41,27,0,0,0,0,434,1,42,Matches,2023-2024,Brentford
Delano Burgzorg,sr SUR,FW,24.0,24.5,375,336,36,0,1,3,7,7,3,0,0,0,274,3,20,Matches,2023-2024,Brentford
Ben Wiles,eng ENG,MF,24.0,20.4,553,520,30,9,2,3,24,9,8,2,6,0,405,3,12,Matches,2023-2024,Brentford
Yuta Nakayama,jp JPN,DF,26.0,18.8,795,695,98,20,1,1,19,78,0,0,0,0,637,2,10,Matches,2023-2024,Brentford
Brodie Gilmore,nir NIR,DF,19.0,17.0,730,586,140,10,1,1,21,130,0,0,0,0,486,4,18,Matches,2023-2024,Brentford
Jaheim Headley,eng ENG,"DF,MF",21.0,18.3,611,493,116,7,1,1,16,108,1,1,0,0,495,2,14,Matches,2023-2024,Brentford
Alex Matos,eng ENG,MF,18.0,14.2,376,372,2,2,0,1,4,0,0,0,0,0,290,2,20,Matches,2023-2024,Brentford
Ben Jackson,eng ENG,"DF,MF",22.0,14.9,548,421,126,6,0,5,41,114,6,2,3,0,349,1,22,Matches,2023-2024,Brentford
Danny Ward,eng ENG,FW,31.0,12.7,161,148,12,0,0,0,3,1,0,0,0,0,102,1,10,Matches,2023-2024,Brentford
Josh Ruffels,eng ENG,DF,29.0,8.6,368,298,66,5,0,2,21,61,0,0,0,0,220,4,11,Matches,2023-2024,Brentford
Chris Maxwell,wls WAL,GK,33.0,7.7,274,163,110,31,0,1,0,0,0,0,0,0,171,1,0,Matches,2023-2024,Brentford
Tom Edwards,eng ENG,DF,24.0,7.5,374,271,100,13,0,6,28,82,5,4,0,0,232,3,5,Matches,2023-2024,Brentford
Kian Harratt,eng ENG,FW,21.0,5.5,124,122,0,0,1,1,2,0,0,0,0,0,85,2,0,Matches,2023-2024,Brentford
Brahima Diarra,ml MLI,"MF,FW",20.0,7.3,160,151,8,0,1,0,8,5,0,0,0,0,116,1,6,Matches,2023-2024,Brentford
Rhys Healey,wls WAL,"FW,MF",28.0,5.6,123,105,18,0,0,0,9,15,0,0,0,0,67,0,4,Matches,2023-2024,Brentford
Radinio Balker,sr SUR,DF,24.0,4.5,183,175,7,4,2,5,0,2,0,0,0,0,148,1,0,Matches,2023-2024,Brentford
Rarmani Edmonds-Green,eng ENG,"MF,DF",24.0,6.7,190,182,7,1,0,1,2,6,0,0,0,0,134,1,1,Matches,2023-2024,Brentford
Bojan Radulovic,rs SRB,FW,23.0,4.2,95,85,9,1,1,0,2,0,0,0,0,0,62,1,4,Matches,2023-2024,Brentford
Kyle Hudlin,eng ENG,FW,23.0,3.1,68,68,0,0,0,0,0,0,0,0,0,0,38,0,2,Matches,2023-2024,Brentford
Oliver Turton,eng ENG,DF,30.0,1.9,80,66,13,0,0,0,5,13,0,0,0,0,54,1,3,Matches,2023-2024,Brentford
Patrick Jones,wls WAL,"FW,MF",20.0,1.8,37,35,2,0,0,0,8,0,0,0,0,0,19,0,7,Matches,2023-2024,Brentford
Jacob Chapman,au AUS,GK,22.0,1.5,60,40,20,5,0,0,0,0,0,0,0,0,32,0,0,Matches,2023-2024,Brentford
Joshua Austerfield,eng ENG,MF,21.0,0.8,19,19,0,0,0,0,0,0,0,0,0,0,15,0,0,Matches,2023-2024,Brentford
Loick Ayina,cg CGO,"DF,MF",20.0,0.9,21,18,3,0,0,0,0,3,0,0,0,0,18,0,0,Matches,2023-2024,Brentford
Tom Iorpenda,eng ENG,MF,18.0,0.6,15,14,0,0,1,0,0,0,0,0,0,0,11,1,0,Matches,2023-2024,Brentford
Squad Total,,,26.4,46.0,16992,14555,2340,614,36,115,900,982,229,89,90,26,11676,97,405,,2023-2024,Brentford
Opponent Total,,,26.0,46.0,26298,23868,2340,572,71,139,908,1038,276,117,78,7,20911,90,456,,2023-2024,Brentford
