Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0,Season,Team
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,
Michał Helik,pl POL,DF,27.0,40.3,21,0.52,20,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Brentford
Sorba Thomas,wls WAL,"FW,MF",23.0,38.1,181,4.75,96,69,7,3,5,1,12,0.32,7,4,0,1,0,0,Matches,2023-2024,Brentford
Lee Nicholls,eng ENG,GK,30.0,36.7,4,0.11,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Brentford
Matty Pearson,eng ENG,DF,29.0,36.0,36,1.0,26,2,0,7,0,1,5,0.14,3,1,0,1,0,0,Matches,2023-2024,Brentford
Jack Rudoni,eng ENG,"MF,FW",23.0,34.0,105,3.09,69,7,8,11,9,1,10,0.29,7,1,0,2,0,0,Matches,2023-2024,Brentford
Jonathan Hogg,eng ENG,MF,34.0,29.9,52,1.74,43,2,1,2,0,4,3,0.1,2,1,0,0,0,0,Matches,2023-2024,Brentford
Josh Koroma,sl SLE,"FW,MF",24.0,26.9,73,2.71,44,3,10,7,5,4,9,0.33,5,0,3,1,0,0,Matches,2023-2024,Brentford
Tom Lees,eng ENG,DF,32.0,28.0,15,0.54,11,1,0,2,0,1,3,0.11,2,0,0,1,0,0,Matches,2023-2024,Brentford
David Kasumu,eng ENG,"MF,DF",23.0,26.1,33,1.26,21,0,2,3,7,0,2,0.08,1,0,0,0,1,0,Matches,2023-2024,Brentford
Delano Burgzorg,sr SUR,FW,24.0,24.5,65,2.65,41,1,9,3,10,1,4,0.16,2,0,1,1,0,0,Matches,2023-2024,Brentford
Ben Wiles,eng ENG,MF,24.0,20.4,39,1.91,25,5,3,4,1,1,4,0.2,4,0,0,0,0,0,Matches,2023-2024,Brentford
Yuta Nakayama,jp JPN,DF,26.0,18.8,19,1.01,17,0,0,0,2,0,2,0.11,2,0,0,0,0,0,Matches,2023-2024,Brentford
Brodie Gilmore,nir NIR,DF,19.0,17.0,20,1.17,17,0,1,0,2,0,4,0.23,4,0,0,0,0,0,Matches,2023-2024,Brentford
Jaheim Headley,eng ENG,"DF,MF",21.0,18.3,44,2.41,36,1,5,0,1,1,2,0.11,1,0,1,0,0,0,Matches,2023-2024,Brentford
Alex Matos,eng ENG,MF,18.0,14.2,20,1.41,16,0,1,1,0,2,1,0.07,0,0,0,0,0,1,Matches,2023-2024,Brentford
Ben Jackson,eng ENG,"DF,MF",22.0,14.9,17,1.14,11,2,0,1,3,0,2,0.13,2,0,0,0,0,0,Matches,2023-2024,Brentford
Danny Ward,eng ENG,FW,31.0,12.7,17,1.34,9,0,2,6,0,0,1,0.08,0,0,0,1,0,0,Matches,2023-2024,Brentford
Josh Ruffels,eng ENG,DF,29.0,8.6,14,1.62,13,1,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches,2023-2024,Brentford
Chris Maxwell,wls WAL,GK,33.0,7.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Brentford
Tom Edwards,eng ENG,DF,24.0,7.5,22,2.95,15,5,0,0,0,2,1,0.13,1,0,0,0,0,0,Matches,2023-2024,Brentford
Kian Harratt,eng ENG,FW,21.0,5.5,9,1.63,8,0,0,1,0,0,2,0.36,1,0,0,1,0,0,Matches,2023-2024,Brentford
Brahima Diarra,ml MLI,"MF,FW",20.0,7.3,21,2.87,14,1,1,2,2,1,4,0.55,2,0,0,1,1,0,Matches,2023-2024,Brentford
Rhys Healey,wls WAL,"FW,MF",28.0,5.6,16,2.85,9,1,1,0,4,1,1,0.18,0,0,0,0,0,1,Matches,2023-2024,Brentford
Radinio Balker,sr SUR,DF,24.0,4.5,5,1.11,3,0,0,2,0,0,1,0.22,0,0,0,1,0,0,Matches,2023-2024,Brentford
Rarmani Edmonds-Green,eng ENG,"MF,DF",24.0,6.7,4,0.59,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Brentford
Bojan Radulovic,rs SRB,FW,23.0,4.2,13,3.08,9,0,2,1,0,1,1,0.24,0,0,1,0,0,0,Matches,2023-2024,Brentford
Kyle Hudlin,eng ENG,FW,23.0,3.1,2,0.65,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Brentford
Oliver Turton,eng ENG,DF,30.0,1.9,1,0.53,1,0,0,0,0,0,1,0.53,1,0,0,0,0,0,Matches,2023-2024,Brentford
Patrick Jones,wls WAL,"FW,MF",20.0,1.8,4,2.2,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Brentford
Jacob Chapman,au AUS,GK,22.0,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Brentford
Joshua Austerfield,eng ENG,MF,21.0,0.8,1,1.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Brentford
Loick Ayina,cg CGO,"DF,MF",20.0,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Brentford
Tom Iorpenda,eng ENG,MF,18.0,0.6,2,3.4,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Brentford
Squad Total,,,26.4,46.0,875,19.02,589,101,54,56,53,22,76,1.65,48,7,6,11,2,2,,2023-2024,Brentford
Opponent Total,,,26.0,46.0,1124,24.43,881,87,50,63,32,11,130,2.83,101,7,6,9,4,3,,2023-2024,Brentford
