Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0,Season,Team
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,
Michał Helik,pl POL,DF,27.0,40.3,2074,330,1188,800,100,65,2074,4,3,75.0,1,25.0,959,5034,3005,14,3,1,17,5,1030,9,Matches,2023-2024,Brentford
Sorba Thomas,wls WAL,"FW,MF",23.0,38.1,1887,36,214,769,955,67,1887,110,43,39.1,56,50.9,1034,8241,4360,159,97,28,74,44,1107,246,Matches,2023-2024,Brentford
Lee Nicholls,eng ENG,GK,30.0,36.7,1302,1021,1284,18,0,0,1302,0,0,,0,,646,4510,2667,0,0,0,0,0,441,0,Matches,2023-2024,Brentford
Matty Pearson,eng ENG,DF,29.0,36.0,1838,220,758,883,207,55,1838,2,1,50.0,0,0.0,702,2903,1454,10,3,0,26,5,831,19,Matches,2023-2024,Brentford
Jack Rudoni,eng ENG,"MF,FW",23.0,34.0,1718,61,277,850,619,110,1718,106,43,40.6,49,46.2,932,5831,2736,89,53,16,81,45,1023,149,Matches,2023-2024,Brentford
Jonathan Hogg,eng ENG,MF,34.0,29.9,1486,97,366,936,196,11,1486,6,4,66.7,1,16.7,640,2668,832,7,7,0,16,12,733,20,Matches,2023-2024,Brentford
Josh Koroma,sl SLE,"FW,MF",24.0,26.9,958,11,107,409,460,92,958,58,29,50.0,22,37.9,547,3454,1702,52,33,17,67,32,617,164,Matches,2023-2024,Brentford
Tom Lees,eng ENG,DF,32.0,28.0,1384,187,684,627,80,42,1384,3,2,66.7,0,0.0,620,2810,1536,13,4,0,7,1,705,2,Matches,2023-2024,Brentford
David Kasumu,eng ENG,"MF,DF",23.0,26.1,913,46,199,493,241,32,913,44,15,34.1,15,34.1,454,2796,1434,42,23,10,55,17,493,51,Matches,2023-2024,Brentford
Delano Burgzorg,sr SUR,FW,24.0,24.5,644,14,62,212,389,115,643,86,39,45.3,39,45.3,396,2834,1145,41,24,35,74,38,423,137,Matches,2023-2024,Brentford
Ben Wiles,eng ENG,MF,24.0,20.4,745,21,117,388,250,29,745,41,19,46.3,21,51.2,378,1775,782,26,18,3,44,14,426,68,Matches,2023-2024,Brentford
Yuta Nakayama,jp JPN,DF,26.0,18.8,965,83,392,455,123,2,965,8,3,37.5,5,62.5,468,2357,1336,19,13,0,17,13,525,26,Matches,2023-2024,Brentford
Brodie Gilmore,nir NIR,DF,19.0,17.0,943,52,342,404,209,16,943,29,9,31.0,13,44.8,403,2503,1277,35,19,4,23,12,446,55,Matches,2023-2024,Brentford
Jaheim Headley,eng ENG,"DF,MF",21.0,18.3,860,43,241,393,252,29,860,52,23,44.2,28,53.8,430,2885,1503,41,30,12,51,17,430,68,Matches,2023-2024,Brentford
Alex Matos,eng ENG,MF,18.0,14.2,561,35,138,311,125,17,561,17,8,47.1,7,41.2,231,1284,427,12,8,7,27,11,232,12,Matches,2023-2024,Brentford
Ben Jackson,eng ENG,"DF,MF",22.0,14.9,719,60,252,310,164,10,719,14,5,35.7,6,42.9,297,1749,911,30,15,2,13,7,325,42,Matches,2023-2024,Brentford
Danny Ward,eng ENG,FW,31.0,12.7,260,10,21,127,117,49,260,12,7,58.3,5,41.7,144,523,164,5,4,2,32,8,192,40,Matches,2023-2024,Brentford
Josh Ruffels,eng ENG,DF,29.0,8.6,444,28,131,246,71,9,444,1,0,0.0,1,100.0,155,656,353,6,2,0,5,2,202,20,Matches,2023-2024,Brentford
Chris Maxwell,wls WAL,GK,33.0,7.7,293,240,291,2,0,0,293,1,1,100.0,0,0.0,144,885,572,0,0,0,0,0,100,0,Matches,2023-2024,Brentford
