Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0,Season,Team
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,,
Pascal Groß,de GER,"MF,DF",32.0,34.6,6,0,0,23,27,3,238,22,46,0,1,0,144,14,17,45.2,Matches,2023-2024,Brighton-Hove-Albion
Lewis Dunk,eng ENG,DF,31.0,31.9,7,1,0,23,12,1,7,31,14,0,1,0,180,57,32,64.0,Matches,2023-2024,Brighton-Hove-Albion
Jan Paul van Hecke,nl NED,DF,23.0,26.3,4,0,0,14,17,0,4,30,26,0,1,0,130,66,34,66.0,Matches,2023-2024,Brighton-Hove-Albion
Simon Adingra,ci CIV,FW,21.0,24.7,3,0,0,29,19,17,76,19,20,1,0,0,118,8,12,40.0,Matches,2023-2024,Brighton-Hove-Albion
Billy Gilmour,sct SCO,MF,22.0,23.6,8,1,0,22,30,0,34,11,16,0,0,0,132,11,20,35.5,Matches,2023-2024,Brighton-Hove-Albion
Bart Verbruggen,nl NED,GK,20.0,21.0,3,0,0,1,2,0,0,0,1,0,0,0,33,5,0,100.0,Matches,2023-2024,Brighton-Hove-Albion
Danny Welbeck,eng ENG,"FW,MF",32.0,18.8,4,0,0,12,21,9,3,9,17,2,0,0,42,16,22,42.1,Matches,2023-2024,Brighton-Hove-Albion
João Pedro,br BRA,"FW,MF",21.0,22.7,2,0,0,19,60,11,29,11,14,2,0,0,65,41,22,65.1,Matches,2023-2024,Brighton-Hove-Albion
Igor,br BRA,DF,25.0,18.2,4,0,0,21,4,0,1,14,18,0,0,0,105,26,12,68.4,Matches,2023-2024,Brighton-Hove-Albion
Joël Veltman,nl NED,DF,31.0,17.6,4,0,0,17,42,1,11,18,41,0,0,0,76,28,21,57.1,Matches,2023-2024,Brighton-Hove-Albion
Jason Steele,eng ENG,GK,32.0,17.0,0,0,0,0,1,0,0,0,0,0,0,0,26,1,0,100.0,Matches,2023-2024,Brighton-Hove-Albion
Facundo Buonanotte,ar ARG,"FW,MF",18.0,15.2,7,0,0,34,41,3,6,8,22,0,0,0,66,6,16,27.3,Matches,2023-2024,Brighton-Hove-Albion
Kaoru Mitoma,jp JPN,FW,26.0,16.5,4,0,0,14,23,7,44,5,6,0,0,0,68,11,11,50.0,Matches,2023-2024,Brighton-Hove-Albion
Evan Ferguson,ie IRL,FW,18.0,15.2,1,0,0,24,25,5,1,2,6,1,0,0,25,13,18,41.9,Matches,2023-2024,Brighton-Hove-Albion
Carlos Baleba,cm CMR,MF,19.0,14.7,7,0,0,40,27,0,0,18,20,0,0,0,95,24,9,72.7,Matches,2023-2024,Brighton-Hove-Albion
Pervis Estupiñán,ec ECU,DF,25.0,13.8,4,0,0,22,17,5,65,21,13,0,0,1,90,12,14,46.2,Matches,2023-2024,Brighton-Hove-Albion
Adam Webster,eng ENG,DF,28.0,12.7,2,0,0,9,3,0,1,16,12,0,0,1,63,33,13,71.7,Matches,2023-2024,Brighton-Hove-Albion
Adam Lallana,eng ENG,"MF,FW",35.0,9.4,2,0,0,8,11,2,7,3,3,0,0,0,22,3,5,37.5,Matches,2023-2024,Brighton-Hove-Albion
James Milner,eng ENG,"DF,MF",37.0,8.6,3,0,0,10,4,3,29,8,14,0,1,0,45,6,13,31.6,Matches,2023-2024,Brighton-Hove-Albion
Tariq Lamptey,gh GHA,"DF,FW",22.0,10.2,3,0,0,11,18,3,31,6,14,0,1,0,32,4,9,30.8,Matches,2023-2024,Brighton-Hove-Albion
Jack Hinshelwood,eng ENG,DF,18.0,9.7,1,0,0,11,3,1,10,14,5,0,1,0,33,7,8,46.7,Matches,2023-2024,Brighton-Hove-Albion
Solly March,eng ENG,"FW,DF",29.0,6.2,1,0,0,12,8,7,21,11,14,0,0,0,36,6,4,60.0,Matches,2023-2024,Brighton-Hove-Albion
