Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0,Season,Team
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,
Mark Flekken,nl NED,GK,30.0,36.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Burnley
Vitaly Janelt,de GER,"MF,DF",25.0,33.9,1,21,7,33.3,0.62,0.21,0.05,0.14,18.0,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches,2023-2024,Burnley
Christian Nørgaard,dk DEN,MF,29.0,27.8,2,35,7,20.0,1.26,0.25,0.06,0.29,14.4,0,0,0,3.5,3.5,0.1,-1.5,-1.5,Matches,2023-2024,Burnley
Nathan Collins,ie IRL,DF,22.0,29.5,1,10,2,20.0,0.34,0.07,0.1,0.5,9.9,0,0,0,1.7,1.7,0.17,-0.7,-0.7,Matches,2023-2024,Burnley
Yoane Wissa,cd COD,FW,26.0,27.7,12,67,24,35.8,2.42,0.87,0.18,0.5,12.9,0,0,0,10.6,10.6,0.16,1.4,1.4,Matches,2023-2024,Burnley
Ethan Pinnock,jm JAM,DF,30.0,28.0,2,19,4,21.1,0.68,0.14,0.11,0.5,9.8,0,0,0,2.0,2.0,0.11,0.0,0.0,Matches,2023-2024,Burnley
Mathias Jensen,dk DEN,MF,27.0,24.5,3,14,7,50.0,0.57,0.29,0.21,0.43,26.7,3,0,0,0.7,0.7,0.05,2.3,2.3,Matches,2023-2024,Burnley
Mads Roerslev,dk DEN,DF,24.0,22.1,1,7,1,14.3,0.32,0.05,0.14,1.0,14.3,0,0,0,0.9,0.9,0.14,0.1,0.1,Matches,2023-2024,Burnley
Bryan Mbeumo,cm CMR,FW,23.0,21.8,9,50,16,32.0,2.3,0.73,0.12,0.38,17.1,4,3,3,9.8,7.4,0.15,-0.8,-1.4,Matches,2023-2024,Burnley
Kristoffer Ajer,no NOR,DF,25.0,20.4,2,12,4,33.3,0.59,0.2,0.17,0.5,9.9,0,0,0,1.3,1.3,0.11,0.7,0.7,Matches,2023-2024,Burnley
Ivan Toney,eng ENG,FW,27.0,16.1,4,51,21,41.2,3.17,1.3,0.08,0.19,17.4,8,0,0,6.0,6.0,0.12,-2.0,-2.0,Matches,2023-2024,Burnley
Keane Lewis-Potter,eng ENG,"FW,DF",22.0,16.0,3,43,20,46.5,2.69,1.25,0.07,0.15,12.8,0,0,0,6.3,6.3,0.15,-3.3,-3.3,Matches,2023-2024,Burnley
Ben Mee,eng ENG,DF,33.0,14.1,2,10,2,20.0,0.71,0.14,0.2,1.0,12.7,0,0,0,1.5,1.5,0.15,0.5,0.5,Matches,2023-2024,Burnley
