Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0,Season,Team
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,
Mark Flekken,nl NED,GK,30.0,36.5,10,0.27,3,7,0,0,0,0,3,0.08,1,2,0,0,0,0,Matches,2023-2024,Burnley
Vitaly Janelt,de GER,"MF,DF",25.0,33.9,80,2.36,69,2,1,3,3,2,4,0.12,3,0,0,0,1,0,Matches,2023-2024,Burnley
Christian Nørgaard,dk DEN,MF,29.0,27.8,63,2.26,48,8,0,3,2,2,3,0.11,3,0,0,0,0,0,Matches,2023-2024,Burnley
Nathan Collins,ie IRL,DF,22.0,29.5,24,0.81,22,0,0,1,0,1,2,0.07,2,0,0,0,0,0,Matches,2023-2024,Burnley
Yoane Wissa,cd COD,FW,26.0,27.7,64,2.31,43,1,4,7,7,2,10,0.36,6,0,1,1,2,0,Matches,2023-2024,Burnley
Ethan Pinnock,jm JAM,DF,30.0,28.0,24,0.86,16,1,0,6,0,1,1,0.04,1,0,0,0,0,0,Matches,2023-2024,Burnley
Mathias Jensen,dk DEN,MF,27.0,24.5,87,3.55,48,35,0,0,3,1,8,0.33,5,2,0,0,1,0,Matches,2023-2024,Burnley
Mads Roerslev,dk DEN,DF,24.0,22.1,33,1.5,29,0,3,0,0,1,3,0.14,3,0,0,0,0,0,Matches,2023-2024,Burnley
Bryan Mbeumo,cm CMR,FW,23.0,21.8,82,3.77,45,23,2,5,7,0,10,0.46,9,1,0,0,0,0,Matches,2023-2024,Burnley
Kristoffer Ajer,no NOR,DF,25.0,20.4,27,1.33,24,0,1,2,0,0,3,0.15,3,0,0,0,0,0,Matches,2023-2024,Burnley
Ivan Toney,eng ENG,FW,27.0,16.1,39,2.42,22,5,4,4,4,0,6,0.37,4,0,1,1,0,0,Matches,2023-2024,Burnley
Keane Lewis-Potter,eng ENG,"FW,DF",22.0,16.0,33,2.06,21,0,6,4,2,0,2,0.12,1,0,0,1,0,0,Matches,2023-2024,Burnley
Ben Mee,eng ENG,DF,33.0,14.1,14,0.99,11,1,0,2,0,0,1,0.07,0,0,0,1,0,0,Matches,2023-2024,Burnley
Sergio Reguilón,es ESP,DF,26.0,12.4,35,2.82,20,11,1,2,1,0,6,0.48,2,2,0,2,0,0,Matches,2023-2024,Burnley
Neal Maupay,fr FRA,FW,26.0,14.7,40,2.72,31,0,2,6,0,1,5,0.34,5,0,0,0,0,0,Matches,2023-2024,Burnley
Mathias Jørgensen,dk DEN,DF,33.0,12.1,12,0.99,11,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Burnley
Frank Onyeka,ng NGA,MF,25.0,12.9,32,2.48,22,0,2,3,4,1,1,0.08,0,0,0,1,0,0,Matches,2023-2024,Burnley
Aaron Hickey,sct SCO,DF,21.0,7.9,7,0.88,6,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Burnley
Mikkel Damsgaard,dk DEN,MF,23.0,9.4,26,2.78,18,3,0,3,1,1,5,0.54,3,0,0,1,1,0,Matches,2023-2024,Burnley
Saman Ghoddos,ir IRN,DF,29.0,8.2,20,2.44,10,5,1,0,3,1,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Burnley
Yehor Yarmoliuk,ua UKR,MF,19.0,7.6,17,2.22,12,0,1,2,2,0,1,0.13,1,0,0,0,0,0,Matches,2023-2024,Burnley
Rico Henry,eng ENG,DF,26.0,4.5,13,2.92,10,0,3,0,0,0,3,0.67,2,0,1,0,0,0,Matches,2023-2024,Burnley
Kevin Schade,de GER,"FW,MF",21.0,3.7,12,3.22,8,0,1,1,2,0,3,0.81,2,0,0,0,1,0,Matches,2023-2024,Burnley
Shandon Baptiste,gd GRN,MF,25.0,2.5,5,1.96,4,0,1,0,0,0,1,0.39,1,0,0,0,0,0,Matches,2023-2024,Burnley
Thomas Strakosha,al ALB,GK,28.0,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Burnley
Michael Olakigbe,eng ENG,"DF,FW",19.0,0.7,3,4.58,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Burnley
Josh Dasilva,eng ENG,"DF,FW",24.0,0.3,1,3.75,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Burnley
Myles Peart-Harris,eng ENG,"DF,MF",20.0,0.1,1,6.92,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Burnley
Squad Total,,,26.6,38.0,804,21.16,557,102,34,55,42,14,81,2.13,57,7,3,8,6,0,,2023-2024,Burnley
Opponent Total,,,26.1,38.0,980,25.79,778,54,58,46,21,23,119,3.13,94,5,7,7,3,3,,2023-2024,Burnley
