Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0,Season,Team
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,
Conor Gallagher,eng ENG,MF,23.0,34.8,109,3.14,78,15,5,4,1,6,14,0.4,7,5,0,1,0,1,Matches,2023-2024,Chelsea
Moisés Caicedo,ec ECU,MF,21.0,31.8,66,2.07,52,0,3,1,6,4,12,0.38,11,0,0,0,0,1,Matches,2023-2024,Chelsea
Nicolas Jackson,sn SEN,FW,22.0,31.1,95,3.05,60,1,18,8,6,2,11,0.35,7,0,2,2,0,0,Matches,2023-2024,Chelsea
Cole Palmer,eng ENG,"FW,MF",21.0,29.0,162,5.59,116,12,14,10,5,5,26,0.9,20,0,1,2,1,2,Matches,2023-2024,Chelsea
Axel Disasi,fr FRA,DF,25.0,28.7,13,0.45,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Chelsea
Thiago Silva,br BRA,DF,38.0,28.1,27,0.96,25,1,0,1,0,0,4,0.14,3,0,0,1,0,0,Matches,2023-2024,Chelsea
Enzo Fernández,ar ARG,MF,22.0,24.5,82,3.34,69,5,0,3,5,0,7,0.29,5,1,0,0,1,0,Matches,2023-2024,Chelsea
Đorđe Petrović,rs SRB,GK,23.0,22.1,1,0.05,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Chelsea
Raheem Sterling,eng ENG,"FW,MF",28.0,22.0,85,3.87,55,0,15,4,7,4,14,0.64,7,0,4,0,3,0,Matches,2023-2024,Chelsea
Levi Colwill,eng ENG,DF,20.0,20.0,27,1.35,21,1,1,4,0,0,3,0.15,3,0,0,0,0,0,Matches,2023-2024,Chelsea
Marc Cucurella,es ESP,DF,25.0,19.8,35,1.77,28,1,1,1,4,0,3,0.15,2,0,0,0,1,0,Matches,2023-2024,Chelsea
