Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Season,Team
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,,
Conor Gallagher,eng ENG,MF,23.0,34.8,85,52,37,31,17,33,77,42.9,44,50,11,39,43,128,34,0,Matches,2023-2024,Chelsea
Moisés Caicedo,ec ECU,MF,21.0,31.8,91,46,38,42,11,36,60,60.0,24,59,25,34,37,128,44,4,Matches,2023-2024,Chelsea
Nicolas Jackson,sn SEN,FW,22.0,31.1,21,13,5,8,8,5,24,20.8,19,20,5,15,4,25,17,0,Matches,2023-2024,Chelsea
Cole Palmer,eng ENG,"FW,MF",21.0,29.0,23,12,9,6,8,8,19,42.1,11,20,2,18,20,43,13,2,Matches,2023-2024,Chelsea
Axel Disasi,fr FRA,DF,25.0,28.7,33,19,20,10,3,23,30,76.7,7,26,19,7,18,51,102,2,Matches,2023-2024,Chelsea
Thiago Silva,br BRA,DF,38.0,28.1,29,15,22,6,1,20,34,58.8,14,33,24,9,26,55,153,4,Matches,2023-2024,Chelsea
Enzo Fernández,ar ARG,MF,22.0,24.5,50,22,22,18,10,27,65,41.5,38,36,13,23,17,67,28,0,Matches,2023-2024,Chelsea
Đorđe Petrović,rs SRB,GK,23.0,22.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,3,Matches,2023-2024,Chelsea
Raheem Sterling,eng ENG,"FW,MF",28.0,22.0,21,10,7,8,6,12,26,46.2,14,13,0,13,13,34,9,1,Matches,2023-2024,Chelsea
Levi Colwill,eng ENG,DF,20.0,20.0,48,30,26,17,5,26,34,76.5,8,28,10,18,26,74,66,0,Matches,2023-2024,Chelsea
Marc Cucurella,es ESP,DF,25.0,19.8,62,38,36,21,5,34,64,53.1,30,36,13,23,22,84,48,0,Matches,2023-2024,Chelsea
Malo Gusto,fr FRA,DF,20.0,19.5,55,27,34,15,6,35,52,67.3,17,28,4,24,17,72,43,1,Matches,2023-2024,Chelsea
Mykhailo Mudryk,ua UKR,FW,22.0,17.5,21,12,9,7,5,10,32,31.3,22,14,1,13,9,30,9,0,Matches,2023-2024,Chelsea
Robert Sánchez,es ESP,GK,25.0,15.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,3,Matches,2023-2024,Chelsea
Benoît Badiashile,fr FRA,DF,22.0,14.9,21,15,12,9,0,9,14,64.3,5,21,14,7,18,39,66,2,Matches,2023-2024,Chelsea
Noni Madueke,eng ENG,FW,21.0,11.7,16,10,8,4,4,11,34,32.4,23,11,0,11,4,20,14,0,Matches,2023-2024,Chelsea
Trevoh Chalobah,eng ENG,DF,24.0,10.6,16,12,10,2,4,10,15,66.7,5,8,7,1,8,24,51,0,Matches,2023-2024,Chelsea
Ben Chilwell,eng ENG,DF,26.0,8.4,15,10,5,9,1,5,8,62.5,3,11,3,8,4,19,19,1,Matches,2023-2024,Chelsea
Armando Broja,al ALB,FW,21.0,5.0,3,0,0,1,2,1,2,50.0,1,5,1,4,0,3,3,0,Matches,2023-2024,Chelsea
