Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0,Season,Team
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,,
Jordan Pickford,eng ENG,GK,29.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.26,40.0,51.0,-11.0,-0.29,,54.0,55.2,-1.2,-0.03,,Matches,2023-2024,Everton
James Tarkowski,eng ENG,DF,30.0,38,3419.0,90.0,100.0,38.0,38,90.0,37,0,,0,1.26,40.0,51.0,-11.0,-0.29,-0.29,54.0,54.8,-0.9,-0.02,29.83,Matches,2023-2024,Everton
Jarrad Branthwaite,eng ENG,DF,21.0,35,3116.0,89.0,91.1,34.6,35,89.0,34,0,,2,1.29,38.0,44.0,-6.0,-0.17,1.31,49.1,49.0,0.1,0.0,0.37,Matches,2023-2024,Everton
James Garner,eng ENG,MF,22.0,37,3004.0,81.0,87.8,33.4,34,86.0,29,3,22.0,0,1.22,36.0,47.0,-11.0,-0.33,-0.33,48.5,47.8,0.7,0.02,0.43,Matches,2023-2024,Everton
Dwight McNeil,eng ENG,"MF,FW",23.0,35,2892.0,83.0,84.6,32.1,33,86.0,24,2,22.0,0,1.37,37.0,39.0,-2.0,-0.06,1.47,43.3,44.6,-1.3,-0.04,-0.06,Matches,2023-2024,Everton
Abdoulaye Doucouré,ml MLI,"FW,MF",30.0,32,2629.0,82.0,76.9,29.2,32,82.0,17,0,,0,1.44,33.0,36.0,-3.0,-0.1,0.81,40.3,41.8,-1.5,-0.05,-0.08,Matches,2023-2024,Everton
Vitaliy Mykolenko,ua UKR,DF,24.0,28,2469.0,88.0,72.2,27.4,28,88.0,25,0,,4,1.32,30.0,37.0,-7.0,-0.26,0.12,38.7,40.0,-1.3,-0.05,-0.06,Matches,2023-2024,Everton
Ashley Young,eng ENG,"DF,MF",38.0,31,2280.0,74.0,66.7,25.3,27,81.0,14,4,21.0,1,1.32,28.0,32.0,-4.0,-0.16,0.39,36.5,33.1,3.3,0.13,0.49,Matches,2023-2024,Everton
Dominic Calvert-Lewin,eng ENG,FW,26.0,32,2171.0,68.0,63.5,24.1,26,78.0,4,6,26.0,0,1.28,26.0,27.0,-1.0,-0.04,0.68,32.4,31.2,1.3,0.05,0.23,Matches,2023-2024,Everton
Jack Harrison,eng ENG,"MF,FW",26.0,29,2214.0,76.0,64.7,24.6,25,84.0,17,4,31.0,1,1.38,27.0,26.0,1.0,0.04,0.94,32.5,33.6,-1.0,-0.04,-0.03,Matches,2023-2024,Everton
Idrissa Gana Gueye,sn SEN,MF,33.0,25,1884.0,75.0,55.1,20.9,24,77.0,12,1,45.0,3,1.36,23.0,25.0,-2.0,-0.1,0.43,30.8,28.7,2.1,0.1,0.29,Matches,2023-2024,Everton
Amadou Onana,be BEL,MF,21.0,30,2091.0,70.0,61.1,23.2,23,83.0,16,7,27.0,1,1.1,21.0,38.0,-17.0,-0.73,-1.14,33.3,36.5,-3.1,-0.14,-0.27,Matches,2023-2024,Everton
