Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0,Season,Team
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,,
Bernd Leno,de GER,GK,31.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.24,55.0,61.0,-6.0,-0.16,,50.8,62.9,-12.1,-0.32,,Matches,2023-2024,Fulham
Antonee Robinson,us USA,DF,25.0,37,3265.0,88.0,95.5,36.3,37,88.0,32,0,,0,1.19,52.0,60.0,-8.0,-0.22,-1.38,48.0,61.0,-13.0,-0.36,-0.87,Matches,2023-2024,Fulham
Andreas Pereira,br BRA,MF,27.0,37,2613.0,71.0,76.4,29.0,34,74.0,5,3,28.0,1,1.19,39.0,40.0,-1.0,-0.03,0.52,38.5,42.0,-3.5,-0.12,0.84,Matches,2023-2024,Fulham
João Palhinha,pt POR,MF,28.0,33,2699.0,82.0,78.9,30.0,31,86.0,18,2,23.0,0,1.06,43.0,46.0,-3.0,-0.1,0.27,37.1,48.5,-11.4,-0.38,-0.29,Matches,2023-2024,Fulham
Timothy Castagne,be BEL,DF,27.0,34,2634.0,77.0,77.0,29.3,29,88.0,25,5,16.0,1,1.26,41.0,40.0,1.0,0.03,0.84,40.8,40.7,0.1,0.0,1.4,Matches,2023-2024,Fulham
Calvin Bassey,ng NGA,DF,23.0,29,2303.0,79.0,67.3,25.6,25,90.0,24,4,15.0,4,1.31,44.0,42.0,2.0,0.08,0.72,36.4,39.6,-3.2,-0.12,0.6,Matches,2023-2024,Fulham
Alex Iwobi,ng NGA,"FW,MF",27.0,30,2192.0,73.0,64.1,24.4,25,81.0,9,5,34.0,0,1.27,38.0,38.0,0.0,0.0,0.44,34.7,33.9,0.7,0.03,0.97,Matches,2023-2024,Fulham
Willian,br BRA,FW,34.0,31,2053.0,66.0,60.0,22.8,24,77.0,9,7,29.0,2,1.29,34.0,28.0,6.0,0.26,1.05,33.9,34.9,-1.0,-0.04,0.69,Matches,2023-2024,Fulham
Tosin Adarabioyo,eng ENG,DF,25.0,20,1617.0,81.0,47.3,18.0,18,90.0,17,2,2.0,2,1.4,28.0,25.0,3.0,0.17,0.62,27.6,28.0,-0.5,-0.03,0.56,Matches,2023-2024,Fulham
Rodrigo Muniz,br BRA,FW,22.0,26,1593.0,61.0,46.6,17.7,18,80.0,7,8,18.0,7,1.04,24.0,27.0,-3.0,-0.17,-0.02,25.5,26.1,-0.6,-0.04,0.53,Matches,2023-2024,Fulham
Raúl Jiménez,mx MEX,FW,32.0,24,1395.0,58.0,40.8,15.5,18,71.0,4,6,19.0,5,1.25,25.0,26.0,-1.0,-0.06,0.16,17.3,28.8,-11.5,-0.74,-0.71,Matches,2023-2024,Fulham
Tim Ream,us USA,DF,35.0,18,1503.0,84.0,43.9,16.7,17,87.0,15,1,16.0,13,1.22,24.0,29.0,-5.0,-0.3,-0.25,20.9,27.9,-7.0,-0.42,-0.18,Matches,2023-2024,Fulham
Bobby Reid,jm JAM,FW,30.0,33,1423.0,43.0,41.6,15.8,17,69.0,1,16,16.0,5,1.24,22.0,29.0,-7.0,-0.44,-0.49,18.8,27.9,-9.1,-0.56,-0.42,Matches,2023-2024,Fulham
Harry Wilson,wls WAL,FW,26.0,35,1620.0,46.0,47.4,18.0,16,76.0,5,19,22.0,1,1.26,21.0,30.0,-9.0,-0.5,-0.65,20.6,32.1,-11.5,-0.64,-0.61,Matches,2023-2024,Fulham
Issa Diop,fr FRA,DF,26.0,18,1424.0,79.0,41.6,15.8,16,88.0,13,2,11.0,3,1.28,12.0,25.0,-13.0,-0.82,-1.14,16.7,30.3,-13.6,-0.86,-0.93,Matches,2023-2024,Fulham
Harrison Reed,eng ENG,MF,28.0,27,1325.0,49.0,38.7,14.7,15,78.0,6,12,13.0,10,1.52,22.0,23.0,-1.0,-0.07,0.15,18.6,24.8,-6.2,-0.42,-0.17,Matches,2023-2024,Fulham
Tom Cairney,sct SCO,MF,32.0,34,1488.0,44.0,43.5,16.5,14,77.0,6,20,21.0,4,1.18,29.0,27.0,2.0,0.12,0.49,25.9,28.7,-2.8,-0.17,0.26,Matches,2023-2024,Fulham
Saša Lukić,rs SRB,MF,26.0,24,1122.0,47.0,32.8,12.5,13,77.0,5,11,12.0,9,1.08,14.0,20.0,-6.0,-0.48,-0.48,16.7,22.6,-5.9,-0.47,-0.23,Matches,2023-2024,Fulham
Kenny Tete,nl NED,DF,27.0,14,867.0,62.0,25.4,9.6,10,82.0,5,4,13.0,14,1.07,14.0,21.0,-7.0,-0.73,-0.76,9.5,21.9,-12.4,-1.28,-1.29,Matches,2023-2024,Fulham
Carlos Vinícius,br BRA,FW,28.0,13,315.0,24.0,9.2,3.5,2,61.0,0,11,18.0,7,1.23,6.0,5.0,1.0,0.29,0.49,6.5,4.3,2.2,0.63,1.05,Matches,2023-2024,Fulham
Adama Traoré,es ESP,"FW,MF",27.0,17,377.0,22.0,11.0,4.2,1,78.0,0,16,19.0,2,1.06,11.0,13.0,-2.0,-0.48,-0.36,6.8,11.9,-5.1,-1.21,-1.0,Matches,2023-2024,Fulham
Armando Broja,al ALB,FW,21.0,8,88.0,11.0,2.6,1.0,0,,0,8,11.0,4,1.38,2.0,4.0,-2.0,-2.05,-1.94,2.3,2.8,-0.5,-0.53,-0.21,Matches,2023-2024,Fulham
Luke Harris,wls WAL,MF,18.0,1,75.0,75.0,2.2,0.8,0,,0,1,75.0,4,0.0,1.0,5.0,-4.0,-4.8,-4.75,1.4,2.2,-0.8,-0.92,-0.62,Matches,2023-2024,Fulham
Fodé Ballo-Touré,sn SEN,"DF,MF",26.0,6,71.0,12.0,2.1,0.8,0,,0,6,12.0,16,2.0,2.0,1.0,1.0,1.27,1.46,1.9,1.1,0.8,0.98,1.32,Matches,2023-2024,Fulham
Aleksandar Mitrović,rs SRB,FW,28.0,1,33.0,33.0,1.0,0.4,0,,0,1,33.0,0,3.0,1.0,0.0,1.0,2.73,2.91,1.2,0.6,0.7,1.79,2.13,Matches,2023-2024,Fulham
Marek Rodák,sk SVK,GK,26.0,0,,,0.0,0.0,0,,0,0,,37,1.0,2.0,2.0,0.0,,,,,,,,Matches,2023-2024,Fulham
Luc De Fougerolles,ca CAN,DF,17.0,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,2023-2024,Fulham
Matt Dibley-Dias,nz NZL,MF,19.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,2023-2024,Fulham
Tyrese Francois,au AUS,MF,23.0,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,2023-2024,Fulham
Joshua King,eng ENG,MF,16.0,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,2023-2024,Fulham
Kevin Mbabu,ch SUI,"DF,MF",28.0,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,2023-2024,Fulham
Kristian Sekularac,ch SUI,MF,19.0,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,2023-2024,Fulham
Jay Stansfield,eng ENG,"FW,MF",20.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,2023-2024,Fulham
Devan Tanton,co COL,DF,19.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,2023-2024,Fulham
Squad Total,,,28.4,38,3420.0,90.0,100.0,38.0,418,82.0,244,170,18.0,171,1.24,55.0,61.0,-6.0,-0.16,,50.8,62.9,-12.1,-0.32,,,2023-2024,Fulham
Opponent Total,,,26.1,38,3420.0,90.0,100.0,38.0,418,82.0,263,158,21.0,183,1.55,61.0,55.0,6.0,0.16,,62.9,50.8,12.1,0.32,,,2023-2024,Fulham
