Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0,Season,Team
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,,
Bernd Leno,de GER,GK,31.0,38.0,3,0,0,0,3,0,0,0,0,0,0,1,58,10,1,90.9,Matches,2023-2024,Fulham
Antonee Robinson,us USA,DF,25.0,36.3,6,0,0,34,20,3,132,80,58,0,0,2,227,42,27,60.9,Matches,2023-2024,Fulham
Andreas Pereira,br BRA,MF,27.0,29.0,6,0,0,22,27,3,220,4,12,0,0,0,99,13,36,26.5,Matches,2023-2024,Fulham
João Palhinha,pt POR,MF,28.0,30.0,13,0,0,52,56,2,5,46,75,0,1,0,195,40,31,56.3,Matches,2023-2024,Fulham
Timothy Castagne,be BEL,DF,27.0,29.3,3,0,0,22,10,3,50,38,24,0,0,0,119,35,32,52.2,Matches,2023-2024,Fulham
Calvin Bassey,ng NGA,DF,23.0,25.6,6,1,1,15,11,2,3,28,29,0,1,0,171,30,25,54.5,Matches,2023-2024,Fulham
Alex Iwobi,ng NGA,"FW,MF",27.0,24.4,2,0,0,12,5,5,60,14,18,0,0,0,145,6,19,24.0,Matches,2023-2024,Fulham
Willian,br BRA,FW,34.0,22.8,1,0,0,9,30,1,75,9,11,0,0,0,99,9,15,37.5,Matches,2023-2024,Fulham
Tosin Adarabioyo,eng ENG,DF,25.0,18.0,2,0,0,10,5,0,1,25,11,0,0,0,43,56,28,66.7,Matches,2023-2024,Fulham
Rodrigo Muniz,br BRA,FW,22.0,17.7,1,0,0,24,34,4,2,6,3,0,0,0,34,74,109,40.4,Matches,2023-2024,Fulham
Raúl Jiménez,mx MEX,FW,32.0,15.5,3,1,0,17,21,12,7,4,12,0,0,0,43,44,59,42.7,Matches,2023-2024,Fulham
Tim Ream,us USA,DF,35.0,16.7,4,1,1,8,6,1,1,25,9,0,2,0,79,25,19,56.8,Matches,2023-2024,Fulham
Bobby Reid,jm JAM,FW,30.0,15.8,4,0,0,16,25,4,35,5,14,0,0,0,60,13,24,35.1,Matches,2023-2024,Fulham
Harry Wilson,wls WAL,FW,26.0,18.0,6,0,0,21,40,5,42,10,14,1,0,0,78,5,6,45.5,Matches,2023-2024,Fulham
Issa Diop,fr FRA,DF,26.0,15.8,4,1,1,17,4,0,0,17,16,0,3,0,65,25,17,59.5,Matches,2023-2024,Fulham
Harrison Reed,eng ENG,MF,28.0,14.7,6,0,0,26,10,0,19,11,18,0,0,0,72,9,13,40.9,Matches,2023-2024,Fulham
Tom Cairney,sct SCO,MF,32.0,16.5,3,0,0,16,23,0,25,13,16,1,0,1,105,14,6,70.0,Matches,2023-2024,Fulham
Saša Lukić,rs SRB,MF,26.0,12.5,3,0,0,27,9,0,4,16,19,0,0,0,65,11,8,57.9,Matches,2023-2024,Fulham
Kenny Tete,nl NED,DF,27.0,9.6,2,0,0,16,12,0,23,16,17,0,1,0,45,5,5,50.0,Matches,2023-2024,Fulham
Carlos Vinícius,br BRA,FW,28.0,3.5,2,0,0,4,2,6,1,0,2,0,0,0,9,4,11,26.7,Matches,2023-2024,Fulham
Adama Traoré,es ESP,"FW,MF",27.0,4.2,2,0,0,5,4,0,26,1,3,0,0,0,13,9,6,60.0,Matches,2023-2024,Fulham
Armando Broja,al ALB,FW,21.0,1.0,0,0,0,5,3,0,1,0,0,0,0,0,3,6,9,40.0,Matches,2023-2024,Fulham
Luke Harris,wls WAL,MF,18.0,0.8,0,0,0,2,2,0,0,0,1,0,0,0,3,0,0,,Matches,2023-2024,Fulham
Fodé Ballo-Touré,sn SEN,"DF,MF",26.0,0.8,1,0,0,4,2,0,4,3,2,0,0,0,6,0,2,0.0,Matches,2023-2024,Fulham
Aleksandar Mitrović,rs SRB,FW,28.0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,66.7,Matches,2023-2024,Fulham
Squad Total,,,28.4,38.0,84,4,3,384,364,51,736,371,384,2,8,4,1837,487,509,48.9,,2023-2024,Fulham
Opponent Total,,,26.1,38.0,65,0,0,385,373,99,597,321,333,8,2,1,1857,509,487,51.1,,2023-2024,Fulham
