Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0,Season,Team
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,,
Virgil van Dijk,nl NED,DF,32.0,36,3177.0,88.0,92.9,35.3,36,88.0,35,0,,0,2.11,78.0,40.0,38.0,1.08,-1.52,82.1,43.1,39.1,1.11,0.01,Matches,2023-2024,Liverpool
Luis Díaz,co COL,FW,26.0,37,2629.0,71.0,76.9,29.2,32,78.0,11,5,24.0,0,2.14,67.0,33.0,34.0,1.16,-0.09,66.1,35.4,30.7,1.05,-0.24,Matches,2023-2024,Liverpool
Alexis Mac Allister,ar ARG,MF,24.0,33,2599.0,79.0,76.0,28.9,31,83.0,17,2,17.0,0,2.15,62.0,34.0,28.0,0.97,-0.89,66.1,34.9,31.2,1.08,-0.11,Matches,2023-2024,Liverpool
Mohamed Salah,eg EGY,FW,31.0,32,2534.0,79.0,74.1,28.2,28,87.0,22,4,27.0,0,2.09,59.0,30.0,29.0,1.03,-0.6,67.8,32.5,35.3,1.25,0.57,Matches,2023-2024,Liverpool
Alisson,br BRA,GK,30.0,28,2520.0,90.0,73.7,28.0,28,90.0,28,0,,0,2.0,60.0,30.0,30.0,1.07,-0.43,62.1,35.4,26.7,0.95,-0.58,Matches,2023-2024,Liverpool
Trent Alexander-Arnold,eng ENG,DF,24.0,28,2155.0,77.0,63.0,23.9,25,83.0,14,3,28.0,0,2.0,53.0,28.0,25.0,1.04,-0.38,54.5,28.5,26.0,1.09,-0.05,Matches,2023-2024,Liverpool
Dominik Szoboszlai,hu HUN,MF,22.0,33,2104.0,64.0,61.5,23.4,25,79.0,12,8,15.0,0,2.12,42.0,23.0,19.0,0.81,-0.97,50.5,25.5,25.1,1.07,-0.09,Matches,2023-2024,Liverpool
Darwin Núñez,uy URU,FW,24.0,36,2047.0,57.0,59.9,22.7,22,79.0,9,14,21.0,1,2.19,48.0,25.0,23.0,1.01,-0.43,52.8,25.6,27.2,1.19,0.22,Matches,2023-2024,Liverpool
Wataru Endo,jp JPN,MF,30.0,29,1722.0,59.0,50.4,19.1,20,79.0,11,9,15.0,4,2.21,42.0,16.0,26.0,1.36,0.35,45.5,22.5,22.9,1.2,0.19,Matches,2023-2024,Liverpool
Andrew Robertson,sct SCO,DF,29.0,23,1693.0,74.0,49.5,18.8,18,86.0,14,5,28.0,0,2.04,43.0,22.0,21.0,1.12,-0.13,45.4,23.0,22.4,1.19,0.17,Matches,2023-2024,Liverpool
Joe Gomez,eng ENG,DF,26.0,32,1786.0,56.0,52.2,19.8,17,85.0,12,15,23.0,4,2.22,47.0,19.0,28.0,1.41,0.47,46.9,27.0,19.9,1.0,-0.22,Matches,2023-2024,Liverpool
Cody Gakpo,nl NED,"FW,MF",24.0,35,1649.0,47.0,48.2,18.3,17,73.0,3,18,23.0,0,2.23,52.0,20.0,32.0,1.75,1.09,46.4,23.8,22.6,1.23,0.24,Matches,2023-2024,Liverpool
Ibrahima Konaté,fr FRA,DF,24.0,22,1574.0,72.0,46.0,17.5,17,87.0,14,5,20.0,11,2.0,38.0,18.0,20.0,1.14,-0.08,41.3,21.9,19.4,1.11,0.01,Matches,2023-2024,Liverpool
Curtis Jones,eng ENG,MF,22.0,23,1167.0,51.0,34.1,13.0,14,70.0,4,9,20.0,4,1.96,31.0,17.0,14.0,1.08,-0.16,31.7,15.5,16.2,1.25,0.22,Matches,2023-2024,Liverpool
Diogo Jota,pt POR,FW,26.0,21,1145.0,55.0,33.5,12.7,14,71.0,3,7,22.0,1,2.29,34.0,10.0,24.0,1.89,1.06,28.5,14.0,14.5,1.14,0.05,Matches,2023-2024,Liverpool
Jarell Quansah,eng ENG,DF,20.0,17,1190.0,70.0,34.8,13.2,13,87.0,10,4,16.0,17,2.35,31.0,15.0,16.0,1.21,0.04,32.5,13.9,18.6,1.4,0.46,Matches,2023-2024,Liverpool
Ryan Gravenberch,nl NED,MF,21.0,26,1121.0,43.0,32.8,12.5,12,68.0,1,14,22.0,5,2.23,28.0,17.0,11.0,0.88,-0.45,27.0,15.0,12.0,0.96,-0.21,Matches,2023-2024,Liverpool
Harvey Elliott,eng ENG,"MF,FW",20.0,34,1352.0,40.0,39.5,15.0,11,77.0,4,23,22.0,4,2.15,41.0,13.0,28.0,1.86,1.12,37.2,18.6,18.6,1.24,0.22,Matches,2023-2024,Liverpool
Caoimhín Kelleher,ie IRL,GK,24.0,10,900.0,90.0,26.3,10.0,10,90.0,10,0,,27,2.6,26.0,11.0,15.0,1.5,0.43,25.7,10.3,15.4,1.54,0.58,Matches,2023-2024,Liverpool
Conor Bradley,nir NIR,DF,20.0,11,753.0,68.0,22.0,8.4,10,73.0,2,1,20.0,8,2.36,18.0,7.0,11.0,1.31,0.17,18.7,7.3,11.3,1.35,0.32,Matches,2023-2024,Liverpool
Joël Matip,cm CMR,DF,31.0,10,781.0,78.0,22.8,8.7,9,84.0,6,1,25.0,4,2.3,20.0,9.0,11.0,1.27,0.11,16.6,11.3,5.3,0.61,-0.64,Matches,2023-2024,Liverpool
Kostas Tsimikas,gr GRE,DF,27.0,13,679.0,52.0,19.9,7.5,8,79.0,6,5,9.0,17,2.15,16.0,7.0,9.0,1.19,0.01,14.3,8.4,5.8,0.77,-0.41,Matches,2023-2024,Liverpool
Bobby Clark,eng ENG,MF,18.0,5,89.0,18.0,2.6,1.0,1,59.0,0,4,8.0,6,3.0,2.0,0.0,2.0,2.02,0.86,1.7,1.7,-0.1,-0.05,-1.19,Matches,2023-2024,Liverpool
Stefan Bajcetic,es ESP,MF,18.0,1,26.0,26.0,0.8,0.3,0,,0,1,26.0,6,3.0,0.0,2.0,-2.0,-6.92,-8.17,0.8,0.9,-0.2,-0.58,-1.7,Matches,2023-2024,Liverpool
Ben Doak,sct SCO,FW,17.0,1,14.0,14.0,0.4,0.2,0,,0,1,14.0,8,1.0,0.0,0.0,0.0,0.0,-1.19,0.0,0.0,0.0,0.24,-0.87,Matches,2023-2024,Liverpool
Jayden Danns,eng ENG,FW,17.0,2,9.0,5.0,0.3,0.1,0,,0,2,5.0,4,3.0,2.0,0.0,2.0,20.0,18.87,0.6,0.1,0.5,4.56,3.47,Matches,2023-2024,Liverpool
Owen Beck,wls WAL,DF,20.0,1,8.0,8.0,0.2,0.1,0,,0,1,8.0,0,3.0,1.0,0.0,1.0,11.25,10.09,0.3,0.9,-0.6,-6.87,-7.99,Matches,2023-2024,Liverpool
Thiago Alcántara,es ESP,MF,32.0,1,6.0,6.0,0.2,0.1,0,,0,1,6.0,0,0.0,0.0,1.0,-1.0,-15.0,-16.21,0.0,0.0,0.0,-0.62,-1.73,Matches,2023-2024,Liverpool
James McConnell,eng ENG,MF,18.0,3,4.0,1.0,0.1,0.0,0,,0,3,1.0,15,3.0,1.0,0.0,1.0,22.5,21.34,0.2,0.0,0.2,3.67,2.57,Matches,2023-2024,Liverpool
Kaide Gordon,eng ENG,FW,18.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,1,3.0,0.0,0.0,0.0,0.0,-1.18,0.0,0.4,-0.4,-39.59,-40.7,Matches,2023-2024,Liverpool
Adrián,es ESP,GK,36.0,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches,2023-2024,Liverpool
Luke Chambers,eng ENG,DF,19.0,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,2023-2024,Liverpool
Lewis Koumas,wls WAL,MF,17.0,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,2023-2024,Liverpool
Fabian Mrozek,pl POL,GK,19.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,2023-2024,Liverpool
Amara Nallo,eng ENG,DF,16.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,2023-2024,Liverpool
Trey Nyoni,eng ENG,MF,16.0,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,2023-2024,Liverpool
Marcelo Pitaluga,br BRA,GK,20.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,2023-2024,Liverpool
Calum Scanlon,eng ENG,MF,18.0,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,2023-2024,Liverpool
