Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0,Season,Team
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,
Virgil van Dijk,nl NED,DF,32.0,35.3,59,1.67,54,0,0,5,0,0,4,0.11,4,0,0,0,0,0,Matches,2023-2024,Liverpool
Luis Díaz,co COL,FW,26.0,29.2,163,5.58,121,1,17,15,8,1,9,0.31,9,0,0,0,0,0,Matches,2023-2024,Liverpool
Alexis Mac Allister,ar ARG,MF,24.0,28.9,108,3.74,92,5,3,1,5,2,12,0.42,10,1,1,0,0,0,Matches,2023-2024,Liverpool
Mohamed Salah,eg EGY,FW,31.0,28.2,139,4.94,103,2,7,21,5,1,20,0.71,14,0,2,3,1,0,Matches,2023-2024,Liverpool
Alisson,br BRA,GK,30.0,28.0,11,0.39,10,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Liverpool
Trent Alexander-Arnold,eng ENG,DF,24.0,23.9,126,5.27,80,33,5,6,0,2,7,0.29,4,3,0,0,0,0,Matches,2023-2024,Liverpool
Dominik Szoboszlai,hu HUN,MF,22.0,23.4,115,4.92,84,21,4,3,3,0,7,0.3,5,0,0,1,1,0,Matches,2023-2024,Liverpool
Darwin Núñez,uy URU,FW,24.0,22.7,79,3.47,60,0,5,12,2,0,14,0.62,11,0,0,2,1,0,Matches,2023-2024,Liverpool
Wataru Endo,jp JPN,MF,30.0,19.1,54,2.82,43,0,2,4,2,3,3,0.16,3,0,0,0,0,0,Matches,2023-2024,Liverpool
Andrew Robertson,sct SCO,DF,29.0,18.8,97,5.16,62,33,1,0,1,0,5,0.27,3,2,0,0,0,0,Matches,2023-2024,Liverpool
Joe Gomez,eng ENG,DF,26.0,19.8,51,2.57,43,0,1,4,3,0,5,0.25,4,0,0,1,0,0,Matches,2023-2024,Liverpool
Cody Gakpo,nl NED,"FW,MF",24.0,18.3,73,3.98,47,1,6,12,5,2,10,0.55,6,0,1,2,1,0,Matches,2023-2024,Liverpool
Ibrahima Konaté,fr FRA,DF,24.0,17.5,24,1.37,24,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches,2023-2024,Liverpool
Curtis Jones,eng ENG,MF,22.0,13.0,36,2.78,28,0,3,3,1,1,3,0.23,3,0,0,0,0,0,Matches,2023-2024,Liverpool
Diogo Jota,pt POR,FW,26.0,12.7,48,3.77,36,0,5,3,4,0,14,1.1,7,0,4,1,2,0,Matches,2023-2024,Liverpool
Jarell Quansah,eng ENG,DF,20.0,13.2,13,0.98,13,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches,2023-2024,Liverpool
Ryan Gravenberch,nl NED,MF,21.0,12.5,44,3.54,36,0,2,6,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Liverpool
Harvey Elliott,eng ENG,"MF,FW",20.0,15.0,78,5.19,61,9,2,3,1,2,10,0.67,6,1,1,0,1,1,Matches,2023-2024,Liverpool
Caoimhín Kelleher,ie IRL,GK,24.0,10.0,2,0.2,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Liverpool
Conor Bradley,nir NIR,DF,20.0,8.4,27,3.22,18,1,3,2,1,2,3,0.36,2,1,0,0,0,0,Matches,2023-2024,Liverpool
Joël Matip,cm CMR,DF,31.0,8.7,8,0.92,8,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches,2023-2024,Liverpool
Kostas Tsimikas,gr GRE,DF,27.0,7.5,32,4.24,20,9,0,0,2,1,2,0.27,2,0,0,0,0,0,Matches,2023-2024,Liverpool
Bobby Clark,eng ENG,MF,18.0,1.0,1,1.01,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Liverpool
Stefan Bajcetic,es ESP,MF,18.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Liverpool
Ben Doak,sct SCO,FW,17.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Liverpool
Jayden Danns,eng ENG,FW,17.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Liverpool
Owen Beck,wls WAL,DF,20.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Liverpool
Thiago Alcántara,es ESP,MF,32.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Liverpool
James McConnell,eng ENG,MF,18.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Liverpool
Kaide Gordon,eng ENG,FW,18.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Liverpool
Squad Total,,,26.3,38.0,1388,36.53,1045,116,66,101,43,17,131,3.45,96,8,9,10,7,1,,2023-2024,Liverpool
Opponent Total,,,26.2,38.0,720,18.95,481,72,60,42,45,20,61,1.61,37,7,6,7,3,1,,2023-2024,Liverpool
