Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0,Season,Team
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,
Rodri,es ESP,MF,27.0,32.6,8,62,22,35.5,1.9,0.68,0.13,0.36,20.6,0,0,0,4.1,4.1,0.07,3.9,3.9,Matches,2023-2024,Manchester-City
Phil Foden,eng ENG,"FW,MF",23.0,31.7,19,105,48,45.7,3.31,1.51,0.18,0.4,18.5,4,0,0,10.3,10.3,0.1,8.7,8.7,Matches,2023-2024,Manchester-City
Ederson,br BRA,GK,29.0,30.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Manchester-City
Julián Álvarez,ar ARG,"MF,FW",23.0,29.4,11,96,37,38.5,3.26,1.26,0.09,0.24,17.8,13,2,2,13.0,11.5,0.12,-2.0,-2.5,Matches,2023-2024,Manchester-City
Kyle Walker,eng ENG,DF,33.0,30.7,0,16,3,18.8,0.52,0.1,0.0,0.0,29.4,1,0,0,0.4,0.4,0.02,-0.4,-0.4,Matches,2023-2024,Manchester-City
Bernardo Silva,pt POR,"MF,FW",28.0,28.6,6,34,15,44.1,1.19,0.52,0.18,0.4,15.9,0,0,0,3.7,3.7,0.11,2.3,2.3,Matches,2023-2024,Manchester-City
Erling Haaland,no NOR,FW,23.0,28.4,27,113,50,44.2,3.99,1.76,0.18,0.4,11.9,1,7,8,29.2,22.9,0.2,-2.2,-2.9,Matches,2023-2024,Manchester-City
Rúben Dias,pt POR,DF,26.0,28.4,0,20,8,40.0,0.7,0.28,0.0,0.0,15.2,0,0,0,1.4,1.4,0.07,-1.4,-1.4,Matches,2023-2024,Manchester-City
Manuel Akanji,ch SUI,"DF,MF",28.0,27.9,2,15,5,33.3,0.54,0.18,0.13,0.4,17.0,0,0,0,1.9,1.9,0.13,0.1,0.1,Matches,2023-2024,Manchester-City
Joško Gvardiol,hr CRO,DF,21.0,25.9,4,32,13,40.6,1.24,0.5,0.13,0.31,15.6,0,0,0,3.1,3.1,0.1,0.9,0.9,Matches,2023-2024,Manchester-City
Nathan Aké,nl NED,DF,28.0,22.7,2,20,5,25.0,0.88,0.22,0.1,0.4,10.8,0,0,0,2.5,2.5,0.12,-0.5,-0.5,Matches,2023-2024,Manchester-City
Jeremy Doku,be BEL,"FW,MF",21.0,17.7,3,55,19,34.5,3.1,1.07,0.05,0.16,16.4,0,0,0,2.5,2.5,0.05,0.5,0.5,Matches,2023-2024,Manchester-City
Mateo Kovačić,hr CRO,MF,29.0,17.2,1,22,5,22.7,1.28,0.29,0.05,0.2,20.8,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches,2023-2024,Manchester-City
Kevin De Bruyne,be BEL,MF,32.0,13.6,4,44,17,38.6,3.24,1.25,0.09,0.24,21.4,6,0,0,2.4,2.4,0.05,1.6,1.6,Matches,2023-2024,Manchester-City
John Stones,eng ENG,"DF,MF",29.0,11.8,1,4,2,50.0,0.34,0.17,0.25,0.5,15.9,0,0,0,1.0,1.0,0.26,0.0,0.0,Matches,2023-2024,Manchester-City
Jack Grealish,eng ENG,"FW,MF",27.0,11.2,3,22,5,22.7,1.96,0.45,0.14,0.6,16.1,0,0,0,2.1,2.1,0.09,0.9,0.9,Matches,2023-2024,Manchester-City
Rico Lewis,eng ENG,"DF,MF",18.0,9.0,2,5,4,80.0,0.56,0.44,0.4,0.5,15.5,0,0,0,0.6,0.6,0.13,1.4,1.4,Matches,2023-2024,Manchester-City
Matheus Nunes,pt POR,MF,24.0,7.3,0,9,4,44.4,1.23,0.54,0.0,0.0,17.9,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches,2023-2024,Manchester-City
Stefan Ortega,de GER,GK,30.0,7.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Manchester-City
Oscar Bobb,no NOR,"FW,MF",20.0,3.4,1,4,1,25.0,1.19,0.3,0.25,1.0,11.1,0,0,0,1.4,1.4,0.35,-0.4,-0.4,Matches,2023-2024,Manchester-City
Kalvin Phillips,eng ENG,MF,27.0,1.0,0,2,0,0.0,1.94,0.0,0.0,,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,2023-2024,Manchester-City
