Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Season,Team
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,,
Bruno Guimarães,br BRA,MF,25.0,36.3,88,53,45,32,11,40,77,51.9,37,52,14,38,35,123,20,0,Matches,2023-2024,Newcastle-United
Fabian Schär,ch SUI,DF,31.0,33.9,42,24,27,13,2,18,40,45.0,22,50,38,12,36,78,133,1,Matches,2023-2024,Newcastle-United
Anthony Gordon,eng ENG,FW,22.0,32.1,55,34,16,28,11,22,64,34.4,42,27,0,27,7,62,7,0,Matches,2023-2024,Newcastle-United
Dan Burn,eng ENG,DF,31.0,30.3,61,33,37,20,4,26,61,42.6,35,55,25,30,37,98,124,1,Matches,2023-2024,Newcastle-United
Sean Longstaff,eng ENG,MF,25.0,30.5,54,30,17,29,8,24,63,38.1,39,43,7,36,17,71,23,0,Matches,2023-2024,Newcastle-United
Alexander Isak,se SWE,FW,23.0,25.1,5,0,2,1,2,2,8,25.0,6,16,1,15,6,11,13,0,Matches,2023-2024,Newcastle-United
Kieran Trippier,eng ENG,DF,32.0,24.8,57,27,30,16,11,37,77,48.1,40,41,8,33,24,81,57,3,Matches,2023-2024,Newcastle-United
Miguel Almirón,py PAR,FW,29.0,21.5,36,24,13,15,8,11,29,37.9,18,29,2,27,10,46,13,0,Matches,2023-2024,Newcastle-United
Martin Dúbravka,sk SVK,GK,34.0,22.1,0,0,0,0,0,0,4,0.0,4,0,0,0,0,0,8,1,Matches,2023-2024,Newcastle-United
Sven Botman,nl NED,DF,23.0,15.3,20,13,14,6,0,8,13,61.5,5,20,16,4,9,29,61,3,Matches,2023-2024,Newcastle-United
