Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Season,Team
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,,
Ethan Ampadu,wls WAL,"MF,DF",22.0,46.0,2940,3337,88.1,53684,16859,1163,1266,91.9,1493,1606,93.0,252,379,66.5,1,2.7,3.6,-1.7,36,255,20,0,237,Matches,2023-2024,Nott'ham-Forest
Illan Meslier,fr FRA,GK,23.0,43.6,1559,1894,82.3,34687,20517,372,372,100.0,949,954,99.5,233,559,41.7,0,0.0,0.0,0.0,0,14,1,0,0,Matches,2023-2024,Nott'ham-Forest
Georginio Rutter,fr FRA,"FW,MF",21.0,41.5,685,1017,67.4,11000,4138,361,463,78.0,220,323,68.1,66,108,61.1,16,12.2,10.5,3.8,82,86,68,3,185,Matches,2023-2024,Nott'ham-Forest
Joe Rodon,wls WAL,DF,25.0,41.4,2851,3142,90.7,57004,18735,734,797,92.1,1861,1960,94.9,239,331,72.2,0,0.3,0.6,-0.3,6,157,0,0,180,Matches,2023-2024,Nott'ham-Forest
Crysencio Summerville,nl NED,FW,21.0,38.9,1304,1672,78.0,19178,4934,752,847,88.8,398,485,82.1,86,189,45.5,9,11.7,12.5,-2.7,112,69,68,3,171,Matches,2023-2024,Nott'ham-Forest
Archie Gray,eng ENG,"DF,MF",17.0,40.0,1599,1931,82.8,25243,7773,856,950,90.1,629,733,85.8,81,154,52.6,2,1.2,1.7,0.8,17,168,14,2,166,Matches,2023-2024,Nott'ham-Forest
Glen Kamara,fi FIN,MF,27.0,30.0,1806,1949,92.7,26186,6644,1044,1095,95.3,651,689,94.5,58,71,81.7,3,3.0,2.8,0.0,39,179,37,0,206,Matches,2023-2024,Nott'ham-Forest
Joël Piroe,nl NED,"MF,FW",23.0,28.0,648,808,80.2,9526,2553,359,430,83.5,228,265,86.0,30,40,75.0,3,2.7,2.9,0.3,36,67,18,0,111,Matches,2023-2024,Nott'ham-Forest
Daniel James,wls WAL,FW,25.0,27.6,619,977,63.4,9573,3386,349,436,80.0,198,314,63.1,46,135,34.1,7,7.6,7.5,-0.6,57,61,57,18,104,Matches,2023-2024,Nott'ham-Forest
Sam Byram,eng ENG,DF,29.0,21.5,981,1245,78.8,15169,5702,515,582,88.5,403,490,82.2,46,103,44.7,1,1.5,2.1,-0.5,20,76,21,3,123,Matches,2023-2024,Nott'ham-Forest
Pascal Struijk,nl NED,DF,23.0,22.1,1688,1877,89.9,31417,10980,566,609,92.9,1017,1079,94.3,96,163,58.9,0,0.1,0.6,-0.1,3,131,3,0,146,Matches,2023-2024,Nott'ham-Forest
Ilia Gruev,bg BUL,MF,23.0,19.7,1084,1204,90.0,18280,5047,527,555,95.0,449,476,94.3,86,128,67.2,1,0.7,1.3,0.3,14,80,6,1,86,Matches,2023-2024,Nott'ham-Forest
Junior Firpo,do DOM,DF,26.0,19.8,1051,1305,80.5,15916,5536,560,634,88.3,426,508,83.9,39,82,47.6,7,5.5,5.8,1.5,28,83,22,10,103,Matches,2023-2024,Nott'ham-Forest
Wilfried Gnonto,it ITA,"FW,MF",19.0,18.4,587,752,78.1,8810,1870,333,394,84.5,196,244,80.3,33,56,58.9,2,2.7,3.8,-0.7,22,33,35,8,78,Matches,2023-2024,Nott'ham-Forest
Patrick Bamford,eng ENG,"FW,MF",29.0,16.6,233,323,72.1,2820,508,161,206,78.2,61,78,78.2,2,7,28.6,1,1.2,1.3,-0.2,13,16,8,0,24,Matches,2023-2024,Nott'ham-Forest
Luke Ayling,eng ENG,DF,31.0,8.3,330,433,76.2,5409,1996,173,201,86.1,119,157,75.8,28,53,52.8,1,1.1,0.7,-0.1,13,20,9,2,24,Matches,2023-2024,Nott'ham-Forest
Liam Cooper,sct SCO,DF,31.0,7.8,624,694,89.9,11227,3704,224,240,93.3,362,388,93.3,32,53,60.4,0,0.1,0.1,-0.1,1,28,0,0,36,Matches,2023-2024,Nott'ham-Forest
Jamie Shackleton,eng ENG,"DF,FW",23.0,7.5,383,440,87.0,5678,1259,212,237,89.5,135,154,87.7,18,22,81.8,1,0.5,0.3,0.5,6,29,2,0,31,Matches,2023-2024,Nott'ham-Forest
Djed Spence,eng ENG,DF,22.0,4.3,234,274,85.4,3373,815,137,151,90.7,83,91,91.2,7,18,38.9,0,0.3,0.2,-0.3,5,17,4,1,15,Matches,2023-2024,Nott'ham-Forest
Jaidon Anthony,eng ENG,"FW,MF",23.0,5.6,242,317,76.3,3722,757,126,140,90.0,90,114,78.9,14,37,37.8,0,0.6,1.1,-0.6,9,15,10,4,25,Matches,2023-2024,Nott'ham-Forest
Connor Roberts,wls WAL,"DF,FW",27.0,3.5,216,259,83.4,3880,1000,99,104,95.2,90,107,84.1,26,38,68.4,1,1.0,1.4,0.0,7,17,3,2,25,Matches,2023-2024,Nott'ham-Forest
Joe Gelhardt,eng ENG,"MF,FW",21.0,2.2,48,58,82.8,650,157,29,34,85.3,11,14,78.6,3,4,75.0,0,0.1,0.1,-0.1,2,4,3,0,9,Matches,2023-2024,Nott'ham-Forest
Luis Sinisterra,co COL,MF,24.0,1.9,87,96,90.6,1159,254,61,66,92.4,16,17,94.1,6,6,100.0,0,0.3,0.3,-0.3,4,5,3,0,10,Matches,2023-2024,Nott'ham-Forest
Ian Poveda,eng ENG,"MF,FW",23.0,1.7,47,65,72.3,780,194,21,26,80.8,22,28,78.6,3,4,75.0,0,0.1,0.2,-0.1,3,6,4,0,12,Matches,2023-2024,Nott'ham-Forest
Charlie Cresswell,eng ENG,DF,20.0,1.5,112,128,87.5,2007,343,35,38,92.1,73,77,94.8,4,11,36.4,0,0.0,0.0,0.0,0,5,0,0,7,Matches,2023-2024,Nott'ham-Forest
Karl Darlow,wls WAL,GK,32.0,1.4,50,59,84.7,1317,835,3,3,100.0,38,39,97.4,9,16,56.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches,2023-2024,Nott'ham-Forest
Kristoffer Klaesson,no NOR,GK,22.0,1.0,23,31,74.2,510,396,9,9,100.0,9,9,100.0,5,13,38.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2023-2024,Nott'ham-Forest
Leo Fuhr Hjelde,no NOR,DF,19.0,0.5,27,32,84.4,380,88,13,16,81.3,13,13,100.0,0,2,0.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches,2023-2024,Nott'ham-Forest
Mateo Joseph,es ESP,"FW,MF",19.0,2.6,47,64,73.4,546,148,35,38,92.1,7,10,70.0,1,2,50.0,0,0.8,0.7,-0.8,7,3,4,0,7,Matches,2023-2024,Nott'ham-Forest
Cody Drameh,eng ENG,DF,21.0,0.2,6,9,66.7,190,89,0,0,,4,5,80.0,2,4,50.0,0,0.0,0.0,0.0,1,1,0,0,0,Matches,2023-2024,Nott'ham-Forest
Sam Greenwood,eng ENG,MF,21.0,0.1,1,2,50.0,32,24,0,1,0.0,0,0,,1,1,100.0,0,0.1,0.1,-0.1,1,0,0,0,0,Matches,2023-2024,Nott'ham-Forest
Darko Gyabi,eng ENG,MF,19.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2023-2024,Nott'ham-Forest
Sonny Perkins,eng ENG,FW,19.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2023-2024,Nott'ham-Forest
Squad Total,,,24.0,46.0,22112,26394,83.8,379353,127241,9829,10940,89.8,10251,11427,89.7,1552,2789,55.6,56,57.4,62.1,-1.4,544,1628,420,57,2123,,2023-2024,Nott'ham-Forest
Opponent Total,,,26.1,46.0,14656,19078,76.8,265882,99843,6405,7294,87.8,6358,7539,84.3,1547,3238,47.8,31,29.2,31.5,1.8,328,1079,218,58,1259,,2023-2024,Nott'ham-Forest
