Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0,Season,Team
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,,
Ethan Ampadu,wls WAL,"MF,DF",22.0,46.0,3337,3188,134,79,12,8,6,38,0,0,0,0,2940,15,23,Matches,2023-2024,Nott'ham-Forest
Illan Meslier,fr FRA,GK,23.0,43.6,1894,1650,242,81,0,2,0,1,0,0,0,0,1559,2,2,Matches,2023-2024,Nott'ham-Forest
Georginio Rutter,fr FRA,"FW,MF",21.0,41.5,1017,951,51,9,28,13,25,0,0,0,0,0,685,15,50,Matches,2023-2024,Nott'ham-Forest
Joe Rodon,wls WAL,DF,25.0,41.4,3142,3048,90,37,0,2,0,13,0,0,0,0,2851,4,18,Matches,2023-2024,Nott'ham-Forest
Crysencio Summerville,nl NED,FW,21.0,38.9,1672,1461,199,63,16,8,187,8,128,67,38,1,1304,12,53,Matches,2023-2024,Nott'ham-Forest
Archie Gray,eng ENG,"DF,MF",17.0,40.0,1931,1607,322,47,3,4,44,266,9,5,4,0,1599,2,41,Matches,2023-2024,Nott'ham-Forest
Glen Kamara,fi FIN,MF,27.0,30.0,1949,1884,62,59,3,1,2,3,0,0,0,0,1806,3,25,Matches,2023-2024,Nott'ham-Forest
Joël Piroe,nl NED,"MF,FW",23.0,28.0,808,780,22,7,8,1,3,2,0,0,0,0,648,6,30,Matches,2023-2024,Nott'ham-Forest
Daniel James,wls WAL,FW,25.0,27.6,977,883,89,15,6,4,214,8,66,21,37,1,619,5,50,Matches,2023-2024,Nott'ham-Forest
Sam Byram,eng ENG,DF,29.0,21.5,1245,995,241,17,3,2,30,224,0,0,0,0,981,9,25,Matches,2023-2024,Nott'ham-Forest
Pascal Struijk,nl NED,DF,23.0,22.1,1877,1780,92,52,3,4,4,14,0,0,0,0,1688,5,5,Matches,2023-2024,Nott'ham-Forest
Ilia Gruev,bg BUL,MF,23.0,19.7,1204,1105,94,56,1,3,39,1,37,32,0,0,1084,5,14,Matches,2023-2024,Nott'ham-Forest
Junior Firpo,do DOM,DF,26.0,19.8,1305,1091,210,19,4,3,47,190,1,0,1,0,1051,4,36,Matches,2023-2024,Nott'ham-Forest
Wilfried Gnonto,it ITA,"FW,MF",19.0,18.4,752,728,22,2,3,6,56,6,11,4,3,0,587,2,24,Matches,2023-2024,Nott'ham-Forest
Patrick Bamford,eng ENG,"FW,MF",29.0,16.6,323,294,27,0,5,1,1,0,0,0,0,0,233,2,11,Matches,2023-2024,Nott'ham-Forest
Luke Ayling,eng ENG,DF,31.0,8.3,433,342,91,8,1,6,16,82,1,0,0,0,330,0,10,Matches,2023-2024,Nott'ham-Forest
Liam Cooper,sct SCO,DF,31.0,7.8,694,671,22,12,0,1,0,6,0,0,0,0,624,1,3,Matches,2023-2024,Nott'ham-Forest
Jamie Shackleton,eng ENG,"DF,FW",23.0,7.5,440,376,63,2,0,2,3,61,0,0,0,0,383,1,5,Matches,2023-2024,Nott'ham-Forest
Djed Spence,eng ENG,DF,22.0,4.3,274,224,50,5,0,1,10,45,0,0,0,0,234,0,7,Matches,2023-2024,Nott'ham-Forest
Jaidon Anthony,eng ENG,"FW,MF",23.0,5.6,317,284,33,8,0,2,43,8,17,6,7,0,242,0,10,Matches,2023-2024,Nott'ham-Forest
Connor Roberts,wls WAL,"DF,FW",27.0,3.5,259,209,48,7,0,0,17,35,6,0,5,0,216,2,4,Matches,2023-2024,Nott'ham-Forest
Joe Gelhardt,eng ENG,"MF,FW",21.0,2.2,58,55,3,0,1,0,0,2,0,0,0,0,48,0,1,Matches,2023-2024,Nott'ham-Forest
Luis Sinisterra,co COL,MF,24.0,1.9,96,95,0,0,0,2,1,0,0,0,0,0,87,1,2,Matches,2023-2024,Nott'ham-Forest
Ian Poveda,eng ENG,"MF,FW",23.0,1.7,65,64,0,0,1,0,6,0,0,0,0,0,47,1,1,Matches,2023-2024,Nott'ham-Forest
Charlie Cresswell,eng ENG,DF,20.0,1.5,128,117,10,5,0,0,0,0,0,0,0,0,112,1,1,Matches,2023-2024,Nott'ham-Forest
Karl Darlow,wls WAL,GK,32.0,1.4,59,47,12,4,0,0,0,0,0,0,0,0,50,0,1,Matches,2023-2024,Nott'ham-Forest
Kristoffer Klaesson,no NOR,GK,22.0,1.0,31,23,8,1,0,0,0,0,0,0,0,0,23,0,0,Matches,2023-2024,Nott'ham-Forest
Leo Fuhr Hjelde,no NOR,DF,19.0,0.5,32,26,6,0,0,0,1,6,0,0,0,0,27,0,0,Matches,2023-2024,Nott'ham-Forest
Mateo Joseph,es ESP,"FW,MF",19.0,2.6,64,62,2,0,1,0,0,1,0,0,0,0,47,0,1,Matches,2023-2024,Nott'ham-Forest
Cody Drameh,eng ENG,DF,21.0,0.2,9,6,3,2,0,0,0,1,0,0,0,0,6,0,0,Matches,2023-2024,Nott'ham-Forest
Sam Greenwood,eng ENG,MF,21.0,0.1,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,Matches,2023-2024,Nott'ham-Forest
Darko Gyabi,eng ENG,MF,19.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2023-2024,Nott'ham-Forest
Sonny Perkins,eng ENG,FW,19.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2023-2024,Nott'ham-Forest
Squad Total,,,24.0,46.0,26394,24047,2249,598,99,76,756,1021,276,135,95,2,22112,98,453,,2023-2024,Nott'ham-Forest
