Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0,Season,Team
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,,
Ethan Ampadu,wls WAL,"MF,DF",22.0,46.0,85,1.85,77,1,1,3,1,2,5,0.11,5,0,0,0,0,0,Matches,2023-2024,Nott'ham-Forest
Illan Meslier,fr FRA,GK,23.0,43.6,5,0.11,4,1,0,0,0,0,1,0.02,1,0,0,0,0,0,Matches,2023-2024,Nott'ham-Forest
Georginio Rutter,fr FRA,"FW,MF",21.0,41.5,183,4.41,125,0,28,16,12,2,31,0.75,24,0,5,0,2,0,Matches,2023-2024,Nott'ham-Forest
Joe Rodon,wls WAL,DF,25.0,41.4,27,0.65,24,0,0,3,0,0,2,0.05,2,0,0,0,0,0,Matches,2023-2024,Nott'ham-Forest
Crysencio Summerville,nl NED,FW,21.0,38.9,237,6.1,123,48,26,19,14,7,18,0.46,11,1,1,2,3,0,Matches,2023-2024,Nott'ham-Forest
Archie Gray,eng ENG,"DF,MF",17.0,40.0,62,1.55,49,3,2,2,3,3,6,0.15,5,0,0,0,0,1,Matches,2023-2024,Nott'ham-Forest
Glen Kamara,fi FIN,MF,27.0,30.0,82,2.74,76,1,2,0,1,2,8,0.27,7,0,0,0,0,1,Matches,2023-2024,Nott'ham-Forest
Joël Piroe,nl NED,"MF,FW",23.0,28.0,80,2.86,69,0,3,8,0,0,9,0.32,8,0,0,1,0,0,Matches,2023-2024,Nott'ham-Forest
Daniel James,wls WAL,FW,25.0,27.6,104,3.76,61,19,6,8,8,2,13,0.47,8,2,0,2,1,0,Matches,2023-2024,Nott'ham-Forest
