Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Season,Team
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,,
Gustavo Hamer,nl NED,MF,26.0,32.3,39,21,17,15,7,16,59,27.1,43,33,9,24,29,68,35,0,Matches,2023-2024,Sheffield-United
Jayden Bogle,eng ENG,DF,23.0,31.0,66,36,43,21,2,35,70,50.0,35,42,11,31,32,98,97,0,Matches,2023-2024,Sheffield-United
Jack Robinson,eng ENG,DF,29.0,32.1,43,28,29,14,0,25,39,64.1,14,49,33,16,33,76,132,2,Matches,2023-2024,Sheffield-United
Vinicius Souza,br BRA,MF,24.0,29.6,125,76,59,51,15,41,74,55.4,33,57,17,40,32,157,75,1,Matches,2023-2024,Sheffield-United
Anel Ahmedhodžić,ba BIH,DF,24.0,29.4,64,36,48,14,2,30,49,61.2,19,43,26,17,35,99,137,2,Matches,2023-2024,Sheffield-United
Wes Foderingham,eng ENG,GK,32.0,29.4,5,3,5,0,0,5,6,83.3,1,0,0,0,0,5,18,6,Matches,2023-2024,Sheffield-United
Auston Trusty,us USA,DF,24.0,28.6,47,30,31,13,3,21,43,48.8,22,41,22,19,35,82,153,3,Matches,2023-2024,Sheffield-United
Cameron Archer,eng ENG,"FW,MF",22.0,20.4,18,13,6,6,6,8,18,44.4,10,22,3,19,1,19,11,0,Matches,2023-2024,Sheffield-United
James Mcatee,eng ENG,"MF,FW",20.0,20.2,32,21,9,13,10,13,33,39.4,20,20,0,20,11,43,18,0,Matches,2023-2024,Sheffield-United
Oliver Norwood,nir NIR,MF,32.0,16.0,41,26,18,18,5,20,47,42.6,27,24,9,15,21,62,39,0,Matches,2023-2024,Sheffield-United
Oliver McBurnie,sct SCO,FW,27.0,14.2,17,7,4,7,6,5,12,41.7,7,18,2,16,5,22,28,0,Matches,2023-2024,Sheffield-United
