Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0,Season,Team
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,,
Guglielmo Vicario,it ITA,GK,26.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.74,74.0,61.0,13.0,0.34,,68.2,63.4,4.8,0.13,,Matches,2023-2024,Tottenham-Hotspur
Pedro Porro,es ESP,DF,23.0,35,3089.0,88.0,90.3,34.3,35,88.0,31,0,,1,1.77,66.0,54.0,12.0,0.35,0.08,61.9,57.8,4.1,0.12,-0.05,Matches,2023-2024,Tottenham-Hotspur
Son Heung-min,kr KOR,FW,31.0,35,2934.0,84.0,85.8,32.6,34,85.0,19,1,29.0,0,1.74,63.0,51.0,12.0,0.37,0.18,59.4,53.9,5.4,0.17,0.29,Matches,2023-2024,Tottenham-Hotspur
Cristian Romero,ar ARG,DF,25.0,33,2790.0,85.0,81.6,31.0,33,85.0,30,0,,0,1.88,63.0,42.0,21.0,0.68,1.82,58.1,45.4,12.7,0.41,1.55,Matches,2023-2024,Tottenham-Hotspur
Dejan Kulusevski,se SWE,"FW,MF",23.0,36,2762.0,77.0,80.8,30.7,31,85.0,21,5,26.0,0,1.72,57.0,46.0,11.0,0.36,0.08,55.0,48.7,6.3,0.2,0.41,Matches,2023-2024,Tottenham-Hotspur
Destiny Udogie,it ITA,DF,20.0,28,2391.0,85.0,69.9,26.6,28,85.0,21,0,,0,1.93,56.0,40.0,16.0,0.6,0.86,48.3,42.4,5.9,0.22,0.32,Matches,2023-2024,Tottenham-Hotspur
Micky van de Ven,nl NED,DF,22.0,27,2339.0,87.0,68.4,26.0,27,87.0,23,0,,1,1.85,47.0,38.0,9.0,0.35,0.01,43.7,38.3,5.4,0.21,0.26,Matches,2023-2024,Tottenham-Hotspur
Pape Matar Sarr,sn SEN,MF,20.0,34,2069.0,61.0,60.5,23.0,27,71.0,4,7,23.0,0,1.79,40.0,27.0,13.0,0.57,0.57,37.6,34.2,3.4,0.15,0.05,Matches,2023-2024,Tottenham-Hotspur
James Maddison,eng ENG,MF,26.0,28,2135.0,76.0,62.4,23.7,26,80.0,4,2,29.0,0,1.86,46.0,31.0,15.0,0.63,0.77,41.9,33.2,8.7,0.37,0.64,Matches,2023-2024,Tottenham-Hotspur
Yves Bissouma,ml MLI,MF,26.0,28,2068.0,74.0,60.5,23.0,26,77.0,8,2,28.0,0,1.75,45.0,35.0,10.0,0.44,0.24,37.3,37.8,-0.5,-0.02,-0.38,Matches,2023-2024,Tottenham-Hotspur
Brennan Johnson,wls WAL,FW,22.0,32,2085.0,65.0,61.0,23.2,23,79.0,8,9,31.0,0,1.56,49.0,37.0,12.0,0.52,0.45,42.1,40.6,1.5,0.06,-0.16,Matches,2023-2024,Tottenham-Hotspur
Richarlison,br BRA,FW,26.0,28,1491.0,53.0,43.6,16.6,18,74.0,6,10,15.0,1,1.82,37.0,18.0,19.0,1.15,1.43,30.2,25.6,4.5,0.27,0.26,Matches,2023-2024,Tottenham-Hotspur
Rodrigo Bentancur,uy URU,MF,26.0,23,1005.0,44.0,29.4,11.2,13,59.0,1,10,24.0,0,1.43,17.0,25.0,-8.0,-0.72,-1.5,19.9,20.7,-0.8,-0.07,-0.28,Matches,2023-2024,Tottenham-Hotspur
Ben Davies,wls WAL,DF,30.0,17,1090.0,64.0,31.9,12.1,12,86.0,10,5,12.0,13,1.82,25.0,21.0,4.0,0.33,-0.02,22.1,21.8,0.3,0.02,-0.15,Matches,2023-2024,Tottenham-Hotspur
Emerson,br BRA,DF,24.0,22,1161.0,53.0,33.9,12.9,11,86.0,8,11,19.0,16,1.64,22.0,31.0,-9.0,-0.7,-1.57,18.5,28.3,-9.8,-0.76,-1.34,Matches,2023-2024,Tottenham-Hotspur
Timo Werner,de GER,FW,27.0,13,809.0,62.0,23.7,9.0,10,76.0,2,3,16.0,0,1.62,18.0,16.0,2.0,0.22,-0.16,17.2,11.5,5.8,0.64,0.67,Matches,2023-2024,Tottenham-Hotspur
Pierre Højbjerg,dk DEN,MF,27.0,36,1311.0,36.0,38.3,14.6,8,83.0,4,28,23.0,2,1.81,31.0,28.0,3.0,0.21,-0.22,27.6,25.4,2.2,0.15,0.04,Matches,2023-2024,Tottenham-Hotspur
Oliver Skipp,eng ENG,"MF,DF",22.0,21,707.0,34.0,20.7,7.9,5,73.0,1,16,21.0,10,1.9,15.0,17.0,-2.0,-0.25,-0.75,14.7,17.0,-2.3,-0.3,-0.53,Matches,2023-2024,Tottenham-Hotspur
Giovani Lo Celso,ar ARG,MF,27.0,22,506.0,23.0,14.8,5.6,4,78.0,0,18,11.0,6,1.32,12.0,12.0,0.0,0.0,-0.4,12.6,12.5,0.1,0.02,-0.13,Matches,2023-2024,Tottenham-Hotspur
Radu Drăgușin,ro ROU,DF,21.0,9,429.0,48.0,12.5,4.8,4,90.0,4,5,14.0,9,1.89,10.0,7.0,3.0,0.63,0.33,12.8,8.3,4.5,0.95,0.94,Matches,2023-2024,Tottenham-Hotspur
Bryan Gil,es ESP,"FW,MF",22.0,11,209.0,19.0,6.1,2.3,2,58.0,0,9,10.0,13,1.09,4.0,11.0,-7.0,-3.01,-3.57,5.3,7.3,-2.0,-0.85,-1.04,Matches,2023-2024,Tottenham-Hotspur
Manor Solomon,il ISR,FW,24.0,5,199.0,40.0,5.8,2.2,2,73.0,0,3,18.0,2,2.6,6.0,2.0,4.0,1.81,1.56,4.7,1.8,2.9,1.31,1.26,Matches,2023-2024,Tottenham-Hotspur
Eric Dier,eng ENG,DF,29.0,4,201.0,50.0,5.9,2.2,1,90.0,1,3,37.0,8,1.5,1.0,8.0,-7.0,-3.13,-3.69,2.6,6.9,-4.3,-1.94,-2.19,Matches,2023-2024,Tottenham-Hotspur
Ivan Perišić,hr CRO,FW,34.0,5,103.0,21.0,3.0,1.1,0,,0,5,21.0,0,2.6,4.0,1.0,3.0,2.62,2.35,2.1,1.5,0.7,0.6,0.48,Matches,2023-2024,Tottenham-Hotspur
Davinson Sánchez,co COL,DF,27.0,1,77.0,77.0,2.3,0.9,0,,0,1,77.0,3,1.0,1.0,2.0,-1.0,-1.17,-1.55,0.7,2.2,-1.5,-1.8,-1.97,Matches,2023-2024,Tottenham-Hotspur
Alejo Véliz,ar ARG,FW,19.0,8,50.0,6.0,1.5,0.6,0,,0,8,6.0,5,1.88,3.0,2.0,1.0,1.8,1.48,2.1,1.8,0.2,0.45,0.33,Matches,2023-2024,Tottenham-Hotspur
Dane Scarlett,eng ENG,FW,19.0,4,22.0,6.0,0.6,0.2,0,,0,4,6.0,4,3.0,1.0,0.0,1.0,4.09,3.77,1.3,0.0,1.3,5.24,5.14,Matches,2023-2024,Tottenham-Hotspur
Mikey Moore,eng ENG,MF,15.0,2,4.0,2.0,0.1,0.0,0,,0,2,2.0,3,1.5,0.0,0.0,0.0,0.0,-0.34,0.0,0.1,0.0,-0.37,-0.49,Matches,2023-2024,Tottenham-Hotspur
Jamie Donley,eng ENG,FW,18.0,3,3.0,1.0,0.1,0.0,0,,0,3,1.0,10,2.33,0.0,1.0,-1.0,-30.0,-30.37,0.0,0.5,-0.5,-14.76,-14.9,Matches,2023-2024,Tottenham-Hotspur
Brandon Austin,eng ENG,GK,24.0,0,,,,,0,,0,0,,18,,,,,,,,,,,,Matches,2023-2024,Tottenham-Hotspur
Alfie Dorrington,eng ENG,DF,18.0,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches,2023-2024,Tottenham-Hotspur
Fraser Forster,eng ENG,GK,35.0,0,,,,,0,,0,0,,23,,,,,,,,,,,,Matches,2023-2024,Tottenham-Hotspur
Tyrese Hall,eng ENG,MF,17.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,2023-2024,Tottenham-Hotspur
Ashley Phillips,wls WAL,DF,18.0,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches,2023-2024,Tottenham-Hotspur
Yago Santiago,es ESP,"FW,MF",20.0,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,2023-2024,Tottenham-Hotspur
Alfie Whiteman,eng ENG,GK,24.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,2023-2024,Tottenham-Hotspur
Squad Total,,,25.2,38,3420.0,90.0,100.0,38.0,418,82.0,244,170,19.0,170,1.74,74.0,61.0,13.0,0.34,,68.2,63.4,4.8,0.13,,,2023-2024,Tottenham-Hotspur
Opponent Total,,,26.4,38,3420.0,90.0,100.0,38.0,418,82.0,261,154,19.0,187,1.11,61.0,74.0,-13.0,-0.34,,63.4,68.2,-4.8,-0.13,,,2023-2024,Tottenham-Hotspur
