Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0,Season,Team
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,,
Vladimír Coufal,cz CZE,DF,30.0,36,3132.0,87.0,91.6,34.8,36,87.0,28,0,,0,1.39,57.0,69.0,-12.0,-0.34,0.28,48.5,63.9,-15.5,-0.44,0.58,Matches,2023-2024,West-Ham-United
Emerson Palmieri,it ITA,DF,28.0,36,3137.0,87.0,91.7,34.9,35,88.0,29,1,45.0,0,1.42,58.0,67.0,-9.0,-0.26,1.33,47.3,67.5,-20.2,-0.58,-1.02,Matches,2023-2024,West-Ham-United
Jarrod Bowen,eng ENG,FW,26.0,34,3019.0,89.0,88.3,33.5,34,89.0,31,0,,0,1.44,53.0,63.0,-10.0,-0.3,0.6,47.8,62.1,-14.2,-0.42,0.58,Matches,2023-2024,West-Ham-United
James Ward-Prowse,eng ENG,MF,28.0,37,3001.0,81.0,87.7,33.3,34,86.0,28,3,23.0,0,1.38,52.0,65.0,-13.0,-0.39,-0.18,45.0,62.7,-17.7,-0.53,-0.31,Matches,2023-2024,West-Ham-United
Tomáš Souček,cz CZE,MF,28.0,37,2870.0,78.0,83.9,31.9,34,83.0,25,3,16.0,0,1.32,51.0,64.0,-13.0,-0.41,-0.24,45.4,62.0,-16.7,-0.52,-0.18,Matches,2023-2024,West-Ham-United
Kurt Zouma,fr FRA,DF,28.0,33,2838.0,86.0,83.0,31.5,32,88.0,29,1,31.0,1,1.39,53.0,63.0,-10.0,-0.32,0.3,43.4,59.2,-15.7,-0.5,-0.03,Matches,2023-2024,West-Ham-United
Alphonse Areola,fr FRA,GK,30.0,31,2699.0,87.0,78.9,30.0,31,87.0,28,0,,2,1.35,49.0,53.0,-4.0,-0.13,1.11,41.7,54.3,-12.7,-0.42,0.34,Matches,2023-2024,West-Ham-United
Lucas Paquetá,br BRA,"FW,MF",25.0,31,2622.0,85.0,76.7,29.1,31,85.0,15,0,,0,1.58,52.0,52.0,0.0,0.0,1.58,39.2,50.5,-11.3,-0.39,0.46,Matches,2023-2024,West-Ham-United
Edson Álvarez,mx MEX,MF,25.0,31,2377.0,77.0,69.5,26.4,28,82.0,18,3,25.0,1,1.48,40.0,45.0,-5.0,-0.19,0.59,35.4,49.0,-13.6,-0.52,-0.07,Matches,2023-2024,West-Ham-United
