Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0,Season,Team
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,,
Max Kilman,eng ENG,DF,26.0,38.0,2309,2245,55,38,2,20,6,8,0,0,0,0,1979,9,13,Matches,2023-2024,Wolverhampton-Wanderers
Nélson Semedo,pt POR,"DF,MF",29.0,34.3,1849,1571,273,25,2,9,80,248,0,0,0,0,1474,5,42,Matches,2023-2024,Wolverhampton-Wanderers
José Sá,pt POR,GK,30.0,33.7,1097,771,323,70,0,1,0,0,0,0,0,0,720,3,1,Matches,2023-2024,Wolverhampton-Wanderers
Mario Lemina,ga GAB,MF,29.0,33.0,1470,1432,31,21,8,12,15,9,0,0,0,0,1261,7,9,Matches,2023-2024,Wolverhampton-Wanderers
João Gomes,br BRA,MF,22.0,29.4,1279,1209,62,35,7,5,25,9,14,4,4,3,1051,8,32,Matches,2023-2024,Wolverhampton-Wanderers
Toti Gomes,pt POR,DF,24.0,30.8,1847,1685,158,41,1,5,13,117,0,0,0,0,1516,4,22,Matches,2023-2024,Wolverhampton-Wanderers
Matheus Cunha,br BRA,"FW,MF",24.0,27.1,831,769,56,8,8,7,24,15,3,1,0,0,658,6,19,Matches,2023-2024,Wolverhampton-Wanderers
Rayan Aït-Nouri,dz ALG,"DF,MF",22.0,25.9,1190,1047,138,24,2,5,41,106,8,5,2,0,1005,5,24,Matches,2023-2024,Wolverhampton-Wanderers
Craig Dawson,eng ENG,DF,33.0,24.5,1277,1236,38,29,2,22,1,1,0,0,0,0,1104,3,9,Matches,2023-2024,Wolverhampton-Wanderers
Hwang Hee-chan,kr KOR,"FW,MF",27.0,23.5,551,508,43,1,3,3,11,10,4,0,0,0,424,0,23,Matches,2023-2024,Wolverhampton-Wanderers
Pablo Sarabia,es ESP,"MF,FW",31.0,19.4,976,837,130,34,9,7,131,7,71,37,19,10,684,9,44,Matches,2023-2024,Wolverhampton-Wanderers
Pedro Neto,pt POR,"FW,MF",23.0,16.8,722,645,73,23,1,5,115,14,34,16,10,2,538,4,17,Matches,2023-2024,Wolverhampton-Wanderers
Tommy Doyle,eng ENG,MF,21.0,13.6,955,878,69,44,2,15,28,8,15,8,3,0,801,8,11,Matches,2023-2024,Wolverhampton-Wanderers
Jean-Ricner Bellegarde,fr FRA,"MF,FW",25.0,10.6,314,297,15,4,1,0,30,1,6,3,3,0,241,2,11,Matches,2023-2024,Wolverhampton-Wanderers
Matt Doherty,ie IRL,"DF,MF",31.0,12.8,653,566,87,11,0,5,13,76,0,0,0,0,515,0,18,Matches,2023-2024,Wolverhampton-Wanderers
Santiago Bueno,uy URU,DF,24.0,9.1,480,468,12,7,0,1,2,2,0,0,0,0,426,0,5,Matches,2023-2024,Wolverhampton-Wanderers
Boubacar Traoré,ml MLI,MF,21.0,9.1,455,444,10,4,0,2,6,5,0,0,0,0,383,1,7,Matches,2023-2024,Wolverhampton-Wanderers
Hugo Bueno,es ESP,"DF,MF",20.0,8.2,406,358,46,1,0,1,29,45,0,0,0,0,318,2,18,Matches,2023-2024,Wolverhampton-Wanderers
Daniel Bentley,eng ENG,GK,30.0,4.3,144,98,46,13,0,0,0,0,0,0,0,0,96,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Fábio Silva,pt POR,FW,21.0,2.9,76,72,4,1,1,0,0,1,0,0,0,0,61,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Matheus Nunes,pt POR,MF,24.0,2.0,106,97,8,4,0,0,3,2,1,1,0,0,87,1,2,Matches,2023-2024,Wolverhampton-Wanderers
Leon Chiwome,eng ENG,FW,17.0,1.9,22,18,4,0,0,0,0,0,0,0,0,0,19,0,1,Matches,2023-2024,Wolverhampton-Wanderers
Nathan Fraser,ie IRL,FW,18.0,2.1,42,39,3,0,0,0,0,0,0,0,0,0,33,0,3,Matches,2023-2024,Wolverhampton-Wanderers
Sasa Kalajdzic,at AUT,FW,26.0,1.8,60,59,1,0,0,0,1,0,0,0,0,0,38,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Tawanda Chirewa,zw ZIM,"MF,FW",19.0,1.6,58,54,3,1,0,0,4,0,0,0,0,0,46,1,2,Matches,2023-2024,Wolverhampton-Wanderers
Jonny Castro,es ESP,MF,29.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Enso Gonzalez,py PAR,"MF,DF",18.0,0.0,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Squad Total,,,26.6,38.0,19175,17409,1688,439,49,125,578,684,156,75,41,15,15484,78,333,,2023-2024,Wolverhampton-Wanderers
Opponent Total,,,26.4,38.0,20265,18405,1813,528,56,76,731,724,224,109,61,1,16495,47,381,,2023-2024,Wolverhampton-Wanderers
