Player,Age,Nation,Pos,Team,Performance-Gls,Performance-Ast,Performance-G+A,Performance-G-PK,Performance-PK,Performance-CrdY,Performance-CrdR,Playing Time-Min,Playing Time-MP,Playing Time-90s,Progression-PrgC,Progression-PrgP,Progression-PrgR,Expected-xG,Expected-npxG,Standard-Sh,Standard-SoT,PPA,CrsPA,KP,Total-Cmp%,Team Success-PPM,Team Success-+/-90,Tackles-Tkl,Performance-Int,Blocks-Sh,Clr,Balanced_Performance
Aaron Cresswell,33.0,eng ENG,"DF,FW",West-Ham-United,0.0,0.0,0.0,0.0,0.0,1.0,0.0,436.0,11.0,4.8,4.0,26.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,82.5,1.0,-1.03,3.0,3.0,3.0,7.0,24.5
Aaron Ramsdale,25.0,eng ENG,GK,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.7,2.67,1.0,0.0,0.0,0.0,3.0,1.5
Aaron Wan-Bissaka,25.0,eng ENG,DF,Manchester-United,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1780.0,22.0,19.8,30.0,77.0,54.0,0.1,0.1,3.0,1.0,16.0,3.0,12.0,83.5,1.32,-0.2,42.0,41.0,15.0,68.0,216.5
Albert Sambi Lokonga,23.0,be BEL,MF,Luton-Town,1.0,3.0,4.0,1.0,0.0,4.0,0.0,1303.0,17.0,14.5,29.0,72.0,13.0,0.6,0.6,8.0,2.0,6.0,1.0,9.0,87.3,0.76,-0.62,29.0,11.0,13.0,14.0,117.0
Alejandro Garnacho,19.0,ar ARG,FW,Manchester-United,7.0,4.0,11.0,7.0,0.0,4.0,0.0,2565.0,36.0,28.5,178.0,62.0,281.0,8.4,8.3,100.0,27.0,22.0,4.0,46.0,74.9,1.5,0.18,22.0,18.0,2.0,18.0,180.0
Alex Matos,18.0,eng ENG,MF,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.1,1.0,-0.14,43.0,27.0,5.0,19.0,141.0
Alex Murphy,19.0,ie IRL,"DF,FW",Newcastle-United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.0,0.0,1.0,1.0,0.0,0.0,3.5
Alexander Isak,23.0,se SWE,FW,Newcastle-United,21.0,2.0,23.0,16.0,5.0,1.0,0.0,2255.0,30.0,25.1,68.0,71.0,129.0,20.3,15.6,72.0,36.0,21.0,0.0,27.0,78.1,1.5,0.4,5.0,6.0,1.0,13.0,134.0
Alfie Doughty,23.0,eng ENG,DF,Luton-Town,2.0,8.0,10.0,2.0,0.0,5.0,0.0,2925.0,37.0,32.5,94.0,106.0,164.0,1.3,1.3,26.0,8.0,43.0,24.0,70.0,66.5,0.7,-0.86,63.0,31.0,9.0,43.0,330.0
Alfie Gilchrist,19.0,eng ENG,DF,Chelsea,1.0,0.0,1.0,1.0,0.0,1.0,0.0,207.0,11.0,2.3,1.0,7.0,4.0,0.3,0.3,5.0,1.0,1.0,0.0,0.0,85.8,2.27,0.87,4.0,3.0,3.0,11.0,24.0
Alisson,30.0,br BRA,GK,Liverpool,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2520.0,28.0,28.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,86.3,2.0,1.07,0.0,0.0,0.0,11.0,7.0
Alphonse Areola,30.0,fr FRA,GK,West-Ham-United,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2699.0,31.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8,1.35,-0.13,1.0,1.0,0.0,16.0,11.5
Amad Diallo,21.0,ci CIV,"FW,MF",Manchester-United,1.0,1.0,2.0,1.0,0.0,1.0,0.0,390.0,9.0,4.3,11.0,10.0,31.0,0.5,0.5,10.0,4.0,3.0,0.0,10.0,87.6,1.22,0.92,10.0,1.0,1.0,6.0,45.5
Amadou Diallo,20.0,eng ENG,MF,Newcastle-United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Amari'i Bell,29.0,jm JAM,DF,Luton-Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1720.0,21.0,19.1,32.0,76.0,10.0,0.3,0.3,2.0,2.0,8.0,0.0,8.0,77.2,0.86,-0.58,50.0,25.0,15.0,60.0,194.5
Andre Brooks,19.0,eng ENG,"MF,DF",Sheffield-United,0.0,0.0,0.0,0.0,0.0,1.0,0.0,938.0,20.0,10.4,12.0,18.0,22.0,0.4,0.4,9.0,2.0,5.0,0.0,3.0,75.1,0.25,-2.3,22.0,14.0,1.0,20.0,80.5
Andros Townsend,32.0,eng ENG,"MF,FW",Luton-Town,1.0,3.0,4.0,1.0,0.0,1.0,0.0,1210.0,27.0,13.4,47.0,35.0,71.0,1.2,1.2,20.0,7.0,16.0,12.0,18.0,70.4,0.78,-0.82,21.0,5.0,0.0,10.0,90.5
André Onana,27.0,cm CMR,GK,Manchester-United,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3420.0,38.0,38.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,72.6,1.58,-0.03,2.0,0.0,0.0,11.0,14.0
Anel Ahmedhodžić,24.0,ba BIH,DF,Sheffield-United,2.0,0.0,2.0,2.0,0.0,11.0,1.0,2649.0,31.0,29.4,15.0,43.0,21.0,3.1,3.1,19.0,5.0,3.0,1.0,7.0,75.4,0.35,-2.07,64.0,35.0,26.0,137.0,291.5
Angelo Ogbonna,35.0,it ITA,DF,West-Ham-United,0.0,0.0,0.0,0.0,0.0,1.0,0.0,635.0,11.0,7.1,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,79.9,1.82,-0.28,11.0,3.0,10.0,29.0,51.0
Anis Ben Slimane,22.0,tn TUN,MF,Sheffield-United,0.0,0.0,0.0,0.0,0.0,2.0,0.0,419.0,15.0,4.7,3.0,12.0,21.0,0.8,0.8,8.0,3.0,2.0,0.0,3.0,66.2,0.33,-2.58,11.0,5.0,1.0,7.0,38.5
Anthony Gordon,22.0,eng ENG,FW,Newcastle-United,11.0,10.0,21.0,10.0,1.0,12.0,1.0,2890.0,35.0,32.1,138.0,101.0,232.0,10.2,9.4,80.0,29.0,39.0,12.0,57.0,76.1,1.57,0.72,55.0,7.0,0.0,7.0,262.5
Anthony Martial,27.0,fr FRA,FW,Manchester-United,1.0,0.0,1.0,1.0,0.0,0.0,0.0,448.0,13.0,5.0,6.0,12.0,36.0,1.2,1.2,6.0,4.0,2.0,0.0,6.0,78.4,1.38,1.0,4.0,0.0,0.0,3.0,21.5
Antony,23.0,br BRA,FW,Manchester-United,1.0,1.0,2.0,1.0,0.0,5.0,0.0,1324.0,29.0,14.7,53.0,64.0,149.0,3.4,3.4,43.0,15.0,29.0,3.0,22.0,78.7,1.41,-0.41,40.0,12.0,1.0,9.0,141.5
Antwoine Hackford,19.0,eng ENG,FW,Sheffield-United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-6.92,0.0,0.0,0.0,0.0,0.0
Archie Gray,17.0,eng ENG,"DF,MF",Nott'ham-Forest,0.0,2.0,2.0,0.0,0.0,2.0,0.0,3599.0,44.0,40.0,72.0,166.0,97.0,0.5,0.5,14.0,2.0,14.0,2.0,17.0,82.8,1.94,0.85,92.0,30.0,5.0,40.0,283.5
Armando Broja,21.0,al ALB,FW,Chelsea,1.0,0.0,1.0,1.0,0.0,0.0,0.0,454.0,13.0,5.0,11.0,6.0,37.0,2.4,2.4,13.0,2.0,2.0,0.0,3.0,88.3,1.69,0.59,3.0,0.0,1.0,3.0,16.0
Auston Trusty,24.0,us USA,DF,Sheffield-United,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2572.0,32.0,28.6,10.0,40.0,15.0,0.4,0.4,8.0,2.0,4.0,2.0,8.0,76.2,0.38,-2.06,47.0,35.0,22.0,153.0,257.0
Axel Disasi,25.0,fr FRA,DF,Chelsea,2.0,0.0,2.0,2.0,0.0,6.0,0.0,2579.0,31.0,28.7,30.0,112.0,21.0,2.4,2.4,16.0,4.0,8.0,1.0,3.0,90.0,1.52,0.0,33.0,18.0,19.0,102.0,173.5
Bart Verbruggen,20.0,nl NED,GK,Brighton-Hove-Albion,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1890.0,21.0,21.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.4,1.38,0.14,1.0,0.0,0.0,11.0,7.5
Ben Brereton,24.0,cl CHI,"FW,MF",Sheffield-United,6.0,1.0,7.0,5.0,1.0,3.0,0.0,1105.0,14.0,12.3,23.0,37.0,78.0,6.1,5.3,34.0,16.0,12.0,2.0,8.0,75.5,0.29,-1.71,9.0,3.0,3.0,12.0,63.5
Ben Chilwell,26.0,eng ENG,DF,Chelsea,0.0,1.0,1.0,0.0,0.0,5.0,0.0,756.0,13.0,8.4,22.0,25.0,59.0,1.2,1.2,12.0,4.0,2.0,2.0,14.0,75.4,1.23,-0.12,15.0,4.0,3.0,19.0,71.5
Ben Johnson,23.0,eng ENG,"DF,FW",West-Ham-United,0.0,0.0,0.0,0.0,0.0,1.0,0.0,544.0,14.0,6.0,17.0,22.0,33.0,0.2,0.2,6.0,2.0,1.0,0.0,0.0,73.7,1.14,-1.82,11.0,5.0,1.0,14.0,37.5
Ben Osborn,28.0,eng ENG,"DF,MF",Sheffield-United,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1367.0,24.0,15.2,16.0,55.0,44.0,0.2,0.2,4.0,0.0,11.0,8.0,13.0,73.7,0.42,-1.38,22.0,8.0,2.0,30.0,96.5
Ben Parkinson,18.0,eng ENG,FW,Newcastle-United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,-3.6,0.0,0.0,0.0,1.0,0.5
Benoît Badiashile,22.0,fr FRA,DF,Chelsea,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1338.0,18.0,14.9,3.0,46.0,3.0,0.3,0.3,6.0,1.0,4.0,0.0,6.0,90.8,1.67,0.0,21.0,18.0,14.0,66.0,127.0
Bernd Leno,31.0,de GER,GK,Fulham,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3420.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.3,1.24,-0.16,0.0,0.0,0.0,14.0,7.0
