Player,Nation,Pos,Age,90s,Att,Pass Types-Live,Pass Types-Dead,Pass Types-FK,Pass Types-TB,Pass Types-Sw,Pass Types-Crs,Pass Types-TI,Pass Types-CK,Corner Kicks-In,Corner Kicks-Out,Corner Kicks-Str,Outcomes-Cmp,Outcomes-Off,Outcomes-Blocks,Matches,Season-Unnamed: 21_level_1,Team-Unnamed: 22_level_1,Performance-CrdY,Performance-CrdR,Performance-2CrdY,Performance-Fls,Performance-Fld,Performance-Off,Performance-Crs,Performance-Int,Performance-TklW,Performance-PKwon,Performance-PKcon,Performance-OG,Performance-Recov,Aerial Duels-Won,Aerial Duels-Lost,Aerial Duels-Won%,Season-Unnamed: 22_level_1,Team-Unnamed: 23_level_1,MP,Playing Time-Min,Playing Time-Mn/MP,Playing Time-Min%,Playing Time-90s,Starts-Starts,Starts-Mn/Start,Starts-Compl,Subs-Subs,Subs-Mn/Sub,Subs-unSub,Team Success-PPM,Team Success-onG,Team Success-onGA,Team Success-+/-,Team Success-+/-90,Team Success-On-Off,Team Success (xG)-onxG,Team Success (xG)-onxGA,Team Success (xG)-xG+/-,Team Success (xG)-xG+/-90,Team Success (xG)-On-Off,Season-Unnamed: 27_level_1,Team-Unnamed: 28_level_1,Goals-GA,Goals-PKA,Goals-FK,Goals-CK,Goals-OG,Expected-PSxG,Expected-PSxG/SoT,Expected-PSxG+/-,Expected-/90,Launched-Cmp,Launched-Att,Launched-Cmp%,Passes-Att (GK),Passes-Thr,Passes-Launch%,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-Launch%,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Crosses-Stp%,Sweeper-#OPA,Sweeper-#OPA/90,Sweeper-AvgDist,Season-Unnamed: 31_level_1,Team-Unnamed: 32_level_1,Playing Time-Starts,Performance-Gls,Performance-Ast,Performance-G+A,Performance-G-PK,Performance-PK,Performance-PKatt,Expected-xG,Expected-npxG,Expected-xAG,Expected-npxG+xAG,Progression-PrgC,Progression-PrgP,Progression-PrgR,Per 90 Minutes-Gls,Per 90 Minutes-Ast,Per 90 Minutes-G+A,Per 90 Minutes-G-PK,Per 90 Minutes-G+A-PK,Per 90 Minutes-xG,Per 90 Minutes-xAG,Per 90 Minutes-xG+xAG,Per 90 Minutes-npxG,Per 90 Minutes-npxG+xAG,Season-Unnamed: 34_level_1,Team-Unnamed: 35_level_1,Touches-Touches,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Touches-Live,Take-Ons-Att,Take-Ons-Succ,Take-Ons-Succ%,Take-Ons-Tkld,Take-Ons-Tkld%,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,Season-Unnamed: 28_level_1,Team-Unnamed: 29_level_1,Playing Time-MP,Performance-GA,Performance-GA90,Performance-SoTA,Performance-Saves,Performance-Save%,Performance-W,Performance-D,Performance-L,Performance-CS,Performance-CS%,Penalty Kicks-PKatt,Penalty Kicks-PKA,Penalty Kicks-PKsv,Penalty Kicks-PKm,Penalty Kicks-Save%,Season-Unnamed: 24_level_1,Team-Unnamed: 25_level_1,SCA-SCA,SCA-SCA90,SCA Types-PassLive,SCA Types-PassDead,SCA Types-TO,SCA Types-Sh,SCA Types-Fld,SCA Types-Def,GCA-GCA,GCA-GCA90,GCA Types-PassLive,GCA Types-PassDead,GCA Types-TO,GCA Types-Sh,GCA Types-Fld,GCA Types-Def,Tackles-Tkl,Tackles-TklW,Tackles-Def 3rd,Tackles-Mid 3rd,Tackles-Att 3rd,Challenges-Tkl,Challenges-Att,Challenges-Tkl%,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Tkl+Int,Clr,Err,Standard-Gls,Standard-Sh,Standard-SoT,Standard-SoT%,Standard-Sh/90,Standard-SoT/90,Standard-G/Sh,Standard-G/SoT,Standard-Dist,Standard-FK,Standard-PK,Standard-PKatt,Expected-npxG/Sh,Expected-G-xG,Expected-np:G-xG,Season-Unnamed: 23_level_1,Team-Unnamed: 24_level_1,Total-Cmp,Total-Att,Total-Cmp%,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Short-Cmp%,Medium-Cmp,Medium-Att,Medium-Cmp%,Long-Cmp,Long-Att,Long-Cmp%,Ast,xAG,Expected-xA,Expected-A-xAG,KP,1/3,PPA,CrsPA,PrgP,Season-Unnamed: 29_level_1,Team-Unnamed: 30_level_1
Aaron Cresswell,eng ENG,"DF,FW",33.0,4.8,308.0,245.0,63.0,9.0,0.0,4.0,11.0,50.0,4.0,1.0,3.0,0.0,254.0,0.0,3.0,Matches,2023-2024,West-Ham-United,1.0,0.0,0.0,2.0,3.0,1.0,11.0,3.0,2.0,0.0,0.0,0.0,18.0,6.0,3.0,66.7,2023-2024,West-Ham-United,,436.0,40.0,12.7,4.8,4.0,77.0,2.0,7.0,18.0,21.0,1.0,6.0,11.0,-5.0,-1.03,-0.76,6.6,5.6,0.9,0.19,0.79,2023-2024,West-Ham-United,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,4.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,2023-2024,West-Ham-United,326.0,18.0,125.0,141.0,61.0,1.0,326.0,1.0,0.0,0.0,1.0,100.0,169.0,522.0,220.0,4.0,5.0,0.0,0.0,2.0,210.0,6.0,2023-2024,West-Ham-United,11.0,,,,,,,,,,,,,,,,,,12.0,2.48,7.0,3.0,0.0,0.0,2.0,0.0,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,66.7,1.0,5.0,3.0,2.0,3.0,6.0,7.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,2023-2024,West-Ham-United,254.0,308.0,82.5,4176.0,1722.0,142.0,155.0,91.6,80.0,96.0,83.3,25.0,48.0,52.1,0.0,0.4,0.3,-0.4,5.0,15.0,4.0,0.0,26.0,2023-2024,West-Ham-United
Aaron Hickey,sct SCO,DF,21.0,7.9,277.0,254.0,23.0,3.0,1.0,3.0,5.0,20.0,0.0,0.0,0.0,0.0,243.0,0.0,7.0,Matches,2023-2024,Burnley,5.0,0.0,0.0,10.0,16.0,0.0,5.0,3.0,9.0,0.0,0.0,0.0,42.0,1.0,9.0,10.0,2023-2024,Burnley,9.0,713.0,79.0,20.8,7.9,9.0,79.0,2.0,0.0,,0.0,1.11,10.0,12.0,-2.0,-0.25,-0.02,10.3,10.3,0.1,0.01,-0.07,2023-2024,Burnley,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,9.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,2023-2024,Burnley,356.0,25.0,132.0,155.0,76.0,7.0,356.0,14.0,5.0,35.7,5.0,35.7,212.0,1107.0,505.0,9.0,3.0,1.0,14.0,5.0,225.0,13.0,2023-2024,Burnley,,,,,,,,,,,,,,,,,,,7.0,0.88,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,9.0,3.0,4.0,7.0,7.0,100.0,0.0,7.0,3.0,4.0,3.0,19.0,10.0,0.0,0.0,7.0,1.0,14.3,0.88,0.13,0.0,0.0,25.3,0.0,0.0,0.0,0.03,-0.2,-0.2,2023-2024,Burnley,243.0,277.0,87.7,3813.0,894.0,134.0,140.0,95.7,92.0,106.0,86.8,14.0,20.0,70.0,0.0,0.1,0.1,-0.1,1.0,10.0,2.0,0.0,21.0,2023-2024,Burnley
Aaron Ramsdale,eng ENG,GK,25.0,6.0,188.0,153.0,35.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,2.0,Matches,2023-2024,Arsenal,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,2023-2024,Arsenal,6.0,540.0,90.0,15.8,6.0,6.0,90.0,6.0,0.0,,31.0,2.67,11.0,5.0,6.0,1.0,-0.75,11.1,5.8,5.3,0.89,-0.45,2023-2024,Arsenal,5.0,0.0,0.0,1.0,0.0,3.7,0.26,-1.3,-0.22,19.0,69.0,27.5,169.0,30.0,34.9,33.3,19.0,52.6,41.4,46.0,8.0,17.4,9.0,1.5,14.6,2023-2024,Arsenal,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,Arsenal,197.0,140.0,186.0,11.0,0.0,0.0,197.0,0.0,0.0,,0.0,,137.0,697.0,399.0,0.0,0.0,0.0,1.0,0.0,104.0,0.0,2023-2024,Arsenal,6.0,5.0,0.83,14.0,9.0,64.3,5.0,1.0,0.0,2.0,33.3,0.0,0.0,0.0,0.0,,2023-2024,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,2023-2024,Arsenal,131.0,188.0,69.7,3303.0,2420.0,38.0,38.0,100.0,61.0,62.0,98.4,32.0,86.0,37.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2023-2024,Arsenal
Aaron Wan-Bissaka,eng ENG,DF,25.0,19.8,986.0,839.0,145.0,7.0,0.0,1.0,14.0,138.0,0.0,0.0,0.0,0.0,823.0,2.0,27.0,Matches,2023-2024,Manchester-United,4.0,0.0,0.0,17.0,9.0,0.0,14.0,41.0,25.0,0.0,1.0,0.0,94.0,21.0,19.0,52.5,2023-2024,Manchester-United,,1780.0,81.0,52.0,19.8,20.0,88.0,16.0,2.0,11.0,3.0,1.32,30.0,34.0,-4.0,-0.2,-0.37,25.3,37.9,-12.7,-0.64,-0.65,2023-2024,Manchester-United,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.0,2.0,2.0,0.0,0.0,0.0,0.1,0.1,1.5,1.6,30.0,77.0,54.0,0.0,0.1,0.1,0.0,0.1,0.01,0.08,0.08,0.01,0.08,2023-2024,Manchester-United,1225.0,85.0,424.0,538.0,278.0,24.0,1225.0,32.0,17.0,53.1,9.0,28.1,594.0,2909.0,1429.0,30.0,27.0,4.0,20.0,9.0,691.0,54.0,2023-2024,Manchester-United,22.0,,,,,,,,,,,,,,,,,,26.0,1.31,24.0,1.0,0.0,0.0,1.0,0.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,42.0,25.0,18.0,20.0,4.0,19.0,26.0,73.1,7.0,29.0,15.0,14.0,41.0,83.0,68.0,1.0,0.0,3.0,1.0,33.3,0.15,0.05,0.0,0.0,20.2,0.0,0.0,0.0,0.04,-0.1,-0.1,2023-2024,Manchester-United,823.0,986.0,83.5,10824.0,3539.0,536.0,599.0,89.5,243.0,285.0,85.3,19.0,38.0,50.0,2.0,1.5,1.4,0.5,12.0,51.0,16.0,3.0,77.0,2023-2024,Manchester-United
Abdoulaye Doucouré,ml MLI,"FW,MF",30.0,29.2,893.0,876.0,16.0,0.0,1.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,683.0,1.0,29.0,Matches,2023-2024,Everton,7.0,0.0,0.0,53.0,8.0,21.0,26.0,15.0,27.0,0.0,1.0,0.0,144.0,24.0,40.0,37.5,2023-2024,Everton,32.0,2629.0,82.0,76.9,29.2,32.0,82.0,17.0,0.0,,0.0,1.44,33.0,36.0,-3.0,-0.1,0.81,40.3,41.8,-1.5,-0.05,-0.08,2023-2024,Everton,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,7.0,1.0,8.0,7.0,0.0,0.0,8.8,8.8,2.9,11.6,55.0,97.0,140.0,0.24,0.03,0.27,0.24,0.27,0.3,0.1,0.4,0.3,0.4,2023-2024,Everton,1190.0,36.0,188.0,523.0,495.0,100.0,1190.0,48.0,25.0,52.1,21.0,43.8,635.0,3292.0,1692.0,55.0,37.0,17.0,61.0,42.0,800.0,140.0,2023-2024,Everton,,,,,,,,,,,,,,,,,,,67.0,2.29,59.0,0.0,0.0,6.0,1.0,1.0,5.0,0.17,3.0,0.0,0.0,2.0,0.0,0.0,43.0,27.0,20.0,14.0,9.0,18.0,46.0,39.1,28.0,23.0,3.0,20.0,15.0,58.0,19.0,0.0,7.0,47.0,21.0,44.7,1.61,0.72,0.15,0.33,12.2,0.0,0.0,0.0,0.2,-1.8,-1.8,2023-2024,Everton,683.0,893.0,76.5,9807.0,2329.0,381.0,453.0,84.1,239.0,288.0,83.0,28.0,59.0,47.5,1.0,2.9,1.5,-1.9,34.0,43.0,18.0,1.0,97.0,2023-2024,Everton
Adam Davies,wls WAL,GK,31.0,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,18.0,,,,,,,,,,,,2023-2024,Sheffield-United,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2023-2024,Sheffield-United,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Lallana,eng ENG,"MF,FW",35.0,9.4,509.0,491.0,15.0,5.0,3.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,451.0,3.0,9.0,Matches,2023-2024,Brighton-Hove-Albion,2.0,0.0,0.0,8.0,11.0,2.0,7.0,3.0,3.0,0.0,0.0,0.0,22.0,3.0,5.0,37.5,2023-2024,Brighton-Hove-Albion,25.0,850.0,34.0,24.9,9.4,13.0,53.0,0.0,12.0,13.0,8.0,1.24,12.0,13.0,-1.0,-0.11,0.1,10.9,11.7,-0.8,-0.08,-0.16,2023-2024,Brighton-Hove-Albion,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8,0.8,1.7,2.5,9.0,39.0,55.0,0.0,0.11,0.11,0.0,0.11,0.09,0.18,0.27,0.09,0.27,2023-2024,Brighton-Hove-Albion,574.0,5.0,80.0,268.0,229.0,44.0,574.0,13.0,3.0,23.1,9.0,69.2,354.0,1310.0,483.0,9.0,12.0,4.0,14.0,18.0,491.0,55.0,2023-2024,Brighton-Hove-Albion,,,,,,,,,,,,,,,,,,,28.0,2.96,27.0,0.0,0.0,0.0,1.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,2.0,1.0,1.0,3.0,11.0,1.0,0.0,0.0,11.0,2.0,18.2,1.16,0.21,0.0,0.0,17.8,0.0,0.0,0.0,0.08,-0.8,-0.8,2023-2024,Brighton-Hove-Albion,451.0,509.0,88.6,4936.0,1088.0,326.0,352.0,92.6,78.0,90.0,86.7,7.0,8.0,87.5,1.0,1.7,2.0,-0.7,15.0,21.0,16.0,1.0,39.0,2023-2024,Brighton-Hove-Albion
Adam Smith,eng ENG,DF,32.0,23.9,1025.0,793.0,229.0,14.0,3.0,1.0,39.0,215.0,0.0,0.0,0.0,0.0,782.0,3.0,26.0,Matches,2023-2024,Bournemouth,6.0,0.0,0.0,30.0,22.0,1.0,39.0,21.0,23.0,0.0,2.0,0.0,92.0,18.0,22.0,45.0,2023-2024,Bournemouth,28.0,2150.0,77.0,62.9,23.9,25.0,85.0,15.0,3.0,12.0,6.0,1.61,39.0,33.0,6.0,0.25,1.6,37.6,31.6,6.0,0.25,0.83,2023-2024,Bournemouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,0.0,2.0,2.0,0.0,0.0,0.0,0.1,0.1,1.3,1.4,24.0,89.0,28.0,0.0,0.08,0.08,0.0,0.08,0.0,0.05,0.06,0.0,0.06,2023-2024,Bournemouth,1229.0,92.0,404.0,537.0,295.0,11.0,1229.0,15.0,4.0,26.7,8.0,53.3,521.0,2455.0,1022.0,24.0,22.0,3.0,14.0,7.0,580.0,28.0,2023-2024,Bournemouth,,,,,,,,,,,,,,,,,,,31.0,1.3,26.0,4.0,0.0,0.0,1.0,0.0,5.0,0.21,5.0,0.0,0.0,0.0,0.0,0.0,37.0,23.0,18.0,11.0,8.0,19.0,39.0,48.7,20.0,28.0,11.0,17.0,21.0,58.0,62.0,0.0,0.0,2.0,0.0,0.0,0.08,0.0,0.0,,26.9,0.0,0.0,0.0,0.03,-0.1,-0.1,2023-2024,Bournemouth,782.0,1025.0,76.3,12722.0,5225.0,397.0,443.0,89.6,325.0,401.0,81.0,51.0,141.0,36.2,2.0,1.3,1.7,0.7,17.0,58.0,23.0,17.0,89.0,2023-2024,Bournemouth
Adam Webster,eng ENG,DF,28.0,12.7,1096.0,1063.0,31.0,23.0,1.0,4.0,1.0,7.0,0.0,0.0,0.0,0.0,997.0,2.0,2.0,Matches,2023-2024,Brighton-Hove-Albion,2.0,0.0,0.0,9.0,3.0,0.0,1.0,16.0,12.0,0.0,0.0,1.0,63.0,33.0,13.0,71.7,2023-2024,Brighton-Hove-Albion,15.0,1144.0,76.0,33.5,12.7,13.0,85.0,11.0,2.0,18.0,12.0,1.13,16.0,22.0,-6.0,-0.47,-0.43,21.9,17.5,4.5,0.35,0.47,2023-2024,Brighton-Hove-Albion,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.6,16.0,80.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,2023-2024,Brighton-Hove-Albion,1201.0,106.0,495.0,625.0,86.0,14.0,1201.0,2.0,0.0,0.0,2.0,100.0,814.0,4073.0,2357.0,16.0,16.0,0.0,5.0,2.0,903.0,2.0,2023-2024,Brighton-Hove-Albion,,,,,,,,,,,,,,,,,,,14.0,1.1,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,8.0,5.0,1.0,6.0,18.0,33.3,12.0,16.0,12.0,4.0,16.0,30.0,43.0,1.0,0.0,8.0,0.0,0.0,0.63,0.0,0.0,,9.9,0.0,0.0,0.0,0.05,-0.4,-0.4,2023-2024,Brighton-Hove-Albion,997.0,1096.0,91.0,16938.0,5838.0,428.0,462.0,92.6,495.0,529.0,93.6,56.0,79.0,70.9,0.0,0.1,0.3,-0.1,5.0,92.0,4.0,0.0,80.0,2023-2024,Brighton-Hove-Albion
Adam Wharton,eng ENG,MF,19.0,14.4,596.0,553.0,34.0,13.0,3.0,2.0,25.0,0.0,15.0,7.0,4.0,0.0,464.0,9.0,11.0,Matches,2023-2024,Crystal-Palace,2.0,0.0,0.0,18.0,21.0,0.0,25.0,20.0,32.0,0.0,0.0,0.0,76.0,7.0,12.0,36.8,2023-2024,Crystal-Palace,16.0,1297.0,81.0,37.9,14.4,15.0,82.0,6.0,1.0,63.0,0.0,1.56,27.0,16.0,11.0,0.76,1.27,19.9,17.6,2.3,0.16,0.4,2023-2024,Crystal-Palace,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,3.0,3.0,0.0,0.0,0.0,0.3,0.3,2.4,2.8,14.0,79.0,10.0,0.0,0.21,0.21,0.0,0.21,0.02,0.17,0.19,0.02,0.19,2023-2024,Crystal-Palace,742.0,29.0,143.0,426.0,183.0,4.0,742.0,7.0,3.0,42.9,2.0,28.6,346.0,1441.0,723.0,14.0,23.0,0.0,12.0,12.0,449.0,10.0,2023-2024,Crystal-Palace,,,,,,,,,,,,,,,,,,,37.0,2.57,30.0,7.0,0.0,0.0,0.0,0.0,5.0,0.35,5.0,0.0,0.0,0.0,0.0,0.0,48.0,32.0,18.0,22.0,8.0,23.0,46.0,50.0,23.0,17.0,3.0,14.0,20.0,68.0,24.0,1.0,0.0,10.0,1.0,10.0,0.69,0.07,0.0,0.0,24.2,0.0,0.0,0.0,0.03,-0.3,-0.3,2023-2024,Crystal-Palace,464.0,596.0,77.9,8091.0,2486.0,209.0,244.0,85.7,199.0,234.0,85.0,45.0,80.0,56.3,3.0,2.4,1.5,0.6,21.0,51.0,16.0,3.0,79.0,2023-2024,Crystal-Palace
