Player,Nation,Pos,Age,90s,Att,Pass Types-Live,Pass Types-Dead,Pass Types-FK,Pass Types-TB,Pass Types-Sw,Pass Types-Crs,Pass Types-TI,Pass Types-CK,Corner Kicks-In,Corner Kicks-Out,Corner Kicks-Str,Outcomes-Cmp,Outcomes-Off,Outcomes-Blocks,Matches,Season-Unnamed: 21_level_1,Team-Unnamed: 22_level_1
William Saliba,fr FRA,DF,22.0,38.0,2851,2794,55,33,3,2,3,7,0,0,0,0,2635,2,11,Matches,2023-2024,Arsenal
Declan Rice,eng ENG,MF,24.0,35.8,2295,2181,107,48,2,17,60,1,47,38,0,0,2041,7,26,Matches,2023-2024,Arsenal
Martin Ødegaard,no NOR,MF,24.0,34.3,2006,1887,103,55,39,3,77,13,26,21,1,0,1692,16,38,Matches,2023-2024,Arsenal
Ben White,eng ENG,DF,25.0,33.2,2177,1922,251,46,5,11,57,205,0,0,0,0,1828,4,21,Matches,2023-2024,Arsenal
Bukayo Saka,eng ENG,FW,21.0,32.4,1512,1365,138,7,4,3,181,12,119,99,0,0,1143,9,50,Matches,2023-2024,Arsenal
Gabriel Magalhães,br BRA,DF,25.0,33.8,2157,2030,122,53,2,4,4,4,0,0,0,0,1914,5,22,Matches,2023-2024,Arsenal
David Raya,es ESP,GK,27.0,32.0,1068,898,167,71,0,1,0,0,0,0,0,0,800,3,2,Matches,2023-2024,Arsenal
Kai Havertz,de GER,"MF,FW",24.0,29.3,955,938,12,3,2,0,12,6,0,0,0,0,764,5,16,Matches,2023-2024,Arsenal
Gabriel Martinelli,br BRA,FW,22.0,22.4,929,878,49,3,3,3,109,11,35,30,0,0,724,2,29,Matches,2023-2024,Arsenal
Oleksandr Zinchenko,ua UKR,DF,26.0,19.1,1568,1395,165,46,11,5,30,119,0,0,0,0,1374,8,14,Matches,2023-2024,Arsenal
Leandro Trossard,be BEL,"FW,MF",28.0,18.3,673,625,46,6,8,2,57,8,24,22,0,0,494,2,30,Matches,2023-2024,Arsenal
Gabriel Jesus,br BRA,FW,26.0,16.4,513,482,23,2,8,2,9,6,0,0,0,0,403,8,18,Matches,2023-2024,Arsenal
Jakub Kiwior,pl POL,DF,23.0,10.5,625,550,73,6,1,1,12,67,0,0,0,0,523,2,2,Matches,2023-2024,Arsenal
Takehiro Tomiyasu,jp JPN,DF,24.0,12.8,697,615,80,7,2,2,14,73,0,0,0,0,574,2,11,Matches,2023-2024,Arsenal
Eddie Nketiah,eng ENG,FW,24.0,12.0,215,199,16,0,3,0,5,1,0,0,0,0,168,0,10,Matches,2023-2024,Arsenal
Jorginho,it ITA,MF,31.0,10.2,785,759,18,13,5,1,3,1,0,0,0,0,699,8,5,Matches,2023-2024,Arsenal
Thomas Partey,gh GHA,"MF,DF",30.0,8.8,636,609,24,14,3,3,2,10,0,0,0,0,570,3,3,Matches,2023-2024,Arsenal
Aaron Ramsdale,eng ENG,GK,25.0,6.0,188,153,35,16,0,0,0,0,0,0,0,0,131,0,2,Matches,2023-2024,Arsenal
Emile Smith Rowe,eng ENG,MF,23.0,3.9,213,207,6,3,0,1,1,1,1,0,0,0,188,0,2,Matches,2023-2024,Arsenal
Fabio Vieira,pt POR,"MF,FW",23.0,3.3,150,137,12,3,3,2,15,0,8,3,0,0,122,1,1,Matches,2023-2024,Arsenal
Reiss Nelson,eng ENG,FW,23.0,3.0,144,132,12,4,0,1,14,3,5,4,0,0,127,0,3,Matches,2023-2024,Arsenal
Jurriën Timber,nl NED,DF,22.0,0.8,74,67,7,1,0,1,1,6,0,0,0,0,66,0,2,Matches,2023-2024,Arsenal
Cédric Soares,pt POR,DF,31.0,0.7,69,61,8,2,0,0,4,6,0,0,0,0,60,0,1,Matches,2023-2024,Arsenal
Mohamed Elneny,eg EGY,MF,31.0,0.3,40,39,1,1,0,0,0,0,0,0,0,0,39,0,0,Matches,2023-2024,Arsenal
Ethan Nwaneri,eng ENG,FW,16.0,0.2,18,18,0,0,0,0,0,0,0,0,0,0,15,0,0,Matches,2023-2024,Arsenal
Squad Total,,,25.0,38.0,22558,20941,1530,443,104,65,670,560,265,217,1,0,19094,87,319,,2023-2024,Arsenal
Opponent Total,,,26.3,38.0,16241,14590,1591,459,39,72,476,562,113,74,31,1,12735,60,337,,2023-2024,Arsenal
