Player,Nation,Pos,Age,90s,SCA-SCA,SCA-SCA90,SCA Types-PassLive,SCA Types-PassDead,SCA Types-TO,SCA Types-Sh,SCA Types-Fld,SCA Types-Def,GCA-GCA,GCA-GCA90,GCA Types-PassLive,GCA Types-PassDead,GCA Types-TO,GCA Types-Sh,GCA Types-Fld,GCA Types-Def,Matches,Season-Unnamed: 22_level_1,Team-Unnamed: 23_level_1
Ollie Watkins,eng ENG,FW,27.0,35.7,100,2.8,70,0,7,18,4,1,26,0.73,15,0,2,7,2,0,Matches,2023-2024,Aston-Villa
Ezri Konsa,eng ENG,DF,25.0,34.1,34,1.0,25,1,2,2,3,1,6,0.18,3,1,0,0,1,1,Matches,2023-2024,Aston-Villa
John McGinn,sct SCO,"MF,FW",28.0,33.3,106,3.18,88,9,6,2,1,0,14,0.42,11,1,2,0,0,0,Matches,2023-2024,Aston-Villa
Douglas Luiz,br BRA,MF,25.0,33.3,117,3.52,61,34,6,10,5,1,10,0.3,5,4,0,0,1,0,Matches,2023-2024,Aston-Villa
Emiliano Martínez,ar ARG,GK,30.0,33.5,3,0.09,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Pau Torres,es ESP,DF,26.0,27.4,23,0.84,22,1,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Lucas Digne,fr FRA,DF,30.0,26.8,74,2.76,48,19,0,3,3,1,4,0.15,4,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Moussa Diaby,fr FRA,"FW,MF",24.0,24.2,80,3.31,64,1,6,7,2,0,10,0.41,9,0,1,0,0,0,Matches,2023-2024,Aston-Villa
Matty Cash,pl POL,DF,25.0,23.8,44,1.85,34,1,0,6,2,1,8,0.34,7,0,0,0,1,0,Matches,2023-2024,Aston-Villa
Leon Bailey,jm JAM,"MF,FW",25.0,23.0,97,4.22,70,7,9,7,3,1,11,0.48,7,1,1,2,0,0,Matches,2023-2024,Aston-Villa
Diego Carlos,br BRA,DF,30.0,20.2,9,0.45,9,0,0,0,0,0,2,0.1,2,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Boubacar Kamara,fr FRA,MF,23.0,18.4,38,2.07,33,0,0,2,1,2,3,0.16,3,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Youri Tielemans,be BEL,"MF,FW",26.0,18.0,49,2.72,40,1,1,3,2,2,16,0.89,14,0,0,1,0,1,Matches,2023-2024,Aston-Villa
Clément Lenglet,fr FRA,DF,28.0,12.8,15,1.17,11,1,0,3,0,0,1,0.08,1,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Álex Moreno,es ESP,DF,30.0,11.5,22,1.92,19,0,2,1,0,0,1,0.09,1,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Nicolò Zaniolo,it ITA,"FW,MF",24.0,9.3,30,3.23,20,0,2,6,1,1,3,0.32,3,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Jacob Ramsey,eng ENG,"FW,MF",22.0,9.5,29,3.06,23,2,1,2,0,1,3,0.32,2,1,0,0,0,0,Matches,2023-2024,Aston-Villa
Morgan Rogers,eng ENG,"MF,FW",21.0,7.1,23,3.25,18,0,3,0,2,0,4,0.57,2,0,1,0,1,0,Matches,2023-2024,Aston-Villa
Robin Olsen,se SWE,GK,33.0,4.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Jhon Durán,co COL,"FW,MF",19.0,5.3,12,2.27,8,0,1,1,1,1,4,0.76,1,0,1,0,1,1,Matches,2023-2024,Aston-Villa
Tim Iroegbunam,eng ENG,MF,20.0,1.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Calum Chambers,eng ENG,"MF,DF",28.0,1.7,1,0.6,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Leander Dendoncker,be BEL,MF,28.0,1.3,2,1.51,1,0,0,0,1,0,1,0.76,0,0,0,0,1,0,Matches,2023-2024,Aston-Villa
Tyrone Mings,eng ENG,DF,30.0,0.3,2,6.0,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Omari Kellyman,eng ENG,FW,17.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Philippe Coutinho,br BRA,"MF,FW",31.0,0.3,2,7.2,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Bertrand Traoré,bf BFA,"DF,FW",27.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Cameron Archer,eng ENG,MF,22.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Kaine Kesler-Hayden,eng ENG,"MF,DF",20.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Finley Munroe,eng ENG,MF,18.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Jaden Philogene Bidace,eng ENG,FW,21.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Aston-Villa
Squad Total,,,26.9,38.0,912,24.0,670,77,47,73,31,14,129,3.39,92,8,8,10,8,3,,2023-2024,Aston-Villa
Opponent Total,,,26.2,38.0,820,21.58,586,72,53,58,34,17,102,2.68,70,9,6,8,4,5,,2023-2024,Aston-Villa
