Player,Nation,Pos,Age,MP,Playing Time-Min,Playing Time-Mn/MP,Playing Time-Min%,Playing Time-90s,Starts-Starts,Starts-Mn/Start,Starts-Compl,Subs-Subs,Subs-Mn/Sub,Subs-unSub,Team Success-PPM,Team Success-onG,Team Success-onGA,Team Success-+/-,Team Success-+/-90,Team Success-On-Off,Team Success (xG)-onxG,Team Success (xG)-onxGA,Team Success (xG)-xG+/-,Team Success (xG)-xG+/-90,Team Success (xG)-On-Off,Matches,Season-Unnamed: 27_level_1,Team-Unnamed: 28_level_1
Michał Helik,pl POL,DF,27.0,41,3630.0,89.0,87.7,40.3,40,89.0,38,1,65.0,0,0.88,36.0,68.0,-32.0,-0.79,-1.32,40.5,57.4,-16.9,-0.42,-0.9,Matches,2023-2024,Brentford
Sorba Thomas,wls WAL,"FW,MF",23.0,41,3427.0,84.0,82.8,38.1,39,86.0,31,2,30.0,0,0.93,39.0,64.0,-25.0,-0.66,-0.15,42.1,52.1,-10.0,-0.26,0.27,Matches,2023-2024,Brentford
Lee Nicholls,eng ENG,GK,30.0,37,3305.0,89.0,79.8,36.7,37,89.0,36,0,,3,0.97,37.0,64.0,-27.0,-0.74,-0.52,42.9,49.4,-6.5,-0.18,0.65,Matches,2023-2024,Brentford
Matty Pearson,eng ENG,DF,29.0,39,3239.0,83.0,78.2,36.0,37,86.0,33,2,23.0,0,1.0,38.0,57.0,-19.0,-0.53,0.47,36.1,49.0,-12.9,-0.36,-0.23,Matches,2023-2024,Brentford
Jack Rudoni,eng ENG,"MF,FW",23.0,35,3060.0,87.0,73.9,34.0,35,87.0,32,0,,0,0.91,35.0,59.0,-24.0,-0.71,-0.29,40.3,46.8,-6.5,-0.19,0.46,Matches,2023-2024,Brentford
Jonathan Hogg,eng ENG,MF,34.0,34,2687.0,79.0,64.9,29.9,32,82.0,21,2,33.0,0,1.09,31.0,45.0,-14.0,-0.47,0.46,29.5,37.7,-8.2,-0.27,0.1,Matches,2023-2024,Brentford
Josh Koroma,sl SLE,"FW,MF",24.0,39,2422.0,62.0,58.5,26.9,29,75.0,6,10,26.0,5,1.08,32.0,44.0,-12.0,-0.45,0.44,31.5,36.7,-5.2,-0.19,0.28,Matches,2023-2024,Brentford
Tom Lees,eng ENG,DF,32.0,31,2518.0,81.0,60.8,28.0,28,87.0,24,3,25.0,2,0.97,31.0,45.0,-14.0,-0.5,0.33,27.2,36.6,-9.4,-0.34,-0.07,Matches,2023-2024,Brentford
David Kasumu,eng ENG,"MF,DF",23.0,31,2349.0,76.0,56.7,26.1,28,82.0,19,3,20.0,2,1.06,29.0,44.0,-15.0,-0.57,0.13,23.9,37.8,-13.9,-0.53,-0.51,Matches,2023-2024,Brentford
Delano Burgzorg,sr SUR,FW,24.0,33,2206.0,67.0,53.3,24.5,25,80.0,12,8,27.0,1,1.12,26.0,36.0,-10.0,-0.41,0.48,26.2,32.7,-6.5,-0.26,0.1,Matches,2023-2024,Brentford
Ben Wiles,eng ENG,MF,24.0,30,1837.0,61.0,44.4,20.4,20,77.0,10,10,29.0,9,1.1,26.0,32.0,-6.0,-0.29,0.6,19.1,23.8,-4.8,-0.23,0.14,Matches,2023-2024,Brentford
Yuta Nakayama,jp JPN,DF,26.0,23,1695.0,74.0,40.9,18.8,18,85.0,15,5,33.0,8,1.04,21.0,34.0,-13.0,-0.69,-0.1,16.2,26.6,-10.4,-0.55,-0.41,Matches,2023-2024,Brentford
Brodie Gilmore,nir NIR,DF,19.0,20,1533.0,77.0,37.0,17.0,18,82.0,10,2,27.0,1,1.0,21.0,22.0,-1.0,-0.06,0.91,19.8,17.7,2.1,0.12,0.69,Matches,2023-2024,Brentford
Jaheim Headley,eng ENG,"DF,MF",21.0,29,1646.0,57.0,39.8,18.3,17,77.0,9,12,28.0,7,1.0,17.0,29.0,-12.0,-0.66,-0.04,16.7,24.7,-8.0,-0.43,-0.21,Matches,2023-2024,Brentford
Alex Matos,eng ENG,MF,18.0,19,1278.0,67.0,30.9,14.2,15,74.0,3,4,42.0,1,1.0,14.0,16.0,-2.0,-0.14,0.71,16.1,14.1,2.0,0.14,0.66,Matches,2023-2024,Brentford
Ben Jackson,eng ENG,"DF,MF",22.0,25,1337.0,53.0,32.3,14.9,14,81.0,10,11,19.0,14,1.0,12.0,24.0,-12.0,-0.81,-0.26,12.4,23.2,-10.8,-0.73,-0.62,Matches,2023-2024,Brentford
Danny Ward,eng ENG,FW,31.0,21,1142.0,54.0,27.6,12.7,13,74.0,4,8,22.0,2,1.0,13.0,27.0,-14.0,-1.1,-0.65,14.9,20.2,-5.3,-0.42,-0.15,Matches,2023-2024,Brentford
Josh Ruffels,eng ENG,DF,29.0,11,777.0,71.0,18.8,8.6,10,77.0,6,1,5.0,1,1.0,7.0,14.0,-7.0,-0.81,-0.22,10.7,14.1,-3.4,-0.39,-0.1,Matches,2023-2024,Brentford
Chris Maxwell,wls WAL,GK,33.0,9,696.0,77.0,16.8,7.7,8,84.0,7,1,25.0,31,1.11,8.0,11.0,-3.0,-0.39,0.29,4.2,11.7,-7.5,-0.97,-0.79,Matches,2023-2024,Brentford
Tom Edwards,eng ENG,DF,24.0,13,671.0,52.0,16.2,7.5,7,78.0,4,6,21.0,20,0.69,6.0,18.0,-12.0,-1.61,-1.17,10.9,13.5,-2.6,-0.35,-0.05,Matches,2023-2024,Brentford
Kian Harratt,eng ENG,FW,21.0,15,496.0,33.0,12.0,5.5,6,66.0,2,9,11.0,1,1.0,9.0,12.0,-3.0,-0.54,0.1,8.4,8.7,-0.4,-0.07,0.27,Matches,2023-2024,Brentford
Brahima Diarra,ml MLI,"MF,FW",20.0,21,658.0,31.0,15.9,7.3,5,71.0,0,16,19.0,17,1.05,9.0,18.0,-9.0,-1.23,-0.71,8.9,12.0,-3.1,-0.43,-0.14,Matches,2023-2024,Brentford
Rhys Healey,wls WAL,"FW,MF",28.0,11,507.0,46.0,12.2,5.6,5,71.0,3,6,26.0,0,1.0,6.0,14.0,-8.0,-1.42,-0.9,6.8,9.6,-2.8,-0.5,-0.21,Matches,2023-2024,Brentford
Radinio Balker,sr SUR,DF,24.0,7,408.0,58.0,9.9,4.5,5,75.0,2,2,18.0,0,1.14,7.0,5.0,2.0,0.44,1.19,7.4,2.7,4.7,1.04,1.49,Matches,2023-2024,Brentford
Rarmani Edmonds-Green,eng ENG,"MF,DF",24.0,14,606.0,43.0,14.6,6.7,4,84.0,2,10,27.0,13,1.07,6.0,13.0,-7.0,-1.04,-0.48,6.1,10.4,-4.3,-0.63,-0.38,Matches,2023-2024,Brentford
Bojan Radulovic,rs SRB,FW,23.0,11,380.0,35.0,9.2,4.2,4,67.0,1,7,16.0,6,0.91,3.0,6.0,-3.0,-0.71,-0.09,6.8,3.8,3.0,0.71,1.12,Matches,2023-2024,Brentford
Kyle Hudlin,eng ENG,FW,23.0,9,279.0,31.0,6.7,3.1,2,80.0,0,7,17.0,12,1.0,1.0,3.0,-2.0,-0.65,-0.02,2.4,4.8,-2.4,-0.78,-0.5,Matches,2023-2024,Brentford
Oliver Turton,eng ENG,DF,30.0,3,169.0,56.0,4.1,1.9,2,84.0,1,1,1.0,3,0.67,1.0,4.0,-3.0,-1.6,-1.01,0.8,3.6,-2.7,-1.45,-1.19,Matches,2023-2024,Brentford
Patrick Jones,wls WAL,"FW,MF",20.0,7,164.0,23.0,4.0,1.8,1,57.0,0,6,18.0,13,0.14,2.0,9.0,-7.0,-3.84,-3.34,2.3,3.1,-0.8,-0.44,-0.13,Matches,2023-2024,Brentford
Jacob Chapman,au AUS,GK,22.0,2,139.0,70.0,3.4,1.5,1,90.0,1,1,49.0,5,1.5,3.0,2.0,1.0,0.65,1.32,1.5,1.7,-0.2,-0.13,0.19,Matches,2023-2024,Brentford
Joshua Austerfield,eng ENG,MF,21.0,3,70.0,23.0,1.7,0.8,1,45.0,0,2,13.0,15,0.33,0.0,3.0,-3.0,-3.86,-3.28,0.5,1.1,-0.7,-0.84,-0.54,Matches,2023-2024,Brentford
Loick Ayina,cg CGO,"DF,MF",20.0,2,78.0,39.0,1.9,0.9,0,,0,2,39.0,9,1.5,2.0,4.0,-2.0,-2.31,-1.71,1.2,2.1,-0.9,-1.06,-0.76,Matches,2023-2024,Brentford
Tom Iorpenda,eng ENG,MF,18.0,2,52.0,26.0,1.3,0.6,0,,0,2,26.0,22,0.5,0.0,0.0,0.0,0.0,0.64,0.2,0.2,0.0,-0.01,0.31,Matches,2023-2024,Brentford
Giosue Bellagambi,ug UGA,GK,21.0,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches,2023-2024,Brentford
Luke Daley,eng ENG,DF,19.0,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,2023-2024,Brentford
Neo Eccleston,eng ENG,DF,19.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,2023-2024,Brentford
Conor Falls,nir NIR,MF,19.0,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,2023-2024,Brentford
Jordan Rhodes,sct SCO,FW,33.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,2023-2024,Brentford
Michael Stone,eng ENG,MF,19.0,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches,2023-2024,Brentford
Squad Total,,,26.4,46,4140.0,90.0,100.0,46.0,506,82.0,342,162,23.0,246,0.98,48.0,77.0,-29.0,-0.63,,48.6,62.9,-14.2,-0.31,,,2023-2024,Brentford
Opponent Total,,,26.0,46,4140.0,90.0,100.0,46.0,506,82.0,305,203,20.0,210,1.63,77.0,48.0,29.0,0.63,,62.9,48.6,14.2,0.31,,,2023-2024,Brentford
