Date-2023-08-05,Time-15:00,Comp-Championship,Round-Matchweek 1,Day-Sat,Venue-Away,Result-L,GF-1,GA-3,Opponent-Plymouth Argyle,xG-2.0,xGA-2.4,Poss-48,Attendance-16446,Captain-Michał Helik,Formation-4-2-3-1,Opp Formation-4-3-3,Referee-Matt Donohue,Match Report-Match Report,Notes-Unnamed: 19_level_1,Season-2023-2024,Team-Brentford
2023-08-08,19:00,EFL Cup,First round,Tue,Home,L,2,3,Middlesbrough,,,24,8057,Jonathan Hogg,3-4-1-2,4-3-3,Oliver Langford,Match Report,,2023-2024,Brentford
2023-08-12,15:00,Championship,Matchweek 2,Sat,Home,L,0,1,Leicester City,1.2,1.4,31,19541,Jonathan Hogg,4-2-3-1,4-3-3,David Webb,Match Report,,2023-2024,Brentford
2023-08-19,15:00,Championship,Matchweek 3,Sat,Away,D,1,1,Middlesbrough,1.2,2.0,41,26257,Jonathan Hogg,4-2-3-1,4-2-3-1,Joshua Smith,Match Report,,2023-2024,Brentford
2023-08-26,15:00,Championship,Matchweek 4,Sat,Home,L,0,4,Norwich City,1.0,2.5,44,18708,Jonathan Hogg,4-2-3-1,4-2-3-1,Dean Whitestone,Match Report,,2023-2024,Brentford
2023-09-02,15:00,Championship,Matchweek 5,Sat,Away,W,2,1,West Brom,0.9,1.1,38,23094,Jonathan Hogg,4-2-3-1,4-2-3-1,James Linington,Match Report,,2023-2024,Brentford
2023-09-16,15:00,Championship,Matchweek 6,Sat,Home,W,2,0,Rotherham Utd,2.1,0.4,47,19050,Jonathan Hogg,3-5-2,4-3-3,Jeremy Simpson,Match Report,,2023-2024,Brentford
2023-09-20,19:45,Championship,Matchweek 7,Wed,Home,D,2,2,Stoke City,1.0,2.3,35,18791,Michał Helik,4-3-3,3-5-2,Darren Bond,Match Report,,2023-2024,Brentford
2023-09-25,20:00,Championship,Matchweek 8,Mon,Away,D,1,1,Coventry City,0.7,2.0,41,22257,Jonathan Hogg,3-5-2,3-4-1-2,Oliver Langford,Match Report,,2023-2024,Brentford
2023-09-30,15:00,Championship,Matchweek 9,Sat,Home,D,1,1,Ipswich Town,1.2,1.3,40,20000,Jonathan Hogg,3-5-2,4-2-3-1,Geoff Eltringham,Match Report,,2023-2024,Brentford
2023-10-03,19:45,Championship,Matchweek 10,Tue,Away,L,1,4,Birmingham City,2.1,1.7,43,15944,Michał Helik,3-5-2,4-2-3-1,Samuel Allison,Match Report,,2023-2024,Brentford
2023-10-07,15:00,Championship,Matchweek 11,Sat,Away,D,0,0,Sheffield Weds,0.7,0.6,55,26025,Jonathan Hogg,3-4-1-2,3-4-1-2,Matt Donohue,Match Report,,2023-2024,Brentford
2023-10-21,15:00,Championship,Matchweek 12,Sat,Home,W,2,1,QPR,1.0,1.3,39,18010,Jonathan Hogg,3-5-2,3-4-1-2,Gavin Ward,Match Report,,2023-2024,Brentford
2023-10-24,19:45,Championship,Matchweek 13,Tue,Home,L,0,4,Cardiff City,1.6,1.4,56,16780,Jonathan Hogg,3-5-2,4-2-3-1,Anthony Backhouse,Match Report,,2023-2024,Brentford
