Player,Nation,Pos,Age,90s,Tackles-Tkl,Tackles-TklW,Tackles-Def 3rd,Tackles-Mid 3rd,Tackles-Att 3rd,Challenges-Tkl,Challenges-Att,Challenges-Tkl%,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Tkl+Int,Clr,Err,Matches,Season-Unnamed: 22_level_1,Team-Unnamed: 23_level_1
Michał Helik,pl POL,DF,27.0,40.3,56,32,35,21,0,18,35,51.4,17,61,42,19,75,131,228,1,Matches,2023-2024,Brentford
Sorba Thomas,wls WAL,"FW,MF",23.0,38.1,19,13,7,10,2,8,23,34.8,15,24,2,22,11,30,27,0,Matches,2023-2024,Brentford
Lee Nicholls,eng ENG,GK,30.0,36.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,18,1,Matches,2023-2024,Brentford
Matty Pearson,eng ENG,DF,29.0,36.0,50,28,28,21,1,19,42,45.2,23,54,30,24,39,89,162,0,Matches,2023-2024,Brentford
Jack Rudoni,eng ENG,"MF,FW",23.0,34.0,63,41,27,27,9,28,57,49.1,29,48,7,41,29,92,31,0,Matches,2023-2024,Brentford
Jonathan Hogg,eng ENG,MF,34.0,29.9,83,51,28,46,9,38,67,56.7,29,46,20,26,45,128,61,1,Matches,2023-2024,Brentford
Josh Koroma,sl SLE,"FW,MF",24.0,26.9,26,18,11,7,8,10,23,43.5,13,21,2,19,8,34,12,0,Matches,2023-2024,Brentford
Tom Lees,eng ENG,DF,32.0,28.0,28,20,16,10,2,15,21,71.4,6,36,24,12,29,57,127,0,Matches,2023-2024,Brentford
David Kasumu,eng ENG,"MF,DF",23.0,26.1,48,25,19,26,3,22,56,39.3,34,40,6,34,22,70,25,0,Matches,2023-2024,Brentford
Delano Burgzorg,sr SUR,FW,24.0,24.5,13,7,5,6,2,5,13,38.5,8,14,1,13,8,21,7,0,Matches,2023-2024,Brentford
Ben Wiles,eng ENG,MF,24.0,20.4,22,16,9,13,0,10,22,45.5,12,14,2,12,19,41,19,0,Matches,2023-2024,Brentford
Yuta Nakayama,jp JPN,DF,26.0,18.8,28,21,16,10,2,14,25,56.0,11,25,9,16,17,45,51,0,Matches,2023-2024,Brentford
Brodie Gilmore,nir NIR,DF,19.0,17.0,45,34,23,15,7,26,37,70.3,11,34,7,27,22,67,48,1,Matches,2023-2024,Brentford
Jaheim Headley,eng ENG,"DF,MF",21.0,18.3,56,31,29,25,2,29,45,64.4,16,19,1,18,15,71,43,0,Matches,2023-2024,Brentford
Alex Matos,eng ENG,MF,18.0,14.2,43,26,19,17,7,24,51,47.1,27,25,5,20,27,70,19,1,Matches,2023-2024,Brentford
Ben Jackson,eng ENG,"DF,MF",22.0,14.9,40,24,22,15,3,22,45,48.9,23,19,8,11,14,54,51,0,Matches,2023-2024,Brentford
Danny Ward,eng ENG,FW,31.0,12.7,4,3,1,1,2,2,7,28.6,5,5,0,5,0,4,10,0,Matches,2023-2024,Brentford
Josh Ruffels,eng ENG,DF,29.0,8.6,17,11,9,8,0,4,15,26.7,11,10,1,9,14,31,22,0,Matches,2023-2024,Brentford
Chris Maxwell,wls WAL,GK,33.0,7.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches,2023-2024,Brentford
Tom Edwards,eng ENG,DF,24.0,7.5,21,16,9,11,1,12,23,52.2,11,8,4,4,10,31,26,0,Matches,2023-2024,Brentford
