Player,Nation,Pos,Age,90s,SCA-SCA,SCA-SCA90,SCA Types-PassLive,SCA Types-PassDead,SCA Types-TO,SCA Types-Sh,SCA Types-Fld,SCA Types-Def,GCA-GCA,GCA-GCA90,GCA Types-PassLive,GCA Types-PassDead,GCA Types-TO,GCA Types-Sh,GCA Types-Fld,GCA Types-Def,Matches,Season-Unnamed: 22_level_1,Team-Unnamed: 23_level_1
Pascal Groß,de GER,"MF,DF",32.0,34.6,185,5.35,114,54,5,9,2,1,16,0.46,9,2,4,1,0,0,Matches,2023-2024,Brighton-Hove-Albion
Lewis Dunk,eng ENG,DF,31.0,31.9,48,1.51,39,3,0,6,0,0,7,0.22,6,0,0,1,0,0,Matches,2023-2024,Brighton-Hove-Albion
Jan Paul van Hecke,nl NED,DF,23.0,26.3,37,1.41,35,0,0,1,0,1,3,0.11,3,0,0,0,0,0,Matches,2023-2024,Brighton-Hove-Albion
Simon Adingra,ci CIV,FW,21.0,24.7,77,3.12,51,1,13,7,3,2,4,0.16,3,0,0,0,0,1,Matches,2023-2024,Brighton-Hove-Albion
Billy Gilmour,sct SCO,MF,22.0,23.6,69,2.93,59,5,0,2,3,0,6,0.25,5,0,0,1,0,0,Matches,2023-2024,Brighton-Hove-Albion
Bart Verbruggen,nl NED,GK,20.0,21.0,3,0.14,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Brighton-Hove-Albion
Danny Welbeck,eng ENG,"FW,MF",32.0,18.8,71,3.77,52,0,3,11,5,0,7,0.37,3,0,0,2,2,0,Matches,2023-2024,Brighton-Hove-Albion
João Pedro,br BRA,"FW,MF",21.0,22.7,91,4.01,64,0,7,10,9,1,11,0.48,5,0,2,2,2,0,Matches,2023-2024,Brighton-Hove-Albion
Igor,br BRA,DF,25.0,18.2,25,1.38,21,2,1,0,0,1,2,0.11,2,0,0,0,0,0,Matches,2023-2024,Brighton-Hove-Albion
Joël Veltman,nl NED,DF,31.0,17.6,18,1.02,12,2,0,0,3,1,1,0.06,1,0,0,0,0,0,Matches,2023-2024,Brighton-Hove-Albion
Jason Steele,eng ENG,GK,32.0,17.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Brighton-Hove-Albion
Facundo Buonanotte,ar ARG,"FW,MF",18.0,15.2,38,2.51,26,1,2,3,5,1,2,0.13,2,0,0,0,0,0,Matches,2023-2024,Brighton-Hove-Albion
Kaoru Mitoma,jp JPN,FW,26.0,16.5,62,3.76,47,0,10,3,2,0,10,0.61,6,0,3,1,0,0,Matches,2023-2024,Brighton-Hove-Albion
Evan Ferguson,ie IRL,FW,18.0,15.2,22,1.45,15,0,2,1,3,1,1,0.07,0,0,0,0,1,0,Matches,2023-2024,Brighton-Hove-Albion
Carlos Baleba,cm CMR,MF,19.0,14.7,17,1.15,16,0,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches,2023-2024,Brighton-Hove-Albion
Pervis Estupiñán,ec ECU,DF,25.0,13.8,42,3.04,37,3,1,1,0,0,2,0.14,2,0,0,0,0,0,Matches,2023-2024,Brighton-Hove-Albion
Adam Webster,eng ENG,DF,28.0,12.7,14,1.1,13,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Brighton-Hove-Albion
Adam Lallana,eng ENG,"MF,FW",35.0,9.4,28,2.96,27,0,0,0,1,0,1,0.11,1,0,0,0,0,0,Matches,2023-2024,Brighton-Hove-Albion
James Milner,eng ENG,"DF,MF",37.0,8.6,24,2.79,20,4,0,0,0,0,2,0.23,0,2,0,0,0,0,Matches,2023-2024,Brighton-Hove-Albion
Tariq Lamptey,gh GHA,"DF,FW",22.0,10.2,17,1.68,15,0,1,1,0,0,3,0.3,3,0,0,0,0,0,Matches,2023-2024,Brighton-Hove-Albion
Jack Hinshelwood,eng ENG,DF,18.0,9.7,14,1.45,11,0,0,3,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Brighton-Hove-Albion
