Player,Nation,Pos,Age,90s,SCA-SCA,SCA-SCA90,SCA Types-PassLive,SCA Types-PassDead,SCA Types-TO,SCA Types-Sh,SCA Types-Fld,SCA Types-Def,GCA-GCA,GCA-GCA90,GCA Types-PassLive,GCA Types-PassDead,GCA Types-TO,GCA Types-Sh,GCA Types-Fld,GCA Types-Def,Matches,Season-Unnamed: 22_level_1,Team-Unnamed: 23_level_1
Joachim Andersen,dk DEN,DF,27.0,37.9,47,1.24,41,1,0,3,0,2,5,0.13,5,0,0,0,0,0,Matches,2023-2024,Crystal-Palace
Tyrick Mitchell,eng ENG,"DF,MF",23.0,35.6,47,1.32,40,2,1,2,1,1,4,0.11,4,0,0,0,0,0,Matches,2023-2024,Crystal-Palace
Jordan Ayew,gh GHA,"FW,MF",31.0,28.3,72,2.55,40,5,5,7,12,3,12,0.42,10,0,1,0,1,0,Matches,2023-2024,Crystal-Palace
Jefferson Lerma,co COL,"MF,DF",28.0,26.7,55,2.06,49,0,1,3,1,1,4,0.15,4,0,0,0,0,0,Matches,2023-2024,Crystal-Palace
Jean-Philippe Mateta,fr FRA,FW,26.0,25.4,65,2.56,48,0,5,6,4,2,12,0.47,8,0,1,1,2,0,Matches,2023-2024,Crystal-Palace
Eberechi Eze,eng ENG,"MF,FW",25.0,22.8,110,4.82,54,27,11,7,10,1,11,0.48,8,0,1,0,2,0,Matches,2023-2024,Crystal-Palace
Chris Richards,us USA,"DF,MF",23.0,23.3,16,0.69,11,0,0,2,0,3,3,0.13,3,0,0,0,0,0,Matches,2023-2024,Crystal-Palace
Marc Guéhi,eng ENG,DF,23.0,22.5,22,0.98,17,0,0,2,2,1,2,0.09,2,0,0,0,0,0,Matches,2023-2024,Crystal-Palace
Joel Ward,eng ENG,DF,33.0,22.0,16,0.73,13,2,0,1,0,0,3,0.14,2,1,0,0,0,0,Matches,2023-2024,Crystal-Palace
Will Hughes,eng ENG,MF,28.0,21.0,48,2.29,34,9,1,0,2,2,5,0.24,5,0,0,0,0,0,Matches,2023-2024,Crystal-Palace
Sam Johnstone,eng ENG,GK,30.0,20.0,2,0.1,1,1,0,0,0,0,1,0.05,0,1,0,0,0,0,Matches,2023-2024,Crystal-Palace
Dean Henderson,eng ENG,GK,26.0,18.0,1,0.06,1,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches,2023-2024,Crystal-Palace
Odsonne Édouard,fr FRA,"FW,MF",25.0,17.3,45,2.6,29,0,7,7,1,1,2,0.12,2,0,0,0,0,0,Matches,2023-2024,Crystal-Palace
Jeffrey Schlupp,gh GHA,"FW,MF",30.0,15.0,28,1.86,21,0,2,1,2,2,3,0.2,3,0,0,0,0,0,Matches,2023-2024,Crystal-Palace
Daniel Muñoz,co COL,"DF,MF",27.0,16.0,46,2.88,38,2,1,1,2,2,7,0.44,5,1,1,0,0,0,Matches,2023-2024,Crystal-Palace
Adam Wharton,eng ENG,MF,19.0,14.4,37,2.57,30,7,0,0,0,0,5,0.35,5,0,0,0,0,0,Matches,2023-2024,Crystal-Palace
Nathaniel Clyne,eng ENG,DF,32.0,14.9,8,0.54,6,0,0,1,0,1,1,0.07,0,0,0,1,0,0,Matches,2023-2024,Crystal-Palace
Michael Olise,fr FRA,"FW,MF",21.0,14.2,82,5.79,44,15,11,5,7,0,14,0.99,11,1,2,0,0,0,Matches,2023-2024,Crystal-Palace
Cheick Doucouré,ml MLI,MF,23.0,10.2,23,2.25,19,0,1,2,0,1,3,0.29,3,0,0,0,0,0,Matches,2023-2024,Crystal-Palace
Jaïro Riedewald,nl NED,"MF,FW",26.0,2.6,1,0.38,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Crystal-Palace
Matheus França,br BRA,"MF,FW",19.0,2.6,8,3.1,4,3,0,0,1,0,2,0.78,1,0,0,0,1,0,Matches,2023-2024,Crystal-Palace
Naouirou Ahamada,fr FRA,"MF,FW",21.0,3.9,9,2.3,9,0,0,0,0,0,3,0.77,3,0,0,0,0,0,Matches,2023-2024,Crystal-Palace
David Ozoh,eng ENG,"MF,DF",18.0,1.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Crystal-Palace
Jesurun Rak Sakyi,eng ENG,"MF,FW",20.0,1.5,6,3.97,4,0,2,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Crystal-Palace
James Tomkins,eng ENG,DF,34.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Crystal-Palace
Remi Matthews,eng ENG,GK,29.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Crystal-Palace
Squad Total,,,26.7,38.0,794,20.89,554,74,48,50,45,23,103,2.71,85,4,6,2,6,0,,2023-2024,Crystal-Palace
Opponent Total,,,26.3,38.0,832,21.89,607,86,34,52,42,11,104,2.74,84,7,3,5,4,1,,2023-2024,Crystal-Palace
