Player,Nation,Pos,Age,90s,Att,Pass Types-Live,Pass Types-Dead,Pass Types-FK,Pass Types-TB,Pass Types-Sw,Pass Types-Crs,Pass Types-TI,Pass Types-CK,Corner Kicks-In,Corner Kicks-Out,Corner Kicks-Str,Outcomes-Cmp,Outcomes-Off,Outcomes-Blocks,Matches,Season-Unnamed: 21_level_1,Team-Unnamed: 22_level_1
Jordan Pickford,eng ENG,GK,29.0,38.0,1576,1074,496,223,1,5,0,0,0,0,0,0,986,6,0,Matches,2023-2024,Everton
James Tarkowski,eng ENG,DF,30.0,38.0,1550,1485,52,45,1,22,6,6,0,0,0,0,1195,13,10,Matches,2023-2024,Everton
Jarrad Branthwaite,eng ENG,DF,21.0,34.6,1385,1366,13,6,0,6,1,7,0,0,0,0,1105,6,12,Matches,2023-2024,Everton
James Garner,eng ENG,MF,22.0,33.4,1244,1082,155,36,4,6,112,14,59,55,3,0,958,7,28,Matches,2023-2024,Everton
Dwight McNeil,eng ENG,"MF,FW",23.0,32.1,1266,1098,158,46,14,5,229,26,82,59,14,2,874,10,62,Matches,2023-2024,Everton
Abdoulaye Doucouré,ml MLI,"FW,MF",30.0,29.2,893,876,16,0,1,1,26,0,0,0,0,0,683,1,29,Matches,2023-2024,Everton
Vitaliy Mykolenko,ua UKR,DF,24.0,27.4,1166,938,225,0,2,2,56,225,0,0,0,0,869,3,35,Matches,2023-2024,Everton
Ashley Young,eng ENG,"DF,MF",38.0,25.3,1052,831,212,25,2,1,100,168,19,10,7,1,723,9,29,Matches,2023-2024,Everton
Dominic Calvert-Lewin,eng ENG,FW,26.0,24.1,440,437,1,0,1,0,3,1,0,0,0,0,248,2,15,Matches,2023-2024,Everton
Jack Harrison,eng ENG,"MF,FW",26.0,24.6,631,608,17,2,4,0,81,10,4,4,0,0,409,6,32,Matches,2023-2024,Everton
Idrissa Gana Gueye,sn SEN,MF,33.0,20.9,898,882,13,3,2,6,11,4,0,0,0,0,758,3,14,Matches,2023-2024,Everton
Amadou Onana,be BEL,MF,21.0,23.2,1036,1017,10,6,6,14,3,1,0,0,0,0,871,9,10,Matches,2023-2024,Everton
Ben Godfrey,eng ENG,DF,25.0,12.4,484,363,118,0,0,1,21,118,0,0,0,0,336,3,20,Matches,2023-2024,Everton
Nathan Patterson,sct SCO,DF,21.0,11.2,550,439,110,1,1,1,32,109,0,0,0,0,393,1,13,Matches,2023-2024,Everton
Beto,gw GNB,FW,25.0,10.6,180,179,1,0,1,1,5,1,0,0,0,0,108,0,6,Matches,2023-2024,Everton
Séamus Coleman,ie IRL,DF,34.0,7.4,306,232,70,1,0,1,13,69,0,0,0,0,207,4,11,Matches,2023-2024,Everton
Arnaut Danjuma,nl NED,"MF,FW",26.0,6.6,152,147,5,0,1,1,10,2,1,1,0,0,102,0,8,Matches,2023-2024,Everton
Michael Keane,eng ENG,DF,30.0,4.9,221,217,3,3,0,1,0,0,0,0,0,0,171,1,0,Matches,2023-2024,Everton
André Gomes,pt POR,"MF,FW",30.0,5.6,291,257,32,11,4,3,26,4,10,7,0,0,223,2,7,Matches,2023-2024,Everton
Alex Iwobi,ng NGA,MF,27.0,1.6,42,34,7,0,0,0,10,1,6,4,2,0,27,1,2,Matches,2023-2024,Everton
Lewis Dobbin,eng ENG,MF,20.0,2.6,65,60,3,1,0,0,7,2,0,0,0,0,44,2,3,Matches,2023-2024,Everton
Youssef Chermiti,pt POR,FW,19.0,2.3,58,57,1,0,0,0,0,0,0,0,0,0,35,0,0,Matches,2023-2024,Everton
Neal Maupay,fr FRA,FW,26.0,1.2,26,23,3,0,0,1,0,0,0,0,0,0,22,0,1,Matches,2023-2024,Everton
Thomas Cannon,ie IRL,FW,20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2023-2024,Everton
Tyler Onyango,eng ENG,MF,20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2023-2024,Everton
Lewis Warrington,eng ENG,FW,20.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches,2023-2024,Everton
Squad Total,,,27.1,38.0,15514,13704,1721,409,45,78,752,768,181,140,26,3,11349,89,347,,2023-2024,Everton
Opponent Total,,,26.3,38.0,22807,20775,1970,524,53,140,716,815,241,98,70,4,18660,62,355,,2023-2024,Everton
