Player,Nation,Pos,Age,90s,Performance-CrdY,Performance-CrdR,Performance-2CrdY,Performance-Fls,Performance-Fld,Performance-Off,Performance-Crs,Performance-Int,Performance-TklW,Performance-PKwon,Performance-PKcon,Performance-OG,Performance-Recov,Aerial Duels-Won,Aerial Duels-Lost,Aerial Duels-Won%,Matches,Season-Unnamed: 22_level_1,Team-Unnamed: 23_level_1
Virgil van Dijk,nl NED,DF,32.0,35.3,3,1,0,23,13,1,0,39,23,0,0,0,170,140,32,81.4,Matches,2023-2024,Liverpool
Luis Díaz,co COL,FW,26.0,29.2,3,0,0,54,42,20,26,3,25,1,0,0,127,26,48,35.1,Matches,2023-2024,Liverpool
Alexis Mac Allister,ar ARG,MF,24.0,28.9,7,1,0,53,47,0,32,35,55,0,0,0,195,31,28,52.5,Matches,2023-2024,Liverpool
Mohamed Salah,eg EGY,FW,31.0,28.2,2,0,0,12,26,17,41,2,11,1,0,0,84,6,14,30.0,Matches,2023-2024,Liverpool
Alisson,br BRA,GK,30.0,28.0,1,0,0,1,5,0,0,0,0,0,0,0,36,6,2,75.0,Matches,2023-2024,Liverpool
Trent Alexander-Arnold,eng ENG,DF,24.0,23.9,6,0,0,9,9,2,168,31,26,0,0,0,176,8,6,57.1,Matches,2023-2024,Liverpool
Dominik Szoboszlai,hu HUN,MF,22.0,23.4,1,0,0,29,29,3,113,15,19,2,0,0,171,12,20,37.5,Matches,2023-2024,Liverpool
Darwin Núñez,uy URU,FW,24.0,22.7,9,0,0,28,15,33,19,3,12,1,0,0,56,34,55,38.2,Matches,2023-2024,Liverpool
Wataru Endo,jp JPN,MF,30.0,19.1,10,0,0,50,25,0,4,20,28,0,0,0,108,31,27,53.4,Matches,2023-2024,Liverpool
Andrew Robertson,sct SCO,DF,29.0,18.8,2,0,0,9,5,3,184,13,24,0,0,0,104,14,12,53.8,Matches,2023-2024,Liverpool
Joe Gomez,eng ENG,DF,26.0,19.8,5,0,0,28,16,0,39,19,31,0,0,0,111,31,10,75.6,Matches,2023-2024,Liverpool
Cody Gakpo,nl NED,"FW,MF",24.0,18.3,1,0,0,28,38,8,21,14,17,0,0,0,81,32,27,54.2,Matches,2023-2024,Liverpool
Ibrahima Konaté,fr FRA,DF,24.0,17.5,5,1,1,25,13,0,1,20,22,0,0,0,97,77,31,71.3,Matches,2023-2024,Liverpool
Curtis Jones,eng ENG,MF,22.0,13.0,3,1,0,16,14,5,4,7,14,0,0,0,72,7,12,36.8,Matches,2023-2024,Liverpool
Diogo Jota,pt POR,FW,26.0,12.7,3,1,1,27,21,3,9,7,13,2,0,0,48,17,38,30.9,Matches,2023-2024,Liverpool
Jarell Quansah,eng ENG,DF,20.0,13.2,1,0,0,10,2,0,0,17,22,0,1,0,72,45,22,67.2,Matches,2023-2024,Liverpool
Ryan Gravenberch,nl NED,MF,21.0,12.5,0,0,0,20,15,0,4,14,12,0,0,0,74,10,14,41.7,Matches,2023-2024,Liverpool
Harvey Elliott,eng ENG,"MF,FW",20.0,15.0,2,0,0,7,13,1,62,6,17,1,0,0,78,9,13,40.9,Matches,2023-2024,Liverpool
Caoimhín Kelleher,ie IRL,GK,24.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,100.0,Matches,2023-2024,Liverpool
Conor Bradley,nir NIR,DF,20.0,8.4,2,0,0,8,12,2,18,10,25,0,0,1,50,11,5,68.8,Matches,2023-2024,Liverpool
Joël Matip,cm CMR,DF,31.0,8.7,2,0,0,7,3,1,0,9,6,0,0,1,58,28,10,73.7,Matches,2023-2024,Liverpool
Kostas Tsimikas,gr GRE,DF,27.0,7.5,0,0,0,11,7,1,72,6,13,0,0,0,43,3,13,18.8,Matches,2023-2024,Liverpool
Bobby Clark,eng ENG,MF,18.0,1.0,0,0,0,4,3,0,0,1,1,0,0,0,6,0,0,,Matches,2023-2024,Liverpool
Stefan Bajcetic,es ESP,MF,18.0,0.3,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,,Matches,2023-2024,Liverpool
Ben Doak,sct SCO,FW,17.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,2023-2024,Liverpool
Jayden Danns,eng ENG,FW,17.0,0.1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0.0,Matches,2023-2024,Liverpool
Owen Beck,wls WAL,DF,20.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches,2023-2024,Liverpool
Thiago Alcántara,es ESP,MF,32.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,2023-2024,Liverpool
James McConnell,eng ENG,MF,18.0,0.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,,Matches,2023-2024,Liverpool
Kaide Gordon,eng ENG,FW,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches,2023-2024,Liverpool
Squad Total,,,26.3,38.0,69,5,2,463,376,100,817,292,418,8,1,2,2034,583,441,56.9,,2023-2024,Liverpool
Opponent Total,,,26.2,38.0,98,4,3,391,453,75,477,378,438,1,9,6,1842,441,583,43.1,,2023-2024,Liverpool
