Player,Nation,Pos,Age,90s,SCA-SCA,SCA-SCA90,SCA Types-PassLive,SCA Types-PassDead,SCA Types-TO,SCA Types-Sh,SCA Types-Fld,SCA Types-Def,GCA-GCA,GCA-GCA90,GCA Types-PassLive,GCA Types-PassDead,GCA Types-TO,GCA Types-Sh,GCA Types-Fld,GCA Types-Def,Matches,Season-Unnamed: 22_level_1,Team-Unnamed: 23_level_1
Rodri,es ESP,MF,27.0,32.6,157,4.82,130,2,8,5,6,6,23,0.71,17,0,3,1,1,1,Matches,2023-2024,Manchester-City
Phil Foden,eng ENG,"FW,MF",23.0,31.7,144,4.54,111,9,9,6,8,1,21,0.66,16,1,1,0,3,0,Matches,2023-2024,Manchester-City
Ederson,br BRA,GK,29.0,30.9,7,0.23,5,2,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches,2023-2024,Manchester-City
Julián Álvarez,ar ARG,"MF,FW",23.0,29.4,118,4.01,74,28,4,10,2,0,15,0.51,12,1,0,0,2,0,Matches,2023-2024,Manchester-City
Kyle Walker,eng ENG,DF,33.0,30.7,62,2.02,57,1,1,1,2,0,11,0.36,9,0,1,1,0,0,Matches,2023-2024,Manchester-City
Bernardo Silva,pt POR,"MF,FW",28.0,28.6,130,4.54,117,3,6,1,3,0,13,0.45,11,0,2,0,0,0,Matches,2023-2024,Manchester-City
Erling Haaland,no NOR,FW,23.0,28.4,59,2.08,39,0,3,10,6,1,11,0.39,5,0,1,3,2,0,Matches,2023-2024,Manchester-City
Rúben Dias,pt POR,DF,26.0,28.4,35,1.23,28,0,0,5,0,2,4,0.14,2,0,0,1,0,1,Matches,2023-2024,Manchester-City
Manuel Akanji,ch SUI,"DF,MF",28.0,27.9,55,1.97,45,1,0,3,2,4,4,0.14,4,0,0,0,0,0,Matches,2023-2024,Manchester-City
Joško Gvardiol,hr CRO,DF,21.0,25.9,54,2.09,40,1,5,2,4,2,7,0.27,6,0,0,0,1,0,Matches,2023-2024,Manchester-City
Nathan Aké,nl NED,DF,28.0,22.7,36,1.59,28,0,2,4,1,1,6,0.26,3,0,1,2,0,0,Matches,2023-2024,Manchester-City
Jeremy Doku,be BEL,"FW,MF",21.0,17.7,111,6.26,82,1,17,6,5,0,15,0.85,10,0,2,1,2,0,Matches,2023-2024,Manchester-City
Mateo Kovačić,hr CRO,MF,29.0,17.2,54,3.14,47,0,2,4,1,0,6,0.35,5,0,0,1,0,0,Matches,2023-2024,Manchester-City
Kevin De Bruyne,be BEL,MF,32.0,13.6,100,7.36,73,17,2,5,3,0,16,1.18,12,3,0,0,1,0,Matches,2023-2024,Manchester-City
John Stones,eng ENG,"DF,MF",29.0,11.8,23,1.95,21,0,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Manchester-City
Jack Grealish,eng ENG,"FW,MF",27.0,11.2,54,4.82,46,0,1,2,5,0,4,0.36,4,0,0,0,0,0,Matches,2023-2024,Manchester-City
Rico Lewis,eng ENG,"DF,MF",18.0,9.0,15,1.67,15,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Manchester-City
Matheus Nunes,pt POR,MF,24.0,7.3,20,2.72,16,0,0,1,3,0,3,0.41,3,0,0,0,0,0,Matches,2023-2024,Manchester-City
Stefan Ortega,de GER,GK,30.0,7.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Manchester-City
Oscar Bobb,no NOR,"FW,MF",20.0,3.4,22,6.56,16,0,4,1,1,0,6,1.79,3,0,2,0,1,0,Matches,2023-2024,Manchester-City
Kalvin Phillips,eng ENG,MF,27.0,1.0,1,0.98,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Manchester-City
Sergio Gómez,es ESP,"FW,MF",22.0,0.6,2,3.33,1,0,1,0,0,0,2,3.33,1,0,1,0,0,0,Matches,2023-2024,Manchester-City
Aymeric Laporte,es ESP,DF,29.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Manchester-City
Cole Palmer,eng ENG,MF,21.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Manchester-City
James Mcatee,eng ENG,MF,20.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Manchester-City
Squad Total,,,26.6,38.0,1259,33.13,991,65,65,67,54,17,169,4.45,125,5,14,10,13,2,,2023-2024,Manchester-City
Opponent Total,,,26.4,38.0,495,13.03,363,44,36,27,14,11,56,1.47,41,3,5,4,3,0,,2023-2024,Manchester-City
