Player,Nation,Pos,Age,Playing Time-MP,Playing Time-Starts,Playing Time-Min,Playing Time-90s,Performance-Gls,Performance-Ast,Performance-G+A,Performance-G-PK,Performance-PK,Performance-PKatt,Performance-CrdY,Performance-CrdR,Expected-xG,Expected-npxG,Expected-xAG,Expected-npxG+xAG,Progression-PrgC,Progression-PrgP,Progression-PrgR,Per 90 Minutes-Gls,Per 90 Minutes-Ast,Per 90 Minutes-G+A,Per 90 Minutes-G-PK,Per 90 Minutes-G+A-PK,Per 90 Minutes-xG,Per 90 Minutes-xAG,Per 90 Minutes-xG+xAG,Per 90 Minutes-npxG,Per 90 Minutes-npxG+xAG,Matches,Season-Unnamed: 34_level_1,Team-Unnamed: 35_level_1
Ethan Ampadu,wls WAL,"MF,DF",22.0,46,46,4138.0,46.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,2.3,2.3,2.7,5.0,55.0,237.0,18.0,0.0,0.02,0.02,0.0,0.02,0.05,0.06,0.11,0.05,0.11,Matches,2023-2024,Nott'ham-Forest
Illan Meslier,fr FRA,GK,23.0,44,44,3922.0,43.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Nott'ham-Forest
Georginio Rutter,fr FRA,"FW,MF",21.0,45,44,3736.0,41.5,6.0,16.0,22.0,6.0,0.0,0.0,6.0,0.0,12.3,12.3,12.2,24.5,120.0,185.0,270.0,0.14,0.39,0.53,0.14,0.53,0.3,0.29,0.59,0.3,0.59,Matches,2023-2024,Nott'ham-Forest
Joe Rodon,wls WAL,DF,25.0,43,42,3722.0,41.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.8,1.8,0.3,2.0,23.0,180.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,2023-2024,Nott'ham-Forest
Crysencio Summerville,nl NED,FW,21.0,43,41,3498.0,38.9,19.0,9.0,28.0,15.0,4.0,5.0,7.0,0.0,16.4,12.5,11.7,24.1,196.0,171.0,367.0,0.49,0.23,0.72,0.39,0.62,0.42,0.3,0.72,0.32,0.62,Matches,2023-2024,Nott'ham-Forest
Archie Gray,eng ENG,"DF,MF",17.0,44,40,3599.0,40.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,1.2,1.7,72.0,166.0,97.0,0.0,0.05,0.05,0.0,0.05,0.01,0.03,0.04,0.01,0.04,Matches,2023-2024,Nott'ham-Forest
Glen Kamara,fi FIN,MF,27.0,37,33,2698.0,30.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,3.0,3.4,47.0,206.0,71.0,0.0,0.1,0.1,0.0,0.1,0.02,0.1,0.11,0.02,0.11,Matches,2023-2024,Nott'ham-Forest
Joël Piroe,nl NED,"MF,FW",23.0,42,28,2520.0,28.0,13.0,3.0,16.0,11.0,2.0,2.0,2.0,0.0,11.7,10.1,2.7,12.8,44.0,111.0,122.0,0.46,0.11,0.57,0.39,0.5,0.42,0.1,0.51,0.36,0.46,Matches,2023-2024,Nott'ham-Forest
Daniel James,wls WAL,FW,25.0,40,28,2488.0,27.6,13.0,7.0,20.0,13.0,0.0,0.0,4.0,0.0,10.0,10.0,7.6,17.6,120.0,104.0,321.0,0.47,0.25,0.72,0.47,0.72,0.36,0.28,0.64,0.36,0.64,Matches,2023-2024,Nott'ham-Forest
Sam Byram,eng ENG,DF,29.0,33,24,1933.0,21.5,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.7,1.7,1.5,3.1,49.0,123.0,113.0,0.09,0.05,0.14,0.09,0.14,0.08,0.07,0.14,0.08,0.14,Matches,2023-2024,Nott'ham-Forest
