Player,Nation,Pos,Age,Playing Time-MP,Playing Time-Min,Playing Time-Mn/MP,Playing Time-Min%,Playing Time-90s,Starts-Starts,Starts-Mn/Start,Starts-Compl,Subs-Subs,Subs-Mn/Sub,Subs-unSub,Team Success-PPM,Team Success-onG,Team Success-onGA,Team Success-+/-,Team Success-+/-90,Team Success-On-Off,Team Success (xG)-onxG,Team Success (xG)-onxGA,Team Success (xG)-xG+/-,Team Success (xG)-xG+/-90,Team Success (xG)-On-Off,Matches,Season-Unnamed: 27_level_1,Team-Unnamed: 28_level_1
Ethan Ampadu,wls WAL,"MF,DF",22.0,46,4138.0,90.0,100.0,46.0,46,90.0,44,0,,0,1.92,81.0,43.0,38.0,0.83,0.83,79.4,38.0,41.3,0.9,-3.38,Matches,2023-2024,Nott'ham-Forest
Illan Meslier,fr FRA,GK,23.0,44,3922.0,89.0,94.7,43.6,44,89.0,43,0,,0,1.94,77.0,40.0,37.0,0.85,0.44,74.8,36.0,38.8,0.89,-0.21,Matches,2023-2024,Nott'ham-Forest
Georginio Rutter,fr FRA,"FW,MF",21.0,45,3736.0,83.0,90.2,41.5,44,84.0,20,1,24.0,0,1.94,78.0,37.0,41.0,0.99,1.66,72.3,34.0,38.3,0.92,0.23,Matches,2023-2024,Nott'ham-Forest
Joe Rodon,wls WAL,DF,25.0,43,3722.0,87.0,89.9,41.4,42,89.0,40,1,1.0,1,1.96,75.0,36.0,39.0,0.94,1.16,73.7,31.6,42.1,1.02,1.17,Matches,2023-2024,Nott'ham-Forest
Crysencio Summerville,nl NED,FW,21.0,43,3498.0,81.0,84.5,38.9,41,83.0,12,2,46.0,1,1.96,69.0,33.0,36.0,0.93,0.65,67.0,29.5,37.5,0.96,0.41,Matches,2023-2024,Nott'ham-Forest
Archie Gray,eng ENG,"DF,MF",17.0,44,3599.0,82.0,86.9,40.0,40,89.0,32,4,15.0,2,1.94,70.0,36.0,34.0,0.85,0.18,69.6,32.1,37.5,0.94,0.28,Matches,2023-2024,Nott'ham-Forest
Glen Kamara,fi FIN,MF,27.0,37,2698.0,73.0,65.2,30.0,33,81.0,11,4,6.0,5,2.13,57.0,25.0,32.0,1.07,0.69,50.4,23.6,26.8,0.89,-0.02,Matches,2023-2024,Nott'ham-Forest
Joël Piroe,nl NED,"MF,FW",23.0,42,2520.0,60.0,60.9,28.0,28,83.0,10,14,13.0,1,1.98,50.0,26.0,24.0,0.86,0.08,47.6,22.2,25.4,0.91,0.02,Matches,2023-2024,Nott'ham-Forest
Daniel James,wls WAL,FW,25.0,40,2488.0,62.0,60.1,27.6,28,80.0,8,12,21.0,0,1.95,53.0,27.0,26.0,0.94,0.29,52.8,20.5,32.3,1.17,0.67,Matches,2023-2024,Nott'ham-Forest
Sam Byram,eng ENG,DF,29.0,33,1933.0,59.0,46.7,21.5,24,75.0,10,9,14.0,6,2.09,42.0,25.0,17.0,0.79,-0.06,39.2,18.0,21.2,0.99,0.16,Matches,2023-2024,Nott'ham-Forest
