Player,Nation,Pos,Age,90s,Performance-CrdY,Performance-CrdR,Performance-2CrdY,Performance-Fls,Performance-Fld,Performance-Off,Performance-Crs,Performance-Int,Performance-TklW,Performance-PKwon,Performance-PKcon,Performance-OG,Performance-Recov,Aerial Duels-Won,Aerial Duels-Lost,Aerial Duels-Won%,Matches,Season-Unnamed: 22_level_1,Team-Unnamed: 23_level_1
Ethan Ampadu,wls WAL,"MF,DF",22.0,46.0,9,0,0,45,39,1,6,64,42,0,0,0,319,63,37,63.0,Matches,2023-2024,Nott'ham-Forest
Illan Meslier,fr FRA,GK,23.0,43.6,3,1,0,0,6,0,0,0,1,0,0,0,39,13,1,92.9,Matches,2023-2024,Nott'ham-Forest
Georginio Rutter,fr FRA,"FW,MF",21.0,41.5,6,0,0,68,113,28,25,20,43,3,0,0,158,46,60,43.4,Matches,2023-2024,Nott'ham-Forest
Joe Rodon,wls WAL,DF,25.0,41.4,7,1,1,18,23,2,0,50,34,0,0,1,182,124,61,67.0,Matches,2023-2024,Nott'ham-Forest
Crysencio Summerville,nl NED,FW,21.0,38.9,7,0,0,49,77,10,187,22,39,3,0,0,147,12,19,38.7,Matches,2023-2024,Nott'ham-Forest
Archie Gray,eng ENG,"DF,MF",17.0,40.0,2,0,0,21,31,3,44,30,59,0,0,0,196,20,27,42.6,Matches,2023-2024,Nott'ham-Forest
Glen Kamara,fi FIN,MF,27.0,30.0,3,0,0,18,38,1,2,33,20,0,0,0,153,21,19,52.5,Matches,2023-2024,Nott'ham-Forest
Joël Piroe,nl NED,"MF,FW",23.0,28.0,2,0,0,18,12,12,3,6,19,0,0,0,109,16,40,28.6,Matches,2023-2024,Nott'ham-Forest
Daniel James,wls WAL,FW,25.0,27.6,4,0,0,14,42,8,214,8,16,1,1,0,98,18,25,41.9,Matches,2023-2024,Nott'ham-Forest
Sam Byram,eng ENG,DF,29.0,21.5,3,0,0,30,18,6,30,34,44,0,0,0,116,55,44,55.6,Matches,2023-2024,Nott'ham-Forest
Pascal Struijk,nl NED,DF,23.0,22.1,1,0,0,14,9,0,4,19,22,0,0,1,141,46,29,61.3,Matches,2023-2024,Nott'ham-Forest
Ilia Gruev,bg BUL,MF,23.0,19.7,7,0,0,28,14,0,39,27,24,0,0,0,91,20,11,64.5,Matches,2023-2024,Nott'ham-Forest
Junior Firpo,do DOM,DF,26.0,19.8,6,0,0,24,22,3,47,25,41,0,0,0,79,44,38,53.7,Matches,2023-2024,Nott'ham-Forest
Wilfried Gnonto,it ITA,"FW,MF",19.0,18.4,4,0,0,37,54,5,56,4,23,0,0,0,74,7,8,46.7,Matches,2023-2024,Nott'ham-Forest
Patrick Bamford,eng ENG,"FW,MF",29.0,16.6,2,0,0,17,16,11,1,2,10,1,0,0,44,24,38,38.7,Matches,2023-2024,Nott'ham-Forest
Luke Ayling,eng ENG,DF,31.0,8.3,2,0,0,8,6,4,16,10,21,0,0,0,50,17,10,63.0,Matches,2023-2024,Nott'ham-Forest
Liam Cooper,sct SCO,DF,31.0,7.8,0,0,0,5,5,0,0,14,8,0,0,0,45,30,22,57.7,Matches,2023-2024,Nott'ham-Forest
Jamie Shackleton,eng ENG,"DF,FW",23.0,7.5,2,0,0,5,1,2,3,4,11,0,0,0,33,3,8,27.3,Matches,2023-2024,Nott'ham-Forest
Djed Spence,eng ENG,DF,22.0,4.3,0,0,0,3,5,0,10,8,11,0,0,0,31,3,2,60.0,Matches,2023-2024,Nott'ham-Forest
Jaidon Anthony,eng ENG,"FW,MF",23.0,5.6,0,0,0,12,11,1,43,2,5,0,0,0,31,3,4,42.9,Matches,2023-2024,Nott'ham-Forest
Connor Roberts,wls WAL,"DF,FW",27.0,3.5,1,0,0,2,2,0,17,1,3,0,0,0,15,1,3,25.0,Matches,2023-2024,Nott'ham-Forest
Joe Gelhardt,eng ENG,"MF,FW",21.0,2.2,1,0,0,4,4,0,0,1,1,0,0,0,8,1,2,33.3,Matches,2023-2024,Nott'ham-Forest
Luis Sinisterra,co COL,MF,24.0,1.9,0,0,0,3,1,0,1,0,1,0,0,0,10,3,2,60.0,Matches,2023-2024,Nott'ham-Forest
Ian Poveda,eng ENG,"MF,FW",23.0,1.7,0,0,0,3,4,0,6,1,2,0,0,0,12,0,1,0.0,Matches,2023-2024,Nott'ham-Forest
Charlie Cresswell,eng ENG,DF,20.0,1.5,0,0,0,3,2,0,0,3,3,0,0,0,10,11,2,84.6,Matches,2023-2024,Nott'ham-Forest
Karl Darlow,wls WAL,GK,32.0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,2023-2024,Nott'ham-Forest
Kristoffer Klaesson,no NOR,GK,22.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,2023-2024,Nott'ham-Forest
Leo Fuhr Hjelde,no NOR,DF,19.0,0.5,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0.0,Matches,2023-2024,Nott'ham-Forest
Mateo Joseph,es ESP,"FW,MF",19.0,2.6,1,0,0,9,3,0,0,1,1,0,0,0,12,6,14,30.0,Matches,2023-2024,Nott'ham-Forest
Cody Drameh,eng ENG,DF,21.0,0.2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,,Matches,2023-2024,Nott'ham-Forest
Sam Greenwood,eng ENG,MF,21.0,0.1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0.0,Matches,2023-2024,Nott'ham-Forest
Darko Gyabi,eng ENG,MF,19.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,Matches,2023-2024,Nott'ham-Forest
Sonny Perkins,eng ENG,FW,19.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,2023-2024,Nott'ham-Forest
Squad Total,,,24.0,46.0,73,2,1,461,560,98,756,390,504,8,1,2,2206,607,531,53.3,,2023-2024,Nott'ham-Forest
Opponent Total,,,26.1,46.0,120,4,3,567,453,67,684,436,553,1,9,3,2021,531,607,46.7,,2023-2024,Nott'ham-Forest
