Date-2023-08-06,Time-14:30,Comp-Championship,Round-Matchweek 1,Day-Sun,Venue-Home,Result-D,GF-2,GA-2,Opponent-Cardiff City,xG-1.7,xGA-1.2,Poss-71,Attendance-36368,Captain-Liam Cooper,Formation-4-2-3-1,Opp Formation-3-4-3,Referee-Joshua Smith,Match Report-Match Report,Notes-Unnamed: 19_level_1,Season-2023-2024,Team-Nott'ham-Forest
2023-08-09,19:45,EFL Cup,First round,Wed,Home,W,2,1,Shrewsbury,,,76,35129,Luke Ayling,4-2-3-1,3-4-3,Seb Stockbridge,Match Report,,2023-2024,Nott'ham-Forest
2023-08-12,15:00,Championship,Matchweek 2,Sat,Away,L,0,1,Birmingham City,0.4,1.6,59,20451,Luke Ayling,4-2-3-1,4-2-3-1,Tim Robinson,Match Report,,2023-2024,Nott'ham-Forest
2023-08-18,20:00,Championship,Matchweek 3,Fri,Home,D,1,1,West Brom,1.8,0.3,58,33890,Luke Ayling,4-2-3-1,3-4-3,Matt Donohue,Match Report,,2023-2024,Nott'ham-Forest
2023-08-26,15:00,Championship,Matchweek 4,Sat,Away,W,4,3,Ipswich Town,1.6,2.4,42,29606,Luke Ayling,4-4-2,4-2-3-1,Robert Madley,Match Report,,2023-2024,Nott'ham-Forest
2023-08-29,20:00,EFL Cup,Second round,Tue,Away,D,1 (8),1 (9),Salford City,,,71,3147,Pascal Struijk,4-2-3-1,3-4-1-2,Oliver Langford,Match Report,Salford City won on penalty kicks following extra time,2023-2024,Nott'ham-Forest
2023-09-02,15:00,Championship,Matchweek 5,Sat,Home,D,0,0,Sheffield Weds,1.2,0.9,66,36484,Luke Ayling,4-2-3-1,5-4-1,Dean Whitestone,Match Report,,2023-2024,Nott'ham-Forest
2023-09-17,12:00,Championship,Matchweek 6,Sun,Away,W,3,0,Millwall,2.3,0.4,52,17909,Luke Ayling,4-2-3-1,3-1-4-2,Chris Kavanagh,Match Report,,2023-2024,Nott'ham-Forest
2023-09-20,19:45,Championship,Matchweek 7,Wed,Away,D,0,0,Hull City,1.5,1.3,43,24221,Luke Ayling,4-4-2,4-4-2,Stephen Martin,Match Report,,2023-2024,Nott'ham-Forest
2023-09-23,15:00,Championship,Matchweek 8,Sat,Home,W,3,0,Watford,2.6,0.2,59,36236,Liam Cooper,4-2-3-1,4-3-3,Jeremy Simpson,Match Report,,2023-2024,Nott'ham-Forest
2023-09-30,12:30,Championship,Matchweek 9,Sat,Away,L,1,3,Southampton,0.9,1.5,53,30372,Liam Cooper,4-2-3-1,4-3-3,John Brooks,Match Report,,2023-2024,Nott'ham-Forest
2023-10-04,19:45,Championship,Matchweek 10,Wed,Home,W,1,0,QPR,2.0,0.3,65,32663,Luke Ayling,4-2-3-1,3-4-3,David Webb,Match Report,,2023-2024,Nott'ham-Forest
2023-10-07,15:00,Championship,Matchweek 11,Sat,Home,W,2,1,Bristol City,2.5,0.5,51,36386,Pascal Struijk,4-2-3-1,4-3-3,Keith Stroud,Match Report,,2023-2024,Nott'ham-Forest
2023-10-21,15:00,Championship,Matchweek 12,Sat,Away,W,3,2,Norwich City,1.5,0.9,54,26758,Pascal Struijk,4-2-3-1,4-4-2,John Busby,Match Report,,2023-2024,Nott'ham-Forest
2023-10-25,20:00,Championship,Matchweek 13,Wed,Away,L,0,1,Stoke City,1.8,0.8,51,25871,Pascal Struijk,4-4-2,4-2-3-1,Paul Tierney,Match Report,,2023-2024,Nott'ham-Forest
2023-10-28,12:30,Championship,Matchweek 14,Sat,Home,W,4,1,Huddersfield,1.7,0.9,74,36813,Pascal Struijk,4-2-3-1,4-1-4-1,James Bell,Match Report,,2023-2024,Nott'ham-Forest
2023-11-03,20:00,Championship,Matchweek 15,Fri,Away,W,1,0,Leicester City,1.4,0.6,35,32011,Pascal Struijk,4-2-3-1,4-3-3,Dean Whitestone,Match Report,,2023-2024,Nott'ham-Forest
2023-11-11,15:00,Championship,Matchweek 16,Sat,Home,W,2,1,Plymouth Argyle,1.7,1.4,60,36718,Liam Cooper,4-2-3-1,3-4-3,Joshua Smith,Match Report,,2023-2024,Nott'ham-Forest
2023-11-24,20:00,Championship,Matchweek 17,Fri,Away,D,1,1,Rotherham Utd,1.6,0.7,74,11471,Liam Cooper,4-2-3-1,4-4-1-1,Oliver Langford,Match Report,,2023-2024,Nott'ham-Forest
2023-11-29,19:45,Championship,Matchweek 18,Wed,Home,W,3,1,Swansea City,2.4,0.3,51,34905,Pascal Struijk,4-2-3-1,4-2-3-1,Samuel Allison,Match Report,,2023-2024,Nott'ham-Forest
2023-12-02,15:00,Championship,Matchweek 19,Sat,Home,W,3,2,Middlesbrough,3.0,1.5,61,36812,Pascal Struijk,4-2-3-1,4-2-3-1,Darren England,Match Report,,2023-2024,Nott'ham-Forest
2023-12-09,12:30,Championship,Matchweek 20,Sat,Away,W,2,0,Blackburn,1.0,0.7,46,20963,Pascal Struijk,4-2-3-1,4-2-3-1,Robert Madley,Match Report,,2023-2024,Nott'ham-Forest
2023-12-12,20:00,Championship,Matchweek 21,Tue,Away,L,0,1,Sunderland,0.6,1.2,61,40531,Pascal Struijk,4-2-3-1,3-4-3,Dean Whitestone,Match Report,,2023-2024,Nott'ham-Forest
2023-12-16,15:00,Championship,Matchweek 22,Sat,Home,D,1,1,Coventry City,1.6,0.5,65,36700,Pascal Struijk,4-2-3-1,4-1-4-1,Geoff Eltringham,Match Report,,2023-2024,Nott'ham-Forest
2023-12-23,12:30,Championship,Matchweek 23,Sat,Home,W,4,0,Ipswich Town,1.9,0.1,54,36758,Pascal Struijk,4-2-3-1,4-2-3-1,Stephen Martin,Match Report,,2023-2024,Nott'ham-Forest
2023-12-26,12:30,Championship,Matchweek 24,Tue,Away,L,1,2,Preston,1.3,0.4,56,21816,Pascal Struijk,4-2-3-1,3-4-3,Joshua Smith,Match Report,,2023-2024,Nott'ham-Forest
2023-12-29,20:15,Championship,Matchweek 25,Fri,Away,L,0,1,West Brom,1.0,1.3,62,25409,Liam Cooper,4-2-3-1,4-2-3-1,Graham Scott,Match Report,,2023-2024,Nott'ham-Forest
2024-01-01,15:00,Championship,Matchweek 26,Mon,Home,W,3,0,Birmingham City,2.8,0.5,63,36086,Liam Cooper,4-2-3-1,3-4-1-2,Keith Stroud,Match Report,,2023-2024,Nott'ham-Forest
2024-01-07,14:00,FA Cup,Third round proper,Sun,Away,W,3,0,P'borough Utd,,,51,12927,Ethan Ampadu,4-2-3-1,4-2-3-1,Samuel Allison,Match Report,,2023-2024,Nott'ham-Forest
2024-01-13,15:00,Championship,Matchweek 27,Sat,Away,W,3,0,Cardiff City,3.5,0.4,61,25991,Ethan Ampadu,4-2-3-1,4-3-3,Oliver Langford,Match Report,,2023-2024,Nott'ham-Forest
2024-01-21,12:00,Championship,Matchweek 28,Sun,Home,W,2,1,Preston,2.6,1.0,58,36570,Ethan Ampadu,4-2-3-1,3-5-2,David Webb,Match Report,,2023-2024,Nott'ham-Forest
2024-01-24,19:45,Championship,Matchweek 29,Wed,Home,W,1,0,Norwich City,1.5,0.5,52,34380,Ethan Ampadu,4-2-3-1,4-2-3-1,Matt Donohue,Match Report,,2023-2024,Nott'ham-Forest
2024-01-27,15:00,FA Cup,Fourth round proper,Sat,Home,D,1,1,Plymouth Argyle,,,66,35247,Liam Cooper,4-2-3-1,5-4-1,Lewis Smith,Match Report,,2023-2024,Nott'ham-Forest
2024-02-02,20:00,Championship,Matchweek 30,Fri,Away,W,1,0,Bristol City,1.1,0.4,61,25429,Ethan Ampadu,4-2-3-1,3-4-3,Stephen Martin,Match Report,,2023-2024,Nott'ham-Forest
2024-02-06,19:45,FA Cup,Fourth round proper,Tue,Away,W,4,1,Plymouth Argyle,,,73,16636,Liam Cooper,4-2-3-1,3-4-3,Robert Jones,Match Report,Required Extra Time,2023-2024,Nott'ham-Forest
2024-02-10,15:00,Championship,Matchweek 31,Sat,Home,W,3,0,Rotherham Utd,2.8,0.3,59,35261,Ethan Ampadu,4-2-3-1,5-4-1,Andy Madley,Match Report,,2023-2024,Nott'ham-Forest
2024-02-13,19:45,Championship,Matchweek 32,Tue,Away,W,4,0,Swansea City,1.9,0.5,58,17897,Ethan Ampadu,4-2-3-1,4-2-3-1,David Webb,Match Report,,2023-2024,Nott'ham-Forest
2024-02-17,12:30,Championship,Matchweek 33,Sat,Away,W,2,0,Plymouth Argyle,0.9,0.9,58,16818,Ethan Ampadu,4-2-3-1,3-4-3,Matt Donohue,Match Report,,2023-2024,Nott'ham-Forest
2024-02-23,20:00,Championship,Matchweek 34,Fri,Home,W,3,1,Leicester City,1.3,1.6,60,36954,Ethan Ampadu,4-2-3-1,4-2-3-1,Craig Pawson,Match Report,,2023-2024,Nott'ham-Forest
2024-02-28,19:30,FA Cup,Fifth round proper,Wed,Away,L,2,3,Chelsea,,,49,37892,Liam Cooper,4-2-3-1,4-2-3-1,David Coote,Match Report,,2023-2024,Nott'ham-Forest
2024-03-02,12:30,Championship,Matchweek 35,Sat,Away,D,1,1,Huddersfield,1.9,1.2,78,22351,Ethan Ampadu,4-2-3-1,4-4-2,Andrew Kitchen,Match Report,,2023-2024,Nott'ham-Forest
2024-03-05,19:45,Championship,Matchweek 36,Tue,Home,W,1,0,Stoke City,2.3,0.9,58,36118,Ethan Ampadu,4-2-3-1,4-3-3,Oliver Langford,Match Report,,2023-2024,Nott'ham-Forest
2024-03-08,20:00,Championship,Matchweek 37,Fri,Away,W,2,0,Sheffield Weds,2.0,0.8,59,30032,Ethan Ampadu,4-2-3-1,5-4-1,Samuel Allison,Match Report,,2023-2024,Nott'ham-Forest
2024-03-17,15:00,Championship,Matchweek 38,Sun,Home,W,2,0,Millwall,1.5,0.6,61,34813,Ethan Ampadu,4-2-3-1,4-4-2,Stephen Martin,Match Report,,2023-2024,Nott'ham-Forest
2024-03-29,20:00,Championship,Matchweek 39,Fri,Away,D,2,2,Watford,1.0,0.7,63,20236,Liam Cooper,4-2-3-1,3-4-1-2,David Webb,Match Report,,2023-2024,Nott'ham-Forest
2024-04-01,20:00,Championship,Matchweek 40,Mon,Home,W,3,1,Hull City,2.9,0.6,44,36747,Ethan Ampadu,4-2-3-1,4-4-2,Joshua Smith,Match Report,,2023-2024,Nott'ham-Forest
2024-04-06,15:00,Championship,Matchweek 41,Sat,Away,L,1,2,Coventry City,2.0,1.6,68,30232,Ethan Ampadu,4-2-3-1,4-1-4-1,Tom Nield,Match Report,,2023-2024,Nott'ham-Forest
