Player,Nation,Pos,Age,90s,Standard-Gls,Standard-Sh,Standard-SoT,Standard-SoT%,Standard-Sh/90,Standard-SoT/90,Standard-G/Sh,Standard-G/SoT,Standard-Dist,Standard-FK,Standard-PK,Standard-PKatt,Expected-xG,Expected-npxG,Expected-npxG/Sh,Expected-G-xG,Expected-np:G-xG,Matches,Season-Unnamed: 23_level_1,Team-Unnamed: 24_level_1
Ethan Ampadu,wls WAL,"MF,DF",22.0,46.0,0,29,6,20.7,0.63,0.13,0.0,0.0,19.1,0,0,0,2.3,2.3,0.08,-2.3,-2.3,Matches,2023-2024,Nott'ham-Forest
Illan Meslier,fr FRA,GK,23.0,43.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024,Nott'ham-Forest
Georginio Rutter,fr FRA,"FW,MF",21.0,41.5,6,122,37,30.3,2.94,0.89,0.05,0.16,16.3,0,0,0,12.3,12.3,0.1,-6.3,-6.3,Matches,2023-2024,Nott'ham-Forest
Joe Rodon,wls WAL,DF,25.0,41.4,0,22,3,13.6,0.53,0.07,0.0,0.0,9.1,0,0,0,1.8,1.8,0.08,-1.8,-1.8,Matches,2023-2024,Nott'ham-Forest
Crysencio Summerville,nl NED,FW,21.0,38.9,19,123,46,37.4,3.16,1.18,0.12,0.33,17.1,9,4,5,16.4,12.5,0.1,2.6,2.5,Matches,2023-2024,Nott'ham-Forest
Archie Gray,eng ENG,"DF,MF",17.0,40.0,0,14,2,14.3,0.35,0.05,0.0,0.0,20.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches,2023-2024,Nott'ham-Forest
Glen Kamara,fi FIN,MF,27.0,30.0,0,5,2,40.0,0.17,0.07,0.0,0.0,16.1,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches,2023-2024,Nott'ham-Forest
Joël Piroe,nl NED,"MF,FW",23.0,28.0,13,74,30,40.5,2.64,1.07,0.15,0.37,17.6,6,2,2,11.7,10.1,0.14,1.3,0.9,Matches,2023-2024,Nott'ham-Forest
Daniel James,wls WAL,FW,25.0,27.6,13,83,31,37.3,3.0,1.12,0.16,0.42,17.1,2,0,0,10.0,10.0,0.12,3.0,3.0,Matches,2023-2024,Nott'ham-Forest
Sam Byram,eng ENG,DF,29.0,21.5,2,23,5,21.7,1.07,0.23,0.09,0.4,11.7,0,0,0,1.7,1.7,0.07,0.3,0.3,Matches,2023-2024,Nott'ham-Forest
Pascal Struijk,nl NED,DF,23.0,22.1,3,13,4,30.8,0.59,0.18,0.15,0.5,9.7,0,1,1,2.8,2.0,0.15,0.2,0.0,Matches,2023-2024,Nott'ham-Forest
Ilia Gruev,bg BUL,MF,23.0,19.7,0,6,1,16.7,0.3,0.05,0.0,0.0,15.9,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,2023-2024,Nott'ham-Forest
Junior Firpo,do DOM,DF,26.0,19.8,0,9,3,33.3,0.45,0.15,0.0,0.0,14.4,2,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,2023-2024,Nott'ham-Forest
Wilfried Gnonto,it ITA,"FW,MF",19.0,18.4,8,47,16,34.0,2.56,0.87,0.17,0.5,17.0,0,0,0,5.3,5.3,0.11,2.7,2.7,Matches,2023-2024,Nott'ham-Forest
Patrick Bamford,eng ENG,"FW,MF",29.0,16.6,8,53,23,43.4,3.19,1.39,0.15,0.35,13.4,1,0,1,9.5,8.7,0.16,-1.5,-0.7,Matches,2023-2024,Nott'ham-Forest
Luke Ayling,eng ENG,DF,31.0,8.3,1,8,1,12.5,0.96,0.12,0.13,1.0,12.0,0,0,0,0.5,0.5,0.06,0.5,0.5,Matches,2023-2024,Nott'ham-Forest
Liam Cooper,sct SCO,DF,31.0,7.8,1,3,2,66.7,0.38,0.25,0.33,0.5,10.3,0,0,0,0.1,0.1,0.05,0.9,0.9,Matches,2023-2024,Nott'ham-Forest
Jamie Shackleton,eng ENG,"DF,FW",23.0,7.5,0,4,0,0.0,0.53,0.0,0.0,,20.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,2023-2024,Nott'ham-Forest
Djed Spence,eng ENG,DF,22.0,4.3,0,2,0,0.0,0.47,0.0,0.0,,19.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,2023-2024,Nott'ham-Forest
Jaidon Anthony,eng ENG,"FW,MF",23.0,5.6,1,20,6,30.0,3.6,1.08,0.05,0.17,18.0,1,0,0,1.7,1.7,0.08,-0.7,-0.7,Matches,2023-2024,Nott'ham-Forest
Connor Roberts,wls WAL,"DF,FW",27.0,3.5,1,6,4,66.7,1.7,1.14,0.17,0.25,17.6,0,0,0,0.4,0.4,0.07,0.6,0.6,Matches,2023-2024,Nott'ham-Forest
Joe Gelhardt,eng ENG,"MF,FW",21.0,2.2,0,5,1,20.0,2.28,0.46,0.0,0.0,20.4,1,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches,2023-2024,Nott'ham-Forest
Luis Sinisterra,co COL,MF,24.0,1.9,1,5,4,80.0,2.59,2.07,0.2,0.25,21.9,0,0,0,0.4,0.4,0.08,0.6,0.6,Matches,2023-2024,Nott'ham-Forest
Ian Poveda,eng ENG,"MF,FW",23.0,1.7,0,2,0,0.0,1.2,0.0,0.0,,16.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,2023-2024,Nott'ham-Forest
Charlie Cresswell,eng ENG,DF,20.0,1.5,0,2,0,0.0,1.31,0.0,0.0,,9.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,2023-2024,Nott'ham-Forest
