Player,Nation,Pos,Age,90s,SCA-SCA,SCA-SCA90,SCA Types-PassLive,SCA Types-PassDead,SCA Types-TO,SCA Types-Sh,SCA Types-Fld,SCA Types-Def,GCA-GCA,GCA-GCA90,GCA Types-PassLive,GCA Types-PassDead,GCA Types-TO,GCA Types-Sh,GCA Types-Fld,GCA Types-Def,Matches,Season-Unnamed: 22_level_1,Team-Unnamed: 23_level_1
Vladimír Coufal,cz CZE,DF,30.0,34.8,77,2.21,50,18,3,2,3,1,12,0.34,12,0,0,0,0,0,Matches,2023-2024,West-Ham-United
Emerson Palmieri,it ITA,DF,28.0,34.9,74,2.12,49,6,3,4,8,4,12,0.34,6,2,1,1,1,1,Matches,2023-2024,West-Ham-United
Jarrod Bowen,eng ENG,FW,26.0,33.5,81,2.42,55,7,6,5,6,2,12,0.36,9,1,0,1,0,1,Matches,2023-2024,West-Ham-United
James Ward-Prowse,eng ENG,MF,28.0,33.3,116,3.48,57,51,1,4,1,2,16,0.48,7,7,0,2,0,0,Matches,2023-2024,West-Ham-United
Tomáš Souček,cz CZE,MF,28.0,31.9,42,1.32,34,1,0,4,0,3,4,0.13,4,0,0,0,0,0,Matches,2023-2024,West-Ham-United
Kurt Zouma,fr FRA,DF,28.0,31.5,13,0.41,11,0,0,1,1,0,2,0.06,2,0,0,0,0,0,Matches,2023-2024,West-Ham-United
Alphonse Areola,fr FRA,GK,30.0,30.0,2,0.07,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,West-Ham-United
Lucas Paquetá,br BRA,"FW,MF",25.0,29.1,95,3.26,77,1,7,2,6,2,16,0.55,13,1,2,0,0,0,Matches,2023-2024,West-Ham-United
Edson Álvarez,mx MEX,MF,25.0,26.4,32,1.21,24,0,2,3,0,3,2,0.08,2,0,0,0,0,0,Matches,2023-2024,West-Ham-United
Mohammed Kudus,gh GHA,"FW,MF",22.0,27.6,100,3.62,53,1,25,8,12,1,16,0.58,8,0,3,3,2,0,Matches,2023-2024,West-Ham-United
Nayef Aguerd,ma MAR,DF,27.0,20.6,14,0.68,12,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,West-Ham-United
Michail Antonio,jm JAM,FW,33.0,18.8,33,1.75,18,1,5,3,4,2,5,0.27,4,0,1,0,0,0,Matches,2023-2024,West-Ham-United
Konstantinos Mavropanos,gr GRE,DF,25.0,16.7,10,0.6,7,0,0,1,0,2,0,0.0,0,0,0,0,0,0,Matches,2023-2024,West-Ham-United
Łukasz Fabiański,pl POL,GK,38.0,8.0,1,0.12,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,West-Ham-United
Angelo Ogbonna,it ITA,DF,35.0,7.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,West-Ham-United
Saïd Benrahma,dz ALG,"FW,MF",27.0,6.9,26,3.77,23,0,3,0,0,0,1,0.15,1,0,0,0,0,0,Matches,2023-2024,West-Ham-United
Ben Johnson,eng ENG,"DF,FW",23.0,6.0,9,1.49,7,0,0,0,2,0,1,0.17,1,0,0,0,0,0,Matches,2023-2024,West-Ham-United
Aaron Cresswell,eng ENG,"DF,FW",33.0,4.8,12,2.48,7,3,0,0,2,0,1,0.21,1,0,0,0,0,0,Matches,2023-2024,West-Ham-United
Pablo Fornals,es ESP,"MF,FW",27.0,4.7,16,3.37,13,0,0,0,1,2,1,0.21,0,0,0,0,0,1,Matches,2023-2024,West-Ham-United
Danny Ings,eng ENG,FW,31.0,4.5,17,3.79,8,0,3,4,1,1,3,0.67,0,0,1,1,1,0,Matches,2023-2024,West-Ham-United
Kalvin Phillips,eng ENG,MF,27.0,3.4,5,1.46,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,West-Ham-United
Maxwel Cornet,ci CIV,"MF,FW",26.0,1.2,5,4.02,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,West-Ham-United
Divin Mubama,eng ENG,FW,18.0,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,West-Ham-United
George Earthy,eng ENG,FW,18.0,0.4,2,5.29,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,West-Ham-United
Thilo Kehrer,de GER,"DF,MF",26.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,West-Ham-United
Kaelan Casey,eng ENG,DF,18.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,West-Ham-United
Squad Total,,,28.3,38.0,782,20.58,518,91,58,43,47,25,104,2.74,70,11,8,8,4,3,,2023-2024,West-Ham-United
Opponent Total,,,26.1,38.0,1192,31.37,927,75,54,86,41,9,126,3.32,87,5,11,11,10,2,,2023-2024,West-Ham-United
