Player,Nation,Pos,Age,90s,SCA-SCA,SCA-SCA90,SCA Types-PassLive,SCA Types-PassDead,SCA Types-TO,SCA Types-Sh,SCA Types-Fld,SCA Types-Def,GCA-GCA,GCA-GCA90,GCA Types-PassLive,GCA Types-PassDead,GCA Types-TO,GCA Types-Sh,GCA Types-Fld,GCA Types-Def,Matches,Season-Unnamed: 22_level_1,Team-Unnamed: 23_level_1
Max Kilman,eng ENG,DF,26.0,38.0,39,1.03,34,0,2,2,0,1,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Nélson Semedo,pt POR,"DF,MF",29.0,34.3,60,1.75,46,0,3,2,6,3,3,0.09,2,0,0,0,0,1,Matches,2023-2024,Wolverhampton-Wanderers
José Sá,pt POR,GK,30.0,33.7,3,0.09,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Mario Lemina,ga GAB,MF,29.0,33.0,47,1.42,42,0,0,4,1,0,5,0.15,4,0,0,0,1,0,Matches,2023-2024,Wolverhampton-Wanderers
João Gomes,br BRA,MF,22.0,29.4,65,2.21,48,4,2,4,2,5,4,0.14,3,0,0,1,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Toti Gomes,pt POR,DF,24.0,30.8,21,0.68,16,1,1,3,0,0,4,0.13,3,0,0,1,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Matheus Cunha,br BRA,"FW,MF",24.0,27.1,78,2.88,46,1,12,8,8,3,13,0.48,9,0,1,1,1,1,Matches,2023-2024,Wolverhampton-Wanderers
Rayan Aït-Nouri,dz ALG,"DF,MF",22.0,25.9,65,2.51,41,9,6,3,6,0,5,0.19,2,0,0,0,3,0,Matches,2023-2024,Wolverhampton-Wanderers
Craig Dawson,eng ENG,DF,33.0,24.5,12,0.49,8,0,0,3,0,1,1,0.04,0,0,0,1,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Hwang Hee-chan,kr KOR,"FW,MF",27.0,23.5,48,2.04,29,0,8,6,4,1,9,0.38,4,0,3,1,1,0,Matches,2023-2024,Wolverhampton-Wanderers
Pablo Sarabia,es ESP,"MF,FW",31.0,19.4,87,4.49,49,26,2,4,5,1,11,0.57,7,4,0,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Pedro Neto,pt POR,"FW,MF",23.0,16.8,75,4.45,41,15,8,4,7,0,14,0.83,8,2,2,1,1,0,Matches,2023-2024,Wolverhampton-Wanderers
Tommy Doyle,eng ENG,MF,21.0,13.6,26,1.91,20,6,0,0,0,0,5,0.37,4,1,0,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Jean-Ricner Bellegarde,fr FRA,"MF,FW",25.0,10.6,30,2.81,20,2,6,1,1,0,2,0.19,1,0,1,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Matt Doherty,ie IRL,"DF,MF",31.0,12.8,19,1.48,18,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Santiago Bueno,uy URU,DF,24.0,9.1,5,0.55,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Boubacar Traoré,ml MLI,MF,21.0,9.1,13,1.43,12,0,1,0,0,0,2,0.22,2,0,0,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Hugo Bueno,es ESP,"DF,MF",20.0,8.2,17,2.07,14,0,1,1,1,0,2,0.24,2,0,0,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Daniel Bentley,eng ENG,GK,30.0,4.3,1,0.23,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Fábio Silva,pt POR,FW,21.0,2.9,9,3.08,6,0,1,1,1,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Matheus Nunes,pt POR,MF,24.0,2.0,7,3.52,5,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Leon Chiwome,eng ENG,FW,17.0,1.9,1,0.52,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Nathan Fraser,ie IRL,FW,18.0,2.1,6,2.92,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Sasa Kalajdzic,at AUT,FW,26.0,1.8,5,2.71,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Tawanda Chirewa,zw ZIM,"MF,FW",19.0,1.6,3,1.86,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Jonny Castro,es ESP,MF,29.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Enso Gonzalez,py PAR,"MF,DF",18.0,0.0,1,90.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,2023-2024,Wolverhampton-Wanderers
Squad Total,,,26.6,38.0,743,19.55,519,67,53,47,42,15,81,2.13,52,7,7,6,7,2,,2023-2024,Wolverhampton-Wanderers
Opponent Total,,,26.4,38.0,1009,26.55,737,76,47,77,42,30,113,2.97,80,6,9,8,8,2,,2023-2024,Wolverhampton-Wanderers
