Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Expected-xG_2023-2024,Expected-npxG_2023-2024,Expected-xAG_2023-2024,Expected-npxG+xAG_2023-2024,Expected-G-xG_2023-2024,Expected-PSxG,Expected-PSxG/SoT,Per 90 Minutes-Gls_2023-2024,Per 90 Minutes-Ast_2023-2024,Per 90 Minutes-G+A_2023-2024,Per 90 Minutes-xG_2023-2024,Per 90 Minutes-xAG_2023-2024,Per 90 Minutes-npxG_2023-2024,Tackles-Tkl_2023-2024,Tackles-TklW_2023-2024,Tackles-Def 3rd_2023-2024,Tkl+Int_2023-2024,Blocks-Blocks_2023-2024,Int_2023-2024,Total-Cmp_2023-2024,Total-Cmp%_2023-2024,PrgP_2023-2024,CrsPA_2023-2024,PPA_2023-2024,Performance-Saves_2023-2024,Performance-Save%_2023-2024,Performance-CS_2023-2024,Performance-CS%_2023-2024,Formation_4-2-3-1,Formation_3-4-3,Formation_4-3-3,Formation_3-5-2,Formation_4-4-2,Formation_4-4-1-1,Formation_5-4-1,Formation_4-1-4-1,Formation_5-3-2,Formation_4-2-2-2,Formation_4-2-4-0,Formation_4-1-2-1-2◆,Formation_4-3-1-2,Formation_3-4-1-2,Formation_4-1-3-2,Formation_4-5-1,Formation_3-5-1-1,Formation_3-2-4-1,Formation_4-3-2-1
Arsenal,38,28,5,5,91,29,62,89,2.34,76.1,68.5,55.3,123.8,9.9,24.1,0.26,2.26,1.63,3.89,2.0,1.46,1.8,610,348,257,902,412,292,19094,84.6,2106,68,548,54,67.5,18,47.4,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aston Villa,38,20,8,10,76,61,15,68,1.79,63.3,60.3,48.6,108.9,8.7,61.9,0.36,1.89,1.45,3.34,1.67,1.28,1.59,547,311,269,783,389,236,16133,83.3,1451,67,363,115,65.3,8,21.1,22.0,1.0,0.0,1.0,20.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bournemouth,38,13,9,16,54,67,-13,48,1.26,55.9,53.6,40.5,94.0,-3.9,63.2,0.3,1.37,1.03,2.39,1.47,1.06,1.41,693,410,301,1050,504,357,11899,74.7,1314,88,352,127,68.6,9,23.7,40.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brentford,38,10,9,19,56,65,-9,39,1.03,58.2,56.0,42.7,98.8,-4.2,57.0,0.3,1.42,1.0,2.42,1.53,1.12,1.47,677,399,349,1055,474,378,12551,74.6,1283,106,333,119,65.8,7,18.4,9.0,5.0,1.0,22.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Brighton,38,12,12,14,55,62,-7,48,1.26,56.8,52.2,41.6,93.8,-6.8,51.1,0.28,1.32,0.95,2.26,1.49,1.09,1.37,644,366,292,932,437,288,21810,87.1,1780,81,384,105,66.1,6,15.8,38.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Burnley,38,5,9,24,41,78,-37,24,0.63,40.6,38.3,29.7,68.0,-0.6,75.8,0.29,1.05,0.79,1.84,1.07,0.78,1.01,607,342,282,887,477,280,13937,77.6,1181,54,216,168,70.5,2,5.3,0.0,0.0,17.0,20.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,38,18,9,11,77,63,14,63,1.66,74.5,65.1,51.4,116.5,1.5,52.5,0.27,2.0,1.34,3.34,1.96,1.35,1.71,663,376,325,961,448,298,20039,85.8,1615,51,352,125,67.7,8,21.1,44.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crystal Palace,38,13,10,15,57,58,-1,49,1.29,48.6,45.4,38.7,84.1,7.4,47.5,0.29,1.47,1.13,2.61,1.28,1.02,1.2,788,464,373,1111,456,323,12915,77.1,1176,60,273,98,64.3,10,26.3,12.0,15.0,11.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Everton,38,13,9,16,40,51,-11,42,1.11,54.0,51.6,38.1,89.8,-14.0,52.4,0.28,1.05,0.45,1.5,1.42,1.0,1.36,743,442,371,1101,479,358,11349,73.2,1129,77,284,117,73.9,13,34.2,7.0,1.0,0.0,0.0,1.0,29.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Fulham,38,13,8,17,55,61,-6,47,1.24,50.8,49.2,37.6,86.8,3.2,55.7,0.26,1.42,1.05,2.47,1.34,0.99,1.3,679,384,339,1050,437,371,16311,80.6,1467,94,355,133,72.1,10,26.3,37.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
